DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,382434,0,316352,17595,0,0,45299,2865,chubu,35.17022842,136.9136655
2019/4/2,415262,0,353255,17728,0,0,42176,2784,chubu,35.17022842,136.9136655
2019/4/3,418411,0,345597,16951,0,0,49136,2273,chubu,35.17022842,136.9136655
2019/4/4,400859,0,323844,15823,0,0,52214,1714,chubu,35.17022842,136.9136655
2019/4/5,376856,0,288802,15567,0,0,49252,1841,chubu,35.17022842,136.9136655
2019/4/6,307732,0,230466,14109,0,0,46691,2085,chubu,35.17022842,136.9136655
2019/4/7,274163,0,204857,13615,0,0,42529,959,chubu,35.17022842,136.9136655
2019/4/8,348777,0,258767,15723,0,0,42650,2656,chubu,35.17022842,136.9136655
2019/4/9,374820,0,286345,15090,0,0,52823,2412,chubu,35.17022842,136.9136655
2019/4/10,404647,0,368168,15811,0,0,4108,3241,chubu,35.17022842,136.9136655
2019/4/11,388010,0,313971,17249,0,0,45990,3786,chubu,35.17022842,136.9136655
2019/4/12,381730,0,319192,17090,0,0,34264,1114,chubu,35.17022842,136.9136655
2019/4/13,321032,0,251112,14448,0,0,52665,374,chubu,35.17022842,136.9136655
2019/4/14,280983,0,244143,13773,0,0,20850,328,chubu,35.17022842,136.9136655
2019/4/15,353661,0,264094,22814,0,0,51520,3785,chubu,35.17022842,136.9136655
2019/4/16,371983,0,281844,21220,0,0,53682,924,chubu,35.17022842,136.9136655
2019/4/17,375634,0,320887,21335,0,0,10420,552,chubu,35.17022842,136.9136655
2019/4/18,361005,0,276678,19631,0,0,48117,192,chubu,35.17022842,136.9136655
2019/4/19,354704,0,284462,18887,0,0,35651,1708,chubu,35.17022842,136.9136655
2019/4/20,303049,0,215795,16603,0,0,51240,1223,chubu,35.17022842,136.9136655
2019/4/21,267132,0,200466,16280,0,0,37325,279,chubu,35.17022842,136.9136655
2019/4/22,339195,0,257641,20947,0,0,45490,874,chubu,35.17022842,136.9136655
2019/4/23,354063,0,277372,21754,0,0,34240,1624,chubu,35.17022842,136.9136655
2019/4/24,354704,0,310256,23758,0,0,5721,2799,chubu,35.17022842,136.9136655
2019/4/25,353788,0,281590,29495,0,0,26715,864,chubu,35.17022842,136.9136655
2019/4/26,338746,0,260710,27423,0,0,29172,1613,chubu,35.17022842,136.9136655
2019/4/27,288695,0,205652,23270,0,0,49887,4232,chubu,35.17022842,136.9136655
2019/4/28,261778,0,191434,22621,0,0,42413,993,chubu,35.17022842,136.9136655
2019/4/29,260383,0,217677,20223,0,0,18295,1731,chubu,35.17022842,136.9136655
2019/4/30,263490,0,213485,27859,0,0,12598,3566,chubu,35.17022842,136.9136655
2019/5/1,252098,0,196525,27036,0,0,11378,1100,chubu,35.17022842,136.9136655
2019/5/2,242343,0,161600,25343,0,0,52289,2299,chubu,35.17022842,136.9136655
2019/5/3,239729,0,158001,21437,0,0,48473,732,chubu,35.17022842,136.9136655
2019/5/4,244912,0,156203,18822,0,0,53010,708,chubu,35.17022842,136.9136655
2019/5/5,248104,0,167598,17609,0,0,50005,442,chubu,35.17022842,136.9136655
2019/5/6,299397,0,212109,19082,0,0,42430,572,chubu,35.17022842,136.9136655
2019/5/7,337608,0,239320,24667,0,0,56748,3234,chubu,35.17022842,136.9136655
2019/5/8,350887,0,265499,24671,0,0,56903,299,chubu,35.17022842,136.9136655
2019/5/9,346761,0,292991,24264,0,0,28729,294,chubu,35.17022842,136.9136655
2019/5/10,349336,0,259762,24172,0,0,48646,362,chubu,35.17022842,136.9136655
2019/5/11,301803,0,211966,18845,0,0,53000,123,chubu,35.17022842,136.9136655
2019/5/12,266168,0,192129,18732,0,0,47743,244,chubu,35.17022842,136.9136655
2019/5/13,342785,0,261410,22581,0,0,45727,334,chubu,35.17022842,136.9136655
2019/5/14,357538,0,311528,24251,0,0,9263,608,chubu,35.17022842,136.9136655
2019/5/15,358036,0,277008,25087,0,0,44724,1188,chubu,35.17022842,136.9136655
2019/5/16,360129,0,275212,24287,0,0,47952,889,chubu,35.17022842,136.9136655
2019/5/17,359076,0,275195,23252,0,0,49941,1542,chubu,35.17022842,136.9136655
2019/5/18,298862,0,249978,18605,0,0,34142,3616,chubu,35.17022842,136.9136655
2019/5/19,264797,0,191420,18526,0,0,42409,3751,chubu,35.17022842,136.9136655
