DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,86928,0,69527,7187,323,360,7050,623,hokkaido,43.06172661,141.3576819
2019/4/2,89781,0,71103,6437,292,360,5375,1554,hokkaido,43.06172661,141.3576819
2019/4/3,88600,0,71090,6107,300,360,6833,1645,hokkaido,43.06172661,141.3576819
2019/4/4,85682,0,61053,6057,299,360,8231,1530,hokkaido,43.06172661,141.3576819
2019/4/5,90591,0,68662,4715,299,360,3124,2218,hokkaido,43.06172661,141.3576819
2019/4/6,85692,0,61460,4676,298,360,5504,4971,hokkaido,43.06172661,141.3576819
2019/4/7,78282,0,60488,4303,297,360,6243,2014,hokkaido,43.06172661,141.3576819
2019/4/8,83723,0,63099,4620,297,360,8228,1257,hokkaido,43.06172661,141.3576819
2019/4/9,84192,0,65749,5072,297,360,6692,2261,hokkaido,43.06172661,141.3576819
2019/4/10,83847,0,71034,6211,298,360,8056,452,hokkaido,43.06172661,141.3576819
2019/4/11,83087,0,67577,5672,300,360,7464,357,hokkaido,43.06172661,141.3576819
2019/4/12,82064,0,67114,5312,297,360,8107,745,hokkaido,43.06172661,141.3576819
2019/4/13,73729,0,50209,6201,292,360,9427,2807,hokkaido,43.06172661,141.3576819
2019/4/14,69526,0,47425,7491,289,360,8161,3028,hokkaido,43.06172661,141.3576819
2019/4/15,81149,0,54474,9490,292,360,2953,3974,hokkaido,43.06172661,141.3576819
2019/4/16,76472,0,46352,9798,291,360,9125,4804,hokkaido,43.06172661,141.3576819
2019/4/17,74546,0,45643,11313,297,360,9143,3834,hokkaido,43.06172661,141.3576819
2019/4/18,74726,0,46590,12686,301,360,8154,2525,hokkaido,43.06172661,141.3576819
2019/4/19,77822,0,49222,13451,300,360,5159,3853,hokkaido,43.06172661,141.3576819
2019/4/20,74322,0,47248,12434,301,360,8668,1585,hokkaido,43.06172661,141.3576819
2019/4/21,69701,0,45737,10612,299,360,9608,914,hokkaido,43.06172661,141.3576819
