DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,87258,0,60886,23293,0,1624,3320,325,hokuriku,36.70291844,137.2150143
2019/4/2,97451,0,66668,22173,0,1625,1960,721,hokuriku,36.70291844,137.2150143
2019/4/3,94469,0,68013,20984,0,1624,3296,666,hokuriku,36.70291844,137.2150143
2019/4/4,89579,0,66087,19841,0,1623,4446,1416,hokuriku,36.70291844,137.2150143
2019/4/5,82538,0,60501,19712,0,1613,5542,1810,hokuriku,36.70291844,137.2150143
2019/4/6,69777,0,50646,18933,0,1458,5851,232,hokuriku,36.70291844,137.2150143
2019/4/7,65896,0,49224,19253,0,1368,2163,326,hokuriku,36.70291844,137.2150143
2019/4/8,79197,0,61701,20434,0,1383,4291,224,hokuriku,36.70291844,137.2150143
2019/4/9,83946,0,63995,19039,0,1370,5232,357,hokuriku,36.70291844,137.2150143
2019/4/10,89343,0,71476,18806,0,1362,854,593,hokuriku,36.70291844,137.2150143
2019/4/11,87423,0,58807,20126,0,1384,3682,569,hokuriku,36.70291844,137.2150143
2019/4/12,86035,0,58035,19138,0,1476,4437,92,hokuriku,36.70291844,137.2150143
2019/4/13,74692,0,48670,17846,0,1514,6437,134,hokuriku,36.70291844,137.2150143
2019/4/14,65584,0,46728,18471,0,1521,2415,724,hokuriku,36.70291844,137.2150143
2019/4/15,78907,0,44444,22465,0,1507,4455,1489,hokuriku,36.70291844,137.2150143
2019/4/16,81795,0,48974,21362,0,1508,6772,105,hokuriku,36.70291844,137.2150143
2019/4/17,79326,0,48622,22160,0,1499,4731,198,hokuriku,36.70291844,137.2150143
2019/4/18,77746,0,46778,23517,0,1504,6060,228,hokuriku,36.70291844,137.2150143
2019/4/19,78727,0,49098,27002,0,1506,2303,442,hokuriku,36.70291844,137.2150143
2019/4/20,70065,0,41560,27754,0,1507,6793,261,hokuriku,36.70291844,137.2150143
2019/4/21,63773,0,40034,26306,0,1501,2039,178,hokuriku,36.70291844,137.2150143
2019/4/22,73847,0,43107,27700,0,1499,6023,245,hokuriku,36.70291844,137.2150143
2019/4/23,77129,0,42024,30554,0,1489,6072,492,hokuriku,36.70291844,137.2150143
2019/4/24,76802,0,47572,31826,0,1489,1105,406,hokuriku,36.70291844,137.2150143
2019/4/25,77007,0,45172,35335,0,1496,992,324,hokuriku,36.70291844,137.2150143
2019/4/26,77053,0,41912,36732,0,1499,1042,317,hokuriku,36.70291844,137.2150143
2019/4/27,70426,0,41310,32663,0,1498,3283,1270,hokuriku,36.70291844,137.2150143
2019/4/28,61458,0,31112,30719,0,1499,5347,157,hokuriku,36.70291844,137.2150143
2019/4/29,60884,0,33729,30013,0,1498,3799,359,hokuriku,36.70291844,137.2150143
2019/4/30,59390,0,40016,30029,0,1499,2686,175,hokuriku,36.70291844,137.2150143
2019/5/1,58108,0,38771,31614,0,1521,1205,88,hokuriku,36.70291844,137.2150143
2019/5/2,55616,0,23948,31071,0,1521,6212,432,hokuriku,36.70291844,137.2150143
2019/5/3,52772,0,21825,30153,0,1516,6093,505,hokuriku,36.70291844,137.2150143
2019/5/4,51862,0,23667,29272,0,1516,6681,359,hokuriku,36.70291844,137.2150143
2019/5/5,52747,0,23652,31403,0,1506,6434,347,hokuriku,36.70291844,137.2150143
2019/5/6,59560,0,29664,30522,0,1520,3543,997,hokuriku,36.70291844,137.2150143
2019/5/7,70744,0,38448,28270,0,1035,6576,364,hokuriku,36.70291844,137.2150143
2019/5/8,74746,0,42946,25426,0,815,6819,1020,hokuriku,36.70291844,137.2150143
2019/5/9,74254,0,43877,26043,0,804,5734,1331,hokuriku,36.70291844,137.2150143
2019/5/10,74572,0,43391,25507,0,809,6497,200,hokuriku,36.70291844,137.2150143
2019/5/11,66893,0,45075,24931,0,813,6069,59,hokuriku,36.70291844,137.2150143
2019/5/12,59512,0,37864,24540,0,822,6156,343,hokuriku,36.70291844,137.2150143
2019/5/13,71567,0,51556,24700,0,765,6172,551,hokuriku,36.70291844,137.2150143
2019/5/14,75163,0,55629,24637,0,701,2320,410,hokuriku,36.70291844,137.2150143
2019/5/15,74617,0,52507,25194,0,709,6299,216,hokuriku,36.70291844,137.2150143
2019/5/16,75795,0,57816,24762,0,705,6376,171,hokuriku,36.70291844,137.2150143
2019/5/17,75706,0,55649,24549,0,703,6143,124,hokuriku,36.70291844,137.2150143
2019/5/18,66114,0,43469,23495,0,721,4831,134,hokuriku,36.70291844,137.2150143
2019/5/19,59666,0,39273,23592,0,641,6341,200,hokuriku,36.70291844,137.2150143
2019/5/20,72884,0,45611,23941,0,608,4219,370,hokuriku,36.70291844,137.2150143
2019/5/21,74748,0,44982,26371,0,627,4930,364,hokuriku,36.70291844,137.2150143
2019/5/22,75155,0,40385,27721,0,617,6623,314,hokuriku,36.70291844,137.2150143
2019/5/23,76207,0,40781,28070,0,613,6869,338,hokuriku,36.70291844,137.2150143
