DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,15779,0,14573,0,4,98,957,146,okinawa,26.26974929,127.7161896
2019/4/2,17746,0,15888,0,5,112,1693,49,okinawa,26.26974929,127.7161896
2019/4/3,17728,0,17112,0,5,112,454,46,okinawa,26.26974929,127.7161896
2019/4/4,18020,0,16524,0,5,112,1348,31,okinawa,26.26974929,127.7161896
2019/4/5,18836,0,18186,0,5,112,398,136,okinawa,26.26974929,127.7161896
2019/4/6,18956,0,17148,0,5,112,1689,2,okinawa,26.26974929,127.7161896
2019/4/7,18789,0,16980,0,5,124,1673,8,okinawa,26.26974929,127.7161896
2019/4/8,20343,0,18422,0,5,124,1786,7,okinawa,26.26974929,127.7161896
2019/4/9,20404,0,18953,0,5,124,1244,79,okinawa,26.26974929,127.7161896
2019/4/10,19695,0,18930,0,5,124,458,178,okinawa,26.26974929,127.7161896
2019/4/11,18812,0,17712,0,5,124,963,9,okinawa,26.26974929,127.7161896
2019/4/12,18451,0,16690,0,5,124,1543,91,okinawa,26.26974929,127.7161896
2019/4/13,18237,0,17443,0,5,124,642,24,okinawa,26.26974929,127.7161896
2019/4/14,18300,0,17404,0,5,124,701,66,okinawa,26.26974929,127.7161896
2019/4/15,18710,0,17034,0,5,124,1452,96,okinawa,26.26974929,127.7161896
2019/4/16,18793,0,18345,0,5,124,267,52,okinawa,26.26974929,127.7161896
2019/4/17,18966,0,17011,0,5,124,1728,99,okinawa,26.26974929,127.7161896
2019/4/18,18631,0,17288,0,5,112,1226,1,okinawa,26.26974929,127.7161896
2019/4/19,18897,0,17467,0,5,124,1293,9,okinawa,26.26974929,127.7161896
2019/4/20,19018,0,18453,0,5,124,369,68,okinawa,26.26974929,127.7161896
2019/4/21,19144,0,18077,0,5,124,889,50,okinawa,26.26974929,127.7161896
2019/4/22,20327,0,18791,0,5,124,1392,16,okinawa,26.26974929,127.7161896
2019/4/23,21030,0,20054,0,5,124,768,81,okinawa,26.26974929,127.7161896
2019/4/24,22375,0,20926,0,5,124,1248,72,okinawa,26.26974929,127.7161896
2019/4/25,23470,0,21468,0,5,124,1765,110,okinawa,26.26974929,127.7161896
2019/4/26,22012,0,19966,0,5,124,1891,27,okinawa,26.26974929,127.7161896
2019/4/27,18637,0,17506,0,5,112,951,64,okinawa,26.26974929,127.7161896
2019/4/28,18196,0,17652,0,5,112,381,47,okinawa,26.26974929,127.7161896
2019/4/29,21358,0,19868,0,5,112,1262,112,okinawa,26.26974929,127.7161896
2019/4/30,22552,0,20853,0,5,112,1479,104,okinawa,26.26974929,127.7161896
2019/5/1,21333,0,20838,0,5,112,269,110,okinawa,26.26974929,127.7161896
