DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,4539790,0,2890168,244716,0,79584,576403,38713,chugoku,34.38886513,132.4557913
2019/5/1,4325520,0,2800308,175511,0,104979,678496,32252,chugoku,34.38886513,132.4557913
2019/6/1,4528705,0,3014189,188674,0,97479,593364,26479,chugoku,34.38886513,132.4557913
2019/7/1,5208107,0,3435300,305652,0,144727,512042,25705,chugoku,34.38886513,132.4557913
2019/8/1,5481295,0,3595636,262283,0,161895,542297,24764,chugoku,34.38886513,132.4557913
2019/9/1,5034661,0,3108585,298334,0,188775,530187,31344,chugoku,34.38886513,132.4557913
2019/10/1,4674230,0,2934745,228976,0,209972,450838,35490,chugoku,34.38886513,132.4557913
2019/11/1,4746400,0,2874029,131226,0,196821,426179,41623,chugoku,34.38886513,132.4557913
2019/12/1,5498903,0,3556614,127632,0,164307,339734,46468,chugoku,34.38886513,132.4557913
2020/1/1,5519073,0,3637294,207801,0,166168,368435,49949,chugoku,34.38886513,132.4557913
2020/2/1,5282337,0,3277100,255494,0,159733,443979,43483,chugoku,34.38886513,132.4557913
2020/3/1,5013885,0,2859570,356331,0,149359,585277,44442,chugoku,34.38886513,132.4557913
2020/4/1,4426955,0,2742231,405258,0,144181,692590,42537,chugoku,34.38886513,132.4557913
2020/5/1,3933877,0,2467743,230521,0,166224,703744,38607,chugoku,34.38886513,132.4557913
2020/6/1,4358486,0,2918732,326333,0,108616,627204,29964,chugoku,34.38886513,132.4557913
2020/7/1,4851403,0,3362319,492876,0,147398,482702,28454,chugoku,34.38886513,132.4557913
2020/8/1,5593663,0,3841079,244728,0,176865,757719,27362,chugoku,34.38886513,132.4557913
2020/9/1,4785247,0,3509544,228149,0,159395,552704,27150,chugoku,34.38886513,132.4557913
2020/10/1,4467667,0,2954139,160733,0,150834,552310,27553,chugoku,34.38886513,132.4557913
2020/11/1,4570466,0,3480749,104506,0,138474,439572,32798,chugoku,34.38886513,132.4557913
2020/12/1,5609365,0,4447014,105379,0,146703,365500,48137,chugoku,34.38886513,132.4557913
2021/1/1,5926248,0,4538093,223203,0,162151,379027,60291,chugoku,34.38886513,132.4557913
2021/2/1,4968219,0,3522874,290187,0,141152,510644,62665,chugoku,34.38886513,132.4557913
2021/3/1,4962649,0,3363490,309369,0,123537,645874,50629,chugoku,34.38886513,132.4557913
2021/4/1,4412875,0,2750206,202958,0,207340,791416,37632,chugoku,34.38886513,132.4557913
2021/5/1,4320140,0,2768223,359571,0,210308,706064,34449,chugoku,34.38886513,132.4557913
2021/6/1,4111122,0,2592111,184267,0,94105,653941,31411,chugoku,34.38886513,132.4557913
2021/7/1,5364240,0,3669978,328706,0,262548,785020,16437,chugoku,34.38886513,132.4557913
2021/8/1,5289024,0,3822148,403433,0,238009,644685,22440,chugoku,34.38886513,132.4557913
2021/9/1,4753187,0,3385544,410411,0,74044,610515,30024,chugoku,34.38886513,132.4557913
2021/10/1,4670193,0,3488446,162652,0,88711,698903,28047,chugoku,34.38886513,132.4557913
2021/11/1,4790417,0,3366417,133865,0,110392,514906,48906,chugoku,34.38886513,132.4557913
2021/12/1,5558116,0,4446603,185280,0,84621,419387,63824,chugoku,34.38886513,132.4557913
2022/1/1,5875885,0,4795260,180131,0,84900,442091,45201,chugoku,34.38886513,132.4557913
2022/2/1,5514820,0,4135293,128222,0,126505,511779,49770,chugoku,34.38886513,132.4557913
2022/3/1,5082257,0,3223260,333186,0,142594,686251,38436,chugoku,34.38886513,132.4557913
2022/4/1,4353207,0,3014068,224965,0,142601,860253,33440,chugoku,34.38886513,132.4557913
2022/5/1,4237692,0,3058974,182068,0,144368,931122,25178,chugoku,34.38886513,132.4557913
2022/6/1,4637794,0,3549693,141400,0,131538,856118,33710,chugoku,34.38886513,132.4557913
2022/7/1,5331020,0,3825010,225956,0,147085,779918,25194,chugoku,34.38886513,132.4557913
2022/8/1,5527958,0,4037603,243215,0,146536,838014,28243,chugoku,34.38886513,132.4557913
2022/9/1,4868378,0,3648391,330204,0,153379,669462,28043,chugoku,34.38886513,132.4557913
2022/10/1,4423906,0,3424094,198674,0,154322,698056,31223,chugoku,34.38886513,132.4557913
2022/11/1,4409283,0,3859097,103008,0,176529,559258,29036,chugoku,34.38886513,132.4557913
2022/12/1,5580130,0,4652057,120139,0,181508,418553,58302,chugoku,34.38886513,132.4557913
2023/1/1,5614282,0,4698533,219982,0,141759,442397,51810,chugoku,34.38886513,132.4557913
2023/2/1,4973685,0,3823982,287974,0,124869,509818,37002,chugoku,34.38886513,132.4557913
2023/3/1,4642958,0,3381960,312384,0,127425,797268,32228,chugoku,34.38886513,132.4557913
2023/4/1,4105169,0,2568598,307886,0,98560,687916,40409,chugoku,34.38886513,132.4557913
2023/5/1,4006043,0,2537797,416681,0,145896,820175,31574,chugoku,34.38886513,132.4557913
2023/6/1,4282940,0,3276359,324983,0,201364,727311,25116,chugoku,34.38886513,132.4557913
2023/7/1,5168005,0,4137356,388553,0,184907,845988,29868,chugoku,34.38886513,132.4557913
2023/8/1,5393245,0,3864364,218025,0,187761,874979,35611,chugoku,34.38886513,132.4557913
2023/9/1,4847088,0,3414993,186306,0,180542,719684,25609,chugoku,34.38886513,132.4557913
2023/10/1,4250882,0,2929204,126942,0,132784,755125,26024,chugoku,34.38886513,132.4557913
