DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,10979935,2417264,6388715,773789,0,0,743118,39261,kansai,34.69319777,135.4924594
2019/5/1,10796626,2192767,5539288,1096332,0,0,879805,30607,kansai,34.69319777,135.4924594
2019/6/1,11262339,2132394,6094262,1340301,0,0,752911,24990,kansai,34.69319777,135.4924594
2019/7/1,12872823,2255589,7095950,1596360,0,0,591923,24862,kansai,34.69319777,135.4924594
2019/8/1,13929932,2143646,7874728,1391960,0,0,685758,22797,kansai,34.69319777,135.4924594
2019/9/1,12373517,2194079,7045117,999664,0,0,674424,20590,kansai,34.69319777,135.4924594
2019/10/1,11066220,2372721,5797667,1013189,0,0,488071,34349,kansai,34.69319777,135.4924594
2019/11/1,10772939,2306822,6223056,636986,0,0,492378,37503,kansai,34.69319777,135.4924594
2019/12/1,12440043,2394957,7418849,644145,0,0,364407,49325,kansai,34.69319777,135.4924594
2020/1/1,12649978,1852546,7838284,953596,0,0,380906,40548,kansai,34.69319777,135.4924594
2020/2/1,12281023,2204243,7621193,993004,0,0,465562,35121,kansai,34.69319777,135.4924594
2020/3/1,11789526,2407412,6728945,1068143,0,0,673127,31125,kansai,34.69319777,135.4924594
2020/4/1,10431763,2327765,5118670,1109240,0,0,804187,39815,kansai,34.69319777,135.4924594
2020/5/1,9621896,2397157,4516484,1137985,0,0,814741,26809,kansai,34.69319777,135.4924594
2020/6/1,10931953,2298498,5241880,1377278,0,0,726294,22341,kansai,34.69319777,135.4924594
2020/7/1,12091618,2038014,6581011,1853062,0,0,516126,29691,kansai,34.69319777,135.4924594
2020/8/1,14350110,1496635,8614934,1391619,0,0,913425,23371,kansai,34.69319777,135.4924594
2020/9/1,11846876,1453529,6910945,859763,0,0,607309,26217,kansai,34.69319777,135.4924594
2020/10/1,10611148,984407,6756002,722699,0,0,595460,28891,kansai,34.69319777,135.4924594
2020/11/1,10636614,62534,7558295,520302,0,0,517782,28360,kansai,34.69319777,135.4924594
2020/12/1,12821251,0,9752841,605446,0,0,463368,44980,kansai,34.69319777,135.4924594
2021/1/1,13590181,364163,10757546,671054,0,0,458928,36958,kansai,34.69319777,135.4924594
2021/2/1,11651387,789662,8068299,733050,0,0,590042,34848,kansai,34.69319777,135.4924594
2021/3/1,11701868,1296531,6749494,1095840,0,0,736573,18424,kansai,34.69319777,135.4924594
2021/4/1,10366670,1782638,4795227,1179770,0,0,856639,45786,kansai,34.69319777,135.4924594
2021/5/1,10142134,2199963,4108306,1638534,0,0,724091,43799,kansai,34.69319777,135.4924594
2021/6/1,10169604,2123500,5185269,1030536,0,0,842143,29942,kansai,34.69319777,135.4924594
2021/7/1,13331141,3430555,6006485,1587570,0,0,802113,17920,kansai,34.69319777,135.4924594
2021/8/1,13150669,3550015,5513414,1602564,0,0,670856,40666,kansai,34.69319777,135.4924594
2021/9/1,11438879,3507516,4573180,1367204,0,0,627679,22003,kansai,34.69319777,135.4924594
2021/10/1,11142662,3473836,4949475,635703,0,0,707071,32994,kansai,34.69319777,135.4924594
2021/11/1,10856544,2961987,5815617,511361,0,0,548875,29314,kansai,34.69319777,135.4924594
2021/12/1,12781906,3074453,7508777,746307,0,0,456774,33165,kansai,34.69319777,135.4924594
2022/1/1,14017167,3080657,7982797,742193,0,0,450139,37963,kansai,34.69319777,135.4924594
2022/2/1,12923515,2784021,7647190,640499,0,31564,591492,32365,kansai,34.69319777,135.4924594
2022/3/1,12005641,1837226,7039853,838971,0,49413,743522,24232,kansai,34.69319777,135.4924594
2022/4/1,10166153,1488212,5201862,1174262,0,48976,890925,24459,kansai,34.69319777,135.4924594
2022/5/1,10141455,1533954,4964855,1322268,0,46659,927483,15145,kansai,34.69319777,135.4924594
2022/6/1,11340052,990138,6723836,1190667,0,46615,908587,17109,kansai,34.69319777,135.4924594
2022/7/1,13434506,1289310,7987889,1350753,0,51348,869806,16065,kansai,34.69319777,135.4924594
2022/8/1,13735620,2099076,7049910,1339788,0,50152,805018,10825,kansai,34.69319777,135.4924594
2022/9/1,12005697,1994306,5311306,1492054,0,47437,726688,17289,kansai,34.69319777,135.4924594
2022/10/1,10472804,2133007,4568975,841519,0,49216,691818,17403,kansai,34.69319777,135.4924594
2022/11/1,10331250,2566324,4974179,525115,0,43089,560376,21965,kansai,34.69319777,135.4924594
2022/12/1,12809412,3150079,7327907,695393,0,45862,487976,45392,kansai,34.69319777,135.4924594
2023/1/1,13252446,3661045,6782375,802628,0,49851,496402,41111,kansai,34.69319777,135.4924594
2023/2/1,12083128,2730779,6390737,876007,0,44528,543060,40056,kansai,34.69319777,135.4924594
2023/3/1,11054663,3142939,5256415,964793,0,49848,899921,30175,kansai,34.69319777,135.4924594
2023/4/1,9851907,3568980,4586129,1184441,0,57610,870394,42025,kansai,34.69319777,135.4924594
2023/5/1,9981871,3676078,3966860,1467783,0,57756,1011533,33825,kansai,34.69319777,135.4924594
2023/6/1,10731810,3530602,4290858,1510520,0,56797,738995,20357,kansai,34.69319777,135.4924594
2023/7/1,13274238,3607781,6129664,1485015,0,61021,950298,22538,kansai,34.69319777,135.4924594
2023/8/1,13726687,4131670,6259785,1090252,0,60404,897353,26641,kansai,34.69319777,135.4924594
2023/9/1,12352680,3145340,6605132,718803,0,59040,794874,17309,kansai,34.69319777,135.4924594
2023/10/1,10089986,3289452,4919470,538203,0,77183,779687,23641,kansai,34.69319777,135.4924594
