DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,6305530,2978944,2868416,272062,102819,200849,963656,51296,kyushu,33.58376482,130.4045583
2019/5/1,6336601,2542149,3064850,309509,106004,244813,1185186,46700,kyushu,33.58376482,130.4045583
2019/6/1,6641430,2131729,3675513,352369,98539,205154,1029149,45934,kyushu,33.58376482,130.4045583
2019/7/1,7728304,2289149,4685203,807105,97969,234703,897810,36320,kyushu,33.58376482,130.4045583
2019/8/1,7989960,1928954,5614952,632492,99136,215860,903688,49178,kyushu,33.58376482,130.4045583
2019/9/1,7293234,1474758,5211355,627227,92584,220300,921083,51432,kyushu,33.58376482,130.4045583
2019/10/1,6571589,1903911,4443350,359157,84286,244055,903383,52663,kyushu,33.58376482,130.4045583
2019/11/1,6368962,2316785,4286181,198960,88992,214976,757065,44836,kyushu,33.58376482,130.4045583
2019/12/1,7467543,2472866,5410488,212397,100452,273064,571933,64226,kyushu,33.58376482,130.4045583
2020/1/1,7609594,3083918,4998801,215784,104406,271676,601526,74214,kyushu,33.58376482,130.4045583
2020/2/1,7140795,2885032,4416247,260152,97665,252388,780295,67775,kyushu,33.58376482,130.4045583
2020/3/1,6929306,2733539,3955157,372540,96214,305641,923174,67882,kyushu,33.58376482,130.4045583
2020/4/1,6191522,2317781,3079275,303237,85851,219891,1266313,63368,kyushu,33.58376482,130.4045583
2020/5/1,5879015,2135881,2990027,388871,88697,265627,1230089,54728,kyushu,33.58376482,130.4045583
2020/6/1,6692235,1658394,4136991,547891,86679,255991,1066821,58673,kyushu,33.58376482,130.4045583
2020/7/1,7328366,1710909,4644424,741933,78712,310116,906231,58725,kyushu,33.58376482,130.4045583
2020/8/1,8554387,1701922,6075512,404092,99843,342105,1445952,37670,kyushu,33.58376482,130.4045583
2020/9/1,6763817,1289365,4847075,663602,100453,311709,961664,42135,kyushu,33.58376482,130.4045583
