DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,582210,0,542721,0,143,3563,33908,1875,okinawa,26.26974929,127.7161896
2019/5/1,642955,0,598812,0,149,3409,39189,1396,okinawa,26.26974929,127.7161896
2019/6/1,730537,0,694695,0,144,3535,29907,2256,okinawa,26.26974929,127.7161896
2019/7/1,871738,0,825892,0,149,3013,40307,2378,okinawa,26.26974929,127.7161896
2019/8/1,880807,0,834180,0,149,3210,41040,2228,okinawa,26.26974929,127.7161896
2019/9/1,788853,0,749437,0,144,2638,34544,2090,okinawa,26.26974929,127.7161896
2019/10/1,720739,0,678110,0,149,2762,37236,2483,okinawa,26.26974929,127.7161896
2019/11/1,600980,0,564451,0,144,3017,28765,4604,okinawa,26.26974929,127.7161896
2019/12/1,587096,0,552536,0,149,3176,26809,4427,okinawa,26.26974929,127.7161896
2020/1/1,574988,0,541291,0,149,3916,27331,2302,okinawa,26.26974929,127.7161896
2020/2/1,547466,0,507977,0,139,4307,32264,2780,okinawa,26.26974929,127.7161896
2020/3/1,574776,0,533538,0,149,3546,34963,2579,okinawa,26.26974929,127.7161896
2020/4/1,524811,0,484629,0,636,3332,33440,2774,okinawa,26.26974929,127.7161896
2020/5/1,625290,0,585763,0,595,3097,33904,1931,okinawa,26.26974929,127.7161896
2020/6/1,798989,0,751335,0,648,2495,41964,2547,okinawa,26.26974929,127.7161896
2020/7/1,893600,0,844701,0,595,2617,44312,1376,okinawa,26.26974929,127.7161896
2020/8/1,882551,0,834564,0,595,2978,42056,2358,okinawa,26.26974929,127.7161896
2020/9/1,765934,0,726450,0,648,2488,35401,947,okinawa,26.26974929,127.7161896
2020/10/1,693675,0,648594,0,595,1828,39504,3153,okinawa,26.26974929,127.7161896
2020/11/1,605204,0,568018,0,648,3360,28762,4416,okinawa,26.26974929,127.7161896
2020/12/1,595526,0,569975,0,595,3491,16224,5242,okinawa,26.26974929,127.7161896
2021/1/1,606777,0,575264,0,595,3164,24479,3275,okinawa,26.26974929,127.7161896
2021/2/1,509994,0,470846,0,605,2933,33266,2344,okinawa,26.26974929,127.7161896
2021/3/1,574537,0,528940,0,595,3437,39844,1721,okinawa,26.26974929,127.7161896
2021/4/1,558687,0,512648,0,645,2961,39822,2611,okinawa,26.26974929,127.7161896
2021/5/1,721816,0,674794,0,670,2119,42392,1842,okinawa,26.26974929,127.7161896
2021/6/1,613614,0,570469,0,144,3314,38246,1440,okinawa,26.26974929,127.7161896
2021/7/1,858865,0,790657,0,670,22758,43328,1453,okinawa,26.26974929,127.7161896
2021/8/1,849625,0,765531,0,670,35681,46531,1211,okinawa,26.26974929,127.7161896
2021/9/1,834917,0,752306,0,648,34458,46616,889,okinawa,26.26974929,127.7161896
2021/10/1,719652,0,651000,0,670,25446,40149,2388,okinawa,26.26974929,127.7161896
2021/11/1,571628,0,516263,0,648,25124,27560,2032,okinawa,26.26974929,127.7161896
2021/12/1,577822,0,515458,0,670,34358,25041,2295,okinawa,26.26974929,127.7161896
2022/1/1,582639,0,537641,0,670,19272,22489,2568,okinawa,26.26974929,127.7161896
2022/2/1,534505,0,480666,0,672,26646,23100,3420,okinawa,26.26974929,127.7161896
2022/3/1,578064,0,506108,0,670,31394,37762,2130,okinawa,26.26974929,127.7161896
2022/4/1,596893,0,524331,0,645,28433,41933,1552,okinawa,26.26974929,127.7161896
2022/5/1,649826,0,612578,0,670,5233,29352,1994,okinawa,26.26974929,127.7161896
2022/6/1,778368,0,711643,0,648,28243,36281,1553,okinawa,26.26974929,127.7161896
2022/7/1,931828,0,846718,0,670,34118,49196,1126,okinawa,26.26974929,127.7161896
2022/8/1,940499,0,855650,0,670,34298,49349,532,okinawa,26.26974929,127.7161896
2022/9/1,809053,0,734015,0,648,33278,39509,1602,okinawa,26.26974929,127.7161896
2022/10/1,713183,0,637604,0,670,34171,36988,3750,okinawa,26.26974929,127.7161896
2022/11/1,616429,0,555638,0,648,32400,25598,2145,okinawa,26.26974929,127.7161896
2022/12/1,592728,0,531508,0,670,34510,20548,5493,okinawa,26.26974929,127.7161896
2023/1/1,587151,0,519401,0,670,33846,30300,2935,okinawa,26.26974929,127.7161896
2023/2/1,511838,0,449465,0,672,30261,28474,2966,okinawa,26.26974929,127.7161896
2023/3/1,570297,0,501742,0,670,25838,40269,1779,okinawa,26.26974929,127.7161896
2023/4/1,572315,0,518002,0,645,7412,44288,1968,okinawa,26.26974929,127.7161896
2023/5/1,632060,0,559243,0,670,28303,42053,1792,okinawa,26.26974929,127.7161896
2023/6/1,758149,0,681583,0,648,33086,41732,1100,okinawa,26.26974929,127.7161896
2023/7/1,905404,0,814538,0,670,34270,54421,1506,okinawa,26.26974929,127.7161896
2023/8/1,835490,0,758550,0,670,33885,42258,128,okinawa,26.26974929,127.7161896
2023/9/1,840340,0,759009,0,648,32722,47792,170,okinawa,26.26974929,127.7161896
2023/10/1,717062,0,635256,0,670,34210,46048,878,okinawa,26.26974929,127.7161896
