DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,6431336,0,5773916,1346182,73655,208377,718998,196930,tohoku,38.26606626,140.8781569
2019/5/1,6364804,0,5716112,1359152,73942,213342,717148,197779,tohoku,38.26606626,140.8781569
2019/6/1,6279056,0,5628712,1373228,74136,218380,731203,202904,tohoku,38.26606626,140.8781569
2019/7/1,6197185,0,5536532,1390527,74229,223413,745202,198113,tohoku,38.26606626,140.8781569
2019/8/1,6124750,0,5461039,1407288,74439,228485,761403,192335,tohoku,38.26606626,140.8781569
2019/9/1,6066969,0,5425424,1418523,74644,233424,769780,180617,tohoku,38.26606626,140.8781569
2019/10/1,6032739,0,5432578,1429154,74665,238212,760485,165772,tohoku,38.26606626,140.8781569
2019/11/1,6029088,0,5430569,1443403,74580,243543,769925,171705,tohoku,38.26606626,140.8781569
2019/12/1,6008091,0,5411239,1454061,74387,248648,779069,184812,tohoku,38.26606626,140.8781569
2020/1/1,5979531,0,5390699,1463440,74132,253792,775482,186426,tohoku,38.26606626,140.8781569
2020/2/1,5943102,0,5311241,1474964,73991,259050,796908,190858,tohoku,38.26606626,140.8781569
2020/3/1,5895870,0,5242897,1488607,73895,261265,816742,189999,tohoku,38.26606626,140.8781569
2020/4/1,5842362,0,5157653,1501577,73803,262824,827965,188986,tohoku,38.26606626,140.8781569
2020/5/1,5830653,0,5131925,1515465,74095,264461,831002,186483,tohoku,38.26606626,140.8781569
2020/6/1,5841622,0,5119894,1526619,74521,266370,824758,186477,tohoku,38.26606626,140.8781569
2020/7/1,5833716,0,5125779,1533124,74672,267887,819339,173471,tohoku,38.26606626,140.8781569
2020/8/1,5822774,0,5127489,1535307,75064,267719,812858,162945,tohoku,38.26606626,140.8781569
2020/9/1,5816520,0,5116447,1537750,75285,267508,813474,162266,tohoku,38.26606626,140.8781569
2020/10/1,5801969,0,5101186,1538230,75959,269404,810830,164453,tohoku,38.26606626,140.8781569
2020/11/1,5773701,0,5072889,1533206,76617,269679,819568,161235,tohoku,38.26606626,140.8781569
2020/12/1,5774044,0,5073325,1531973,76386,269402,812453,163457,tohoku,38.26606626,140.8781569
2021/1/1,5792267,0,5094115,1535827,76189,269508,795888,170309,tohoku,38.26606626,140.8781569
2021/2/1,5792815,0,5089226,1538190,76001,269268,795034,170037,tohoku,38.26606626,140.8781569
2021/3/1,5791562,0,5082208,1535575,75776,268970,799392,169333,tohoku,38.26606626,140.8781569
2021/4/1,5794146,0,5064385,1532379,75505,268619,817872,170439,tohoku,38.26606626,140.8781569
2021/5/1,5785773,0,5033538,1525500,75189,268462,845121,170448,tohoku,38.26606626,140.8781569
2021/6/1,5761404,0,4994595,1516604,74657,265055,874041,163481,tohoku,38.26606626,140.8781569
2021/7/1,5768866,0,4994623,1510696,73944,261873,894879,160324,tohoku,38.26606626,140.8781569
2021/8/1,5794606,0,5044648,1506549,73202,260294,874215,159272,tohoku,38.26606626,140.8781569
2021/9/1,5813809,0,5073532,1506948,72580,259102,861910,161055,tohoku,38.26606626,140.8781569
2021/10/1,5834157,0,5045074,1505323,72011,258888,890657,165015,tohoku,38.26606626,140.8781569
2021/11/1,5862984,0,5070442,1499845,71426,259217,892122,167654,tohoku,38.26606626,140.8781569
2021/12/1,5884056,0,5100825,1494020,71080,259576,892540,156868,tohoku,38.26606626,140.8781569
2022/1/1,5894933,0,5125239,1488547,70700,260200,891659,151568,tohoku,38.26606626,140.8781569
2022/2/1,5933236,0,5163252,1485074,69732,263684,889618,148566,tohoku,38.26606626,140.8781569
2022/3/1,5978938,0,5205971,1481241,68630,267348,888004,148400,tohoku,38.26606626,140.8781569
2022/4/1,6016142,0,5236021,1475762,67750,270944,894909,145886,tohoku,38.26606626,140.8781569
2022/5/1,6029645,0,5272689,1466781,66773,274042,887634,134271,tohoku,38.26606626,140.8781569
2022/6/1,6030851,0,5310181,1457492,66124,277072,863557,120672,tohoku,38.26606626,140.8781569
2022/7/1,6018156,0,5325404,1450534,65952,279633,847310,113789,tohoku,38.26606626,140.8781569
2022/8/1,5989863,0,5317162,1437629,65721,282094,839472,110762,tohoku,38.26606626,140.8781569
2022/9/1,5990975,0,5332089,1423443,65465,285368,822151,116910,tohoku,38.26606626,140.8781569
2022/10/1,6013161,0,5362038,1415067,65252,288620,802676,121256,tohoku,38.26606626,140.8781569
2022/11/1,6015216,0,5370795,1403176,64668,291731,793383,122703,tohoku,38.26606626,140.8781569
2022/12/1,6016890,0,5367265,1386279,63942,294922,806680,121576,tohoku,38.26606626,140.8781569
2023/1/1,6022775,0,5363697,1367660,63492,298015,821567,122667,tohoku,38.26606626,140.8781569
2023/2/1,6010442,0,5373461,1350345,62590,301088,801047,134360,tohoku,38.26606626,140.8781569
2023/3/1,5980710,0,5370259,1339415,61444,303754,778900,142216,tohoku,38.26606626,140.8781569
2023/4/1,5981851,0,5370239,1337590,59638,306298,769793,151678,tohoku,38.26606626,140.8781569
2023/5/1,6005369,0,5385994,1334111,57853,308528,767727,148150,tohoku,38.26606626,140.8781569
2023/6/1,6009172,0,5407053,1328012,57227,310479,756907,136355,tohoku,38.26606626,140.8781569
2023/7/1,6012704,0,5401337,1317839,56632,312456,781186,129327,tohoku,38.26606626,140.8781569
2023/8/1,6018342,0,5434295,1305095,56191,314225,763261,129393,tohoku,38.26606626,140.8781569
2023/9/1,6003439,0,5450712,1293185,55699,316582,739667,131876,tohoku,38.26606626,140.8781569
