DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,21381990,0,16845440,752940,0,31560,1647460,99400,tokyo,35.67026521,139.7584327
2019/5/1,20903440,0,15187470,1271180,0,14720,1945830,73820,tokyo,35.67026521,139.7584327
2019/6/1,21655530,0,16329220,1372600,0,65430,1458810,70640,tokyo,35.67026521,139.7584327
2019/7/1,24608480,0,18246620,1554340,0,95730,1327540,61260,tokyo,35.67026521,139.7584327
2019/8/1,27920820,0,21749580,1311630,0,123650,1548170,55730,tokyo,35.67026521,139.7584327
2019/9/1,24047880,0,18818600,1089240,0,119720,1419220,62220,tokyo,35.67026521,139.7584327
2019/10/1,21895980,0,17351230,1098300,0,133290,1108500,95420,tokyo,35.67026521,139.7584327
2019/11/1,21961360,0,17158360,1046280,0,245400,1198620,102380,tokyo,35.67026521,139.7584327
2019/12/1,25566860,0,20650670,857320,0,257920,974850,101950,tokyo,35.67026521,139.7584327
2020/1/1,26228480,0,21260980,911360,0,239230,1111650,107570,tokyo,35.67026521,139.7584327
2020/2/1,23946550,0,18441400,830230,0,266720,1439740,99800,tokyo,35.67026521,139.7584327
2020/3/1,23559540,0,17952260,818800,0,297080,1607180,125270,tokyo,35.67026521,139.7584327
2020/4/1,20538970,0,14166760,1171830,0,276980,1884580,112270,tokyo,35.67026521,139.7584327
2020/5/1,18997750,0,12439180,1364200,0,215570,1786890,83480,tokyo,35.67026521,139.7584327
2020/6/1,21406780,0,15138800,1240570,0,223550,1525910,64280,tokyo,35.67026521,139.7584327
2020/7/1,23370120,0,16632500,1515870,0,214830,1033790,81170,tokyo,35.67026521,139.7584327
2020/8/1,28253800,0,20753840,1388290,0,236730,1933880,38290,tokyo,35.67026521,139.7584327
2020/9/1,23655790,0,18736700,1084370,0,220000,1250470,64960,tokyo,35.67026521,139.7584327
2020/10/1,21222620,0,16290550,1069480,0,251080,1109900,88430,tokyo,35.67026521,139.7584327
2020/11/1,21334400,0,16948160,835410,0,244330,1235230,90180,tokyo,35.67026521,139.7584327
2020/12/1,26268190,0,21659320,839890,0,261920,1385140,94410,tokyo,35.67026521,139.7584327
2021/1/1,27772150,0,22260410,770840,0,250750,1460180,104120,tokyo,35.67026521,139.7584327
2021/2/1,23510920,0,18958150,665070,0,226060,1972840,126450,tokyo,35.67026521,139.7584327
2021/3/1,23153810,0,18213750,1019740,0,263060,2106400,118060,tokyo,35.67026521,139.7584327
2021/4/1,20330150,0,14915060,1113710,0,201770,2226900,98650,tokyo,35.67026521,139.7584327
2021/5/1,20143350,0,14774170,1542440,0,185360,1874090,91640,tokyo,35.67026521,139.7584327
2021/6/1,19637280,0,14190250,1184260,0,14330,1862240,75010,tokyo,35.67026521,139.7584327
2021/7/1,25825900,0,20153260,1508080,0,201950,1985710,36270,tokyo,35.67026521,139.7584327
2021/8/1,26820230,0,20376770,1476580,0,184170,1796430,60050,tokyo,35.67026521,139.7584327
2021/9/1,21570080,0,16083360,1509290,0,190360,1427910,63870,tokyo,35.67026521,139.7584327
2021/10/1,21680860,0,17183240,832590,0,213740,1547010,69860,tokyo,35.67026521,139.7584327
2021/11/1,21622970,0,17243610,706730,0,165000,1591190,75140,tokyo,35.67026521,139.7584327
2021/12/1,26021050,0,21135910,912350,0,174240,1421710,104480,tokyo,35.67026521,139.7584327
2022/1/1,28506960,0,23375960,879020,0,198100,1588440,106150,tokyo,35.67026521,139.7584327
2022/2/1,25864770,0,20537150,753180,0,192850,1791570,94680,tokyo,35.67026521,139.7584327
2022/3/1,23571100,0,18524550,890360,0,214880,2134980,93930,tokyo,35.67026521,139.7584327
2022/4/1,20693420,0,15282460,1159370,0,257040,2072790,58330,tokyo,35.67026521,139.7584327
2022/5/1,20358750,0,13958180,1649600,0,248100,2347310,49860,tokyo,35.67026521,139.7584327
2022/6/1,22623100,0,16575940,1587510,0,191170,2219160,43780,tokyo,35.67026521,139.7584327
2022/7/1,27104590,0,20768680,1274860,0,252070,2158400,36700,tokyo,35.67026521,139.7584327
2022/8/1,26746580,0,20109140,1330510,0,244520,1934240,44880,tokyo,35.67026521,139.7584327
2022/9/1,23161850,0,17243360,1267660,0,231300,1803900,52310,tokyo,35.67026521,139.7584327
2022/10/1,21046900,0,15678270,1002740,0,207480,1562420,61950,tokyo,35.67026521,139.7584327
2022/11/1,20896630,0,16076810,668920,0,156130,1500920,50060,tokyo,35.67026521,139.7584327
2022/12/1,25385810,0,20152170,846900,0,228240,1413200,60930,tokyo,35.67026521,139.7584327
2023/1/1,26709030,0,20797890,820760,0,219970,1645170,60370,tokyo,35.67026521,139.7584327
2023/2/1,23492990,0,18344840,700990,0,193540,1826460,63560,tokyo,35.67026521,139.7584327
2023/3/1,21429540,0,15774640,1005970,0,176700,2138600,55180,tokyo,35.67026521,139.7584327
2023/4/1,19335380,0,13007680,1177700,0,204270,2506540,78290,tokyo,35.67026521,139.7584327
2023/5/1,19473750,0,12897020,1373540,0,209820,2490970,49770,tokyo,35.67026521,139.7584327
2023/6/1,21240240,0,15072250,1292240,0,179450,2045500,36050,tokyo,35.67026521,139.7584327
2023/7/1,27194660,0,19472030,1302260,0,220400,2762190,33600,tokyo,35.67026521,139.7584327
2023/8/1,28083580,0,20564830,977500,0,253180,2646820,33670,tokyo,35.67026521,139.7584327
2023/9/1,24971420,0,18965300,782660,0,200750,2007120,33590,tokyo,35.67026521,139.7584327
2023/10/1,20321620,0,14095620,712700,0,201610,2151650,47250,tokyo,35.67026521,139.7584327
