DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,0:00,2940,0,2221,885,0,68,0,27,hokuriku,36.70291844,137.2150143
2019/4/1,1:00,3070,0,2365,853,0,68,0,23,hokuriku,36.70291844,137.2150143
2019/4/1,2:00,3270,0,2572,907,0,68,0,16,hokuriku,36.70291844,137.2150143
2019/4/1,3:00,3402,0,2630,971,0,69,0,12,hokuriku,36.70291844,137.2150143
2019/4/1,4:00,3442,0,2640,992,0,68,0,6,hokuriku,36.70291844,137.2150143
2019/4/1,5:00,3411,0,2725,930,0,68,1,3,hokuriku,36.70291844,137.2150143
2019/4/1,6:00,3435,0,2758,1050,0,69,46,2,hokuriku,36.70291844,137.2150143
2019/4/1,7:00,3413,0,2619,1023,0,67,181,1,hokuriku,36.70291844,137.2150143
2019/4/1,8:00,3643,0,2505,1080,0,67,300,1,hokuriku,36.70291844,137.2150143
2019/4/1,9:00,3835,0,2441,1032,0,68,440,1,hokuriku,36.70291844,137.2150143
2019/4/1,10:00,3861,0,2321,952,0,67,522,3,hokuriku,36.70291844,137.2150143
2019/4/1,11:00,3878,0,2402,863,0,67,492,6,hokuriku,36.70291844,137.2150143
2019/4/1,12:00,3600,0,2227,694,0,67,479,9,hokuriku,36.70291844,137.2150143
2019/4/1,13:00,3797,0,2427,745,0,67,416,9,hokuriku,36.70291844,137.2150143
2019/4/1,14:00,3828,0,2523,863,0,68,267,9,hokuriku,36.70291844,137.2150143
2019/4/1,15:00,3813,0,2601,929,0,67,114,11,hokuriku,36.70291844,137.2150143
2019/4/1,16:00,3897,0,2639,1003,0,68,45,13,hokuriku,36.70291844,137.2150143
2019/4/1,17:00,3922,0,2781,955,0,68,16,14,hokuriku,36.70291844,137.2150143
2019/4/1,18:00,4008,0,2817,988,0,68,1,33,hokuriku,36.70291844,137.2150143
2019/4/1,19:00,3935,0,2695,1037,0,67,0,44,hokuriku,36.70291844,137.2150143
2019/4/1,20:00,3866,0,2598,1092,0,68,0,29,hokuriku,36.70291844,137.2150143
2019/4/1,21:00,3718,0,2498,1096,0,67,0,24,hokuriku,36.70291844,137.2150143
2019/4/1,22:00,3656,0,2444,1152,0,68,0,21,hokuriku,36.70291844,137.2150143
2019/4/1,23:00,3618,0,2437,1201,0,67,0,8,hokuriku,36.70291844,137.2150143
