DATETIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽�,風�,エリア,lat,lon,DATE,TIME
2019/4/1 0:00,8432,0,8298,1559,95,168,0,79,tohoku,38.26606626,140.8781569,2019/4/1,0:00
2019/4/1 1:00,8796,0,8672,1553,95,143,0,66,tohoku,38.26606626,140.8781569,2019/4/1,1:00
2019/4/1 2:00,9148,0,9107,1547,94,143,0,68,tohoku,38.26606626,140.8781569,2019/4/1,2:00
2019/4/1 3:00,9342,0,9224,1562,94,144,0,73,tohoku,38.26606626,140.8781569,2019/4/1,3:00
2019/4/1 4:00,9625,0,9339,1639,92,144,0,56,tohoku,38.26606626,140.8781569,2019/4/1,4:00
2019/4/1 5:00,9924,0,9408,1677,93,144,10,44,tohoku,38.26606626,140.8781569,2019/4/1,5:00
2019/4/1 6:00,10042,0,9277,1682,94,145,246,31,tohoku,38.26606626,140.8781569,2019/4/1,6:00
2019/4/1 7:00,9861,0,8920,1645,95,147,647,25,tohoku,38.26606626,140.8781569,2019/4/1,7:00
2019/4/1 8:00,10411,0,8788,1597,94,162,1213,28,tohoku,38.26606626,140.8781569,2019/4/1,8:00
2019/4/1 9:00,10836,0,8656,1537,95,158,1816,20,tohoku,38.26606626,140.8781569,2019/4/1,9:00
2019/4/1 10:00,10811,0,8328,1529,91,156,2187,24,tohoku,38.26606626,140.8781569,2019/4/1,10:00
2019/4/1 11:00,10625,0,8134,1524,93,156,2269,27,tohoku,38.26606626,140.8781569,2019/4/1,11:00
2019/4/1 12:00,10101,0,7579,1523,94,157,2624,36,tohoku,38.26606626,140.8781569,2019/4/1,12:00
2019/4/1 13:00,10474,0,7846,1496,93,155,2623,45,tohoku,38.26606626,140.8781569,2019/4/1,13:00
2019/4/1 14:00,10304,0,7790,1518,95,154,2127,50,tohoku,38.26606626,140.8781569,2019/4/1,14:00
2019/4/1 15:00,10118,0,8245,1570,95,155,1359,67,tohoku,38.26606626,140.8781569,2019/4/1,15:00
2019/4/1 16:00,10220,0,9476,1732,93,157,526,65,tohoku,38.26606626,140.8781569,2019/4/1,16:00
2019/4/1 17:00,10365,0,9917,1803,95,152,48,40,tohoku,38.26606626,140.8781569,2019/4/1,17:00
2019/4/1 18:00,10781,0,10428,1809,94,152,0,88,tohoku,38.26606626,140.8781569,2019/4/1,18:00
2019/4/1 19:00,10586,0,10583,1780,95,153,0,27,tohoku,38.26606626,140.8781569,2019/4/1,19:00
2019/4/1 20:00,10213,0,10557,1709,95,152,0,29,tohoku,38.26606626,140.8781569,2019/4/1,20:00
2019/4/1 21:00,9723,0,10073,1677,92,153,0,109,tohoku,38.26606626,140.8781569,2019/4/1,21:00
2019/4/1 22:00,9495,0,10077,1641,91,139,0,153,tohoku,38.26606626,140.8781569,2019/4/1,22:00
2019/4/1 23:00,9459,0,9652,1606,92,138,3,179,tohoku,38.26606626,140.8781569,2019/4/1,23:00
2019/4/2 0:00,9146,0,8844,1537,94,138,0,300,tohoku,38.26606626,140.8781569,2019/4/2,0:00
2019/4/2 1:00,9376,0,8569,1570,94,138,0,281,tohoku,38.26606626,140.8781569,2019/4/2,1:00
2019/4/2 2:00,9691,0,8812,1574,94,138,0,293,tohoku,38.26606626,140.8781569,2019/4/2,2:00
2019/4/2 3:00,9911,0,9036,1599,95,138,0,277,tohoku,38.26606626,140.8781569,2019/4/2,3:00
2019/4/2 4:00,10225,0,9273,1687,92,138,0,247,tohoku,38.26606626,140.8781569,2019/4/2,4:00
2019/4/2 5:00,10485,0,9460,1708,93,137,32,257,tohoku,38.26606626,140.8781569,2019/4/2,5:00
2019/4/2 6:00,10599,0,9520,1734,94,137,470,312,tohoku,38.26606626,140.8781569,2019/4/2,6:00
2019/4/2 7:00,10243,0,8570,1495,93,139,1046,230,tohoku,38.26606626,140.8781569,2019/4/2,7:00
2019/4/2 8:00,10839,0,8315,1487,94,155,1596,348,tohoku,38.26606626,140.8781569,2019/4/2,8:00
2019/4/2 9:00,11289,0,8563,1518,97,153,1724,409,tohoku,38.26606626,140.8781569,2019/4/2,9:00
2019/4/2 10:00,11284,0,8269,1481,101,153,2088,396,tohoku,38.26606626,140.8781569,2019/4/2,10:00
2019/4/2 11:00,11487,0,8631,1447,100,156,2034,401,tohoku,38.26606626,140.8781569,2019/4/2,11:00
2019/4/2 12:00,10794,0,8243,1420,101,157,2065,467,tohoku,38.26606626,140.8781569,2019/4/2,12:00
2019/4/2 13:00,11226,0,8454,1405,101,155,1921,537,tohoku,38.26606626,140.8781569,2019/4/2,13:00
2019/4/2 14:00,11191,0,8773,1427,101,153,1611,600,tohoku,38.26606626,140.8781569,2019/4/2,14:00
2019/4/2 15:00,11136,0,9672,1522,102,156,949,586,tohoku,38.26606626,140.8781569,2019/4/2,15:00
2019/4/2 16:00,11303,0,10506,1695,101,153,426,635,tohoku,38.26606626,140.8781569,2019/4/2,16:00
2019/4/2 17:00,11364,0,10924,1845,99,152,31,618,tohoku,38.26606626,140.8781569,2019/4/2,17:00
2019/4/2 18:00,11705,0,11423,1864,106,151,0,640,tohoku,38.26606626,140.8781569,2019/4/2,18:00
2019/4/2 19:00,11404,0,11292,1799,105,152,0,662,tohoku,38.26606626,140.8781569,2019/4/2,19:00
2019/4/2 20:00,10923,0,11098,1700,103,152,0,618,tohoku,38.26606626,140.8781569,2019/4/2,20:00
2019/4/2 21:00,10366,0,10714,1577,102,152,0,628,tohoku,38.26606626,140.8781569,2019/4/2,21:00
2019/4/2 22:00,9997,0,10540,1407,101,139,0,557,tohoku,38.26606626,140.8781569,2019/4/2,22:00
2019/4/2 23:00,10006,0,10137,1344,104,138,0,534,tohoku,38.26606626,140.8781569,2019/4/2,23:00
2019/4/3 0:00,9634,0,9989,1213,104,138,0,453,tohoku,38.26606626,140.8781569,2019/4/3,0:00
2019/4/3 1:00,9815,0,9774,1198,103,138,0,393,tohoku,38.26606626,140.8781569,2019/4/3,1:00
2019/4/3 2:00,10073,0,9986,1191,103,139,0,398,tohoku,38.26606626,140.8781569,2019/4/3,2:00
2019/4/3 3:00,10281,0,10348,1201,102,138,0,394,tohoku,38.26606626,140.8781569,2019/4/3,3:00
2019/4/3 4:00,10424,0,10266,1336,103,138,0,386,tohoku,38.26606626,140.8781569,2019/4/3,4:00
2019/4/3 5:00,10785,0,10613,1409,101,139,25,383,tohoku,38.26606626,140.8781569,2019/4/3,5:00
2019/4/3 6:00,10926,0,10477,1460,104,139,434,426,tohoku,38.26606626,140.8781569,2019/4/3,6:00
2019/4/3 7:00,10560,0,10013,1390,103,141,908,418,tohoku,38.26606626,140.8781569,2019/4/3,7:00
2019/4/3 8:00,11008,0,10007,1325,102,158,1410,414,tohoku,38.26606626,140.8781569,2019/4/3,8:00
2019/4/3 9:00,11296,0,8971,1306,105,156,2172,498,tohoku,38.26606626,140.8781569,2019/4/3,9:00
2019/4/3 10:00,11380,0,8270,1292,103,154,2724,531,tohoku,38.26606626,140.8781569,2019/4/3,10:00
2019/4/3 11:00,11000,0,8099,1264,101,157,2700,512,tohoku,38.26606626,140.8781569,2019/4/3,11:00
2019/4/3 12:00,10502,0,7971,1239,101,157,2795,601,tohoku,38.26606626,140.8781569,2019/4/3,12:00
2019/4/3 13:00,10767,0,7951,1208,103,155,2682,558,tohoku,38.26606626,140.8781569,2019/4/3,13:00
2019/4/3 14:00,10721,0,8133,1219,104,156,2300,529,tohoku,38.26606626,140.8781569,2019/4/3,14:00
2019/4/3 15:00,10424,0,8989,1251,103,158,1440,558,tohoku,38.26606626,140.8781569,2019/4/3,15:00
2019/4/3 16:00,10686,0,10265,1306,103,158,680,624,tohoku,38.26606626,140.8781569,2019/4/3,16:00
2019/4/3 17:00,10701,0,10824,1602,100,155,46,636,tohoku,38.26606626,140.8781569,2019/4/3,17:00
2019/4/3 18:00,11025,0,10972,1667,103,154,0,590,tohoku,38.26606626,140.8781569,2019/4/3,18:00
2019/4/3 19:00,10776,0,10808,1615,104,153,0,630,tohoku,38.26606626,140.8781569,2019/4/3,19:00
2019/4/3 20:00,10347,0,11046,1403,103,153,0,566,tohoku,38.26606626,140.8781569,2019/4/3,20:00
