DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,合計,lat,lon
2019/4/1,77535,0,63693,1835,0,168,5352,270,tokyo,71318,35.67012971,139.758427
2019/4/2,81719,0,69285,1654,0,148,6212,419,tokyo,77718,35.67012971,139.758427
2019/4/3,81962,0,68325,1555,0,136,6836,394,tokyo,77246,35.67012971,139.758427
2019/4/4,78301,0,64026,1712,0,138,7100,454,tokyo,73430,35.67012971,139.758427
2019/4/5,73841,0,60451,1762,0,137,6868,651,tokyo,69869,35.67012971,139.758427
2019/4/6,65098,0,53130,1855,0,144,7082,545,tokyo,62756,35.67012971,139.758427
2019/4/7,61838,0,53274,1820,0,141,6134,350,tokyo,61719,35.67012971,139.758427
2019/4/8,76155,0,65807,2002,0,134,2416,217,tokyo,70576,35.67012971,139.758427
2019/4/9,76580,0,66726,1898,0,134,7004,433,tokyo,76195,35.67012971,139.758427
2019/4/10,88078,0,70708,2499,0,135,723,236,tokyo,74301,35.67012971,139.758427
2019/4/11,80364,0,68393,2029,0,135,6233,485,tokyo,77275,35.67012971,139.758427
2019/4/12,80606,0,68108,2040,0,135,3588,162,tokyo,74033,35.67012971,139.758427
2019/4/13,69384,0,52557,1774,0,135,7320,137,tokyo,61923,35.67012971,139.758427
2019/4/14,63949,0,49790,1738,0,144,4681,358,tokyo,56711,35.67012971,139.758427
2019/4/15,70026,0,54293,2092,0,133,6581,599,tokyo,63698,35.67012971,139.758427
2019/4/16,71581,0,53072,2303,0,153,8000,292,tokyo,63820,35.67012971,139.758427
2019/4/17,71580,0,56325,2302,0,168,4292,143,tokyo,63230,35.67012971,139.758427
2019/4/18,70883,0,52701,2495,0,68,7491,107,tokyo,62862,35.67012971,139.758427
2019/4/19,71017,0,52932,2629,0,67,6536,456,tokyo,62620,35.67012971,139.758427
2019/4/20,64460,0,45885,2771,0,60,7846,362,tokyo,56924,35.67012971,139.758427
2019/4/21,60774,0,46076,2785,0,59,5638,86,tokyo,54644,35.67012971,139.758427
2019/4/22,69717,0,50756,3128,0,55,7076,182,tokyo,61197,35.67012971,139.758427
2019/4/23,70442,0,51766,2847,0,56,7287,207,tokyo,62163,35.67012971,139.758427
2019/4/24,71041,0,55839,3056,0,55,1943,433,tokyo,61326,35.67012971,139.758427
2019/4/25,72047,0,52922,3398,0,56,4198,338,tokyo,60912,35.67012971,139.758427
2019/4/26,71063,0,56028,4052,0,61,1104,358,tokyo,61603,35.67012971,139.758427
2019/4/27,66881,0,51074,4279,0,57,3558,389,tokyo,59357,35.67012971,139.758427
2019/4/28,60439,0,42278,3736,0,48,8151,204,tokyo,54417,35.67012971,139.758427
2019/4/29,59601,0,42315,3392,0,48,5549,181,tokyo,51485,35.67012971,139.758427
2019/4/30,61237,0,46009,3856,0,48,1947,492,tokyo,52352,35.67012971,139.758427
2019/5/1,59052,0,42186,3929,0,48,4266,207,tokyo,50636,35.67012971,139.758427
2019/5/2,57168,0,40368,4035,0,48,6268,429,tokyo,51148,35.67012971,139.758427
2019/5/3,55680,0,38031,3820,0,48,7304,297,tokyo,49500,35.67012971,139.758427
2019/5/4,56188,0,38999,3736,0,48,6850,146,tokyo,49779,35.67012971,139.758427
2019/5/5,56241,0,38958,3763,0,48,7760,116,tokyo,50645,35.67012971,139.758427
2019/5/6,59686,0,43575,3801,0,48,5025,316,tokyo,52765,35.67012971,139.758427
2019/5/7,66858,0,51200,3724,0,48,5179,408,tokyo,60559,35.67012971,139.758427
2019/5/8,69377,0,49914,3496,0,48,8414,414,tokyo,62286,35.67012971,139.758427
2019/5/9,69252,0,52129,3212,0,48,5257,297,tokyo,60943,35.67012971,139.758427
2019/5/10,70086,0,49384,3334,0,48,7774,167,tokyo,60707,35.67012971,139.758427
2019/5/11,65106,0,45826,3277,0,48,7477,73,tokyo,56701,35.67012971,139.758427
2019/5/12,59906,0,43147,3330,0,48,7155,151,tokyo,53831,35.67012971,139.758427
2019/5/13,68641,0,50219,3755,0,48,6927,79,tokyo,61028,35.67012971,139.758427
2019/5/14,71042,0,56282,3910,0,48,2218,146,tokyo,62604,35.67012971,139.758427
2019/5/15,70625,0,52878,3873,0,40,5875,143,tokyo,62809,35.67012971,139.758427
2019/5/16,71136,0,51740,3847,0,48,7121,135,tokyo,62891,35.67012971,139.758427
2019/5/17,71221,0,51615,3866,0,48,7591,144,tokyo,63264,35.67012971,139.758427
2019/5/18,64658,0,46056,3541,0,48,6562,272,tokyo,56479,35.67012971,139.758427
