DATE,実績(万kW),エリア,合計
2020/1/1,2843,tokyo,65874
2020/1/2,2868,tokyo,67003
2020/1/3,2874,tokyo,67812
2020/1/4,2945,tokyo,71524
2020/1/5,3161,tokyo,74496
2020/1/6,3338,tokyo,86622
2020/1/7,3494,tokyo,92868
2020/1/8,3430,tokyo,93206
2020/1/9,3285,tokyo,85530
2020/1/10,3399,tokyo,86680
2020/1/11,3229,tokyo,82136
2020/1/12,3109,tokyo,79220
2020/1/13,3102,tokyo,78141
2020/1/14,3269,tokyo,85948
2020/1/15,3468,tokyo,89613
2020/1/16,3486,tokyo,90943
2020/1/17,3432,tokyo,91101
2020/1/18,3449,tokyo,91726
2020/1/19,3165,tokyo,78994
2020/1/20,3388,tokyo,87122
2020/1/21,3570,tokyo,89601
2020/1/22,3545,tokyo,95650
2020/1/23,3418,tokyo,95211
2020/1/24,3317,tokyo,86515
2020/1/25,3182,tokyo,81689
2020/1/26,3307,tokyo,81839
2020/1/27,3730,tokyo,96589
2020/1/28,3527,tokyo,100472
2020/1/29,3093,tokyo,83342
2020/1/30,3125,tokyo,80107
2020/1/31,3455,tokyo,85274
2020/2/1,3221,tokyo,79631
2020/2/2,3022,tokyo,74777
2020/2/3,3213,tokyo,83316
2020/2/4,3359,tokyo,86385
2020/2/5,3547,tokyo,87039
2020/2/6,3981,tokyo,96793
2020/2/7,3771,tokyo,98628
2020/2/8,3356,tokyo,84411
2020/2/9,3463,tokyo,81916
2020/2/10,3598,tokyo,92471
2020/2/11,3441,tokyo,85143
2020/2/12,3222,tokyo,88017
2020/2/13,3034,tokyo,81416
2020/2/14,3047,tokyo,80393
2020/2/15,2845,tokyo,73580
2020/2/16,2853,tokyo,73799
2020/2/17,3170,tokyo,79822
2020/2/18,3379,tokyo,84408
2020/2/19,3294,tokyo,85260
2020/2/20,3178,tokyo,85045
2020/2/21,3114,tokyo,80988
2020/2/22,2773,tokyo,72747
2020/2/23,2937,tokyo,68171
2020/2/24,2935,tokyo,73157
2020/2/25,3107,tokyo,82022
2020/2/26,3236,tokyo,86195
2020/2/27,3534,tokyo,86150
2020/2/28,3278,tokyo,86915
2020/2/29,2896,tokyo,76060
2020/3/1,2709,tokyo,67371
2020/3/2,3198,tokyo,84425
2020/3/3,3013,tokyo,79360
2020/3/4,3125,tokyo,84334
2020/3/5,3287,tokyo,82549
2020/3/6,3182,tokyo,81707
2020/3/7,2993,tokyo,77405
2020/3/8,2934,tokyo,75864
2020/3/9,2856,tokyo,76855
2020/3/10,2811,tokyo,77130
2020/3/11,2818,tokyo,71298
2020/3/12,2899,tokyo,74862
2020/3/13,2878,tokyo,74675
2020/3/14,3206,tokyo,80808
2020/3/15,2913,tokyo,72533
2020/3/16,3416,tokyo,82835
2020/3/17,3188,tokyo,84476
2020/3/18,2946,tokyo,76943
2020/3/19,2780,tokyo,73711
2020/3/20,2748,tokyo,66697
2020/3/21,2538,tokyo,64708
2020/3/22,2444,tokyo,60690
2020/3/23,2962,tokyo,74142
2020/3/24,3178,tokyo,78772
2020/3/25,2985,tokyo,77845
2020/3/26,2798,tokyo,73749
2020/3/27,2704,tokyo,72428
2020/3/28,2666,tokyo,65334
2020/3/29,3035,tokyo,78157
2020/3/30,3081,tokyo,83383
2020/3/31,3011,tokyo,80908
2020/4/1,2935,tokyo,80114
2020/4/2,2997,tokyo,74014
2020/4/3,2819,tokyo,74017
2020/4/4,2514,tokyo,63443
2020/4/5,2721,tokyo,64390
2020/4/6,2848,tokyo,72418
2020/4/7,2821,tokyo,73380
2020/4/8,2695,tokyo,70555
2020/4/9,2749,tokyo,69995
2020/4/10,2851,tokyo,71634
2020/4/11,2596,tokyo,65066
2020/4/12,2580,tokyo,64088
2020/4/13,3058,tokyo,81206
2020/4/14,2884,tokyo,74449
2020/4/15,2663,tokyo,70745
2020/4/16,2755,tokyo,71011
2020/4/17,2667,tokyo,70733
2020/4/18,2562,tokyo,67174
2020/4/19,2414,tokyo,58631
2020/4/20,2725,tokyo,73786
2020/4/21,2577,tokyo,68284
2020/4/22,2652,tokyo,68045
2020/4/23,2654,tokyo,68236
2020/4/24,2679,tokyo,68300
2020/4/25,2439,tokyo,61370
2020/4/26,2291,tokyo,56660
2020/4/27,2558,tokyo,65812
2020/4/28,2524,tokyo,65734
2020/4/29,2355,tokyo,59673
2020/4/30,2332,tokyo,60934
2020/5/1,2271,tokyo,59439
2020/5/2,2187,tokyo,55362
2020/5/3,2136,tokyo,52843
2020/5/4,2160,tokyo,53336
2020/5/5,2146,tokyo,54250
2020/5/6,2172,tokyo,55413
2020/5/7,2342,tokyo,58454
2020/5/8,2351,tokyo,59907
2020/5/9,2275,tokyo,56957
2020/5/10,2293,tokyo,55773
2020/5/11,2505,tokyo,65868
2020/5/12,2499,tokyo,66190
2020/5/13,2460,tokyo,66652
2020/5/14,2469,tokyo,65053
2020/5/15,2469,tokyo,65533
2020/5/16,2298,tokyo,59438
2020/5/17,2301,tokyo,56975
2020/5/18,2494,tokyo,65383
2020/5/19,2464,tokyo,66510
2020/5/20,2494,tokyo,65796
2020/5/21,2539,tokyo,68084
2020/5/22,2472,tokyo,65159
2020/5/23,2282,tokyo,58520
2020/5/24,2258,tokyo,55794
2020/5/25,2481,tokyo,64982
2020/5/26,2508,tokyo,67284
2020/5/27,2516,tokyo,67310
2020/5/28,2435,tokyo,65715
2020/5/29,2475,tokyo,65363
2020/5/30,2351,tokyo,59867
2020/5/31,2298,tokyo,56565
2020/6/1,2542,tokyo,66993
2020/6/2,2639,tokyo,70445
2020/6/3,2660,tokyo,72322
2020/6/4,2673,tokyo,72578
2020/6/5,2704,tokyo,74592
2020/6/6,2447,tokyo,66034
2020/6/7,2360,tokyo,59461
2020/6/8,2680,tokyo,70946
2020/6/9,2766,tokyo,76978
2020/6/10,2811,tokyo,78253
2020/6/11,2810,tokyo,79754
2020/6/12,2915,tokyo,80957
2020/6/13,2462,tokyo,66598
2020/6/14,2518,tokyo,61964
2020/6/15,2923,tokyo,79314
2020/6/16,2776,tokyo,78265
2020/6/17,2699,tokyo,74579
2020/6/18,2680,tokyo,72781
2020/6/19,2522,tokyo,68943
2020/6/20,2483,tokyo,63641
2020/6/21,2401,tokyo,60349
2020/6/22,2548,tokyo,68404
2020/6/23,2701,tokyo,71651
2020/6/24,2632,tokyo,72037
2020/6/25,2646,tokyo,70696
2020/6/26,2888,tokyo,76101
2020/6/27,2750,tokyo,70954
2020/6/28,2490,tokyo,63851
2020/6/29,2783,tokyo,74219
2020/6/30,2950,tokyo,77018
2020/7/1,2878,tokyo,79003
2020/7/2,2932,tokyo,80847
2020/7/3,2713,tokyo,76012
2020/7/4,2686,tokyo,67943
2020/7/5,2653,tokyo,66411
2020/7/6,2936,tokyo,77600
2020/7/7,3088,tokyo,83653
2020/7/8,2956,tokyo,81110
2020/7/9,2842,tokyo,78875
2020/7/10,2977,tokyo,79287
2020/7/11,2875,tokyo,75049
2020/7/12,2576,tokyo,71623
2020/7/13,2725,tokyo,71888
2020/7/14,2787,tokyo,75111
2020/7/15,2626,tokyo,73088
2020/7/16,2672,tokyo,71360
2020/7/17,2628,tokyo,70357
2020/7/18,2528,tokyo,64809
2020/7/19,2682,tokyo,66371
2020/7/20,2956,tokyo,82533
2020/7/21,3029,tokyo,81210
2020/7/22,3123,tokyo,85091
2020/7/23,2730,tokyo,72242
2020/7/24,2812,tokyo,69944
2020/7/25,2729,tokyo,70816
2020/7/26,2740,tokyo,69940
2020/7/27,3029,tokyo,81637
2020/7/28,3059,tokyo,84364
2020/7/29,2737,tokyo,75800
2020/7/30,2816,tokyo,74557
