DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,合計,lat,lon
2019/4/1,2138199,0,1684544,75294,0,3156,164746,9940,tokyo,1937680,35.67012971,139.758427
2019/5/1,2090344,0,1518747,127118,0,1472,194583,7382,tokyo,1849302,35.67012971,139.758427
2019/6/1,2165553,0,1632922,137260,0,6543,145881,7064,tokyo,1929670,35.67012971,139.758427
2019/7/1,2460848,0,1824662,155434,0,9573,132754,6126,tokyo,2128549,35.67012971,139.758427
2019/8/1,2792082,0,2174958,131163,0,12365,154817,5573,tokyo,2478876,35.67012971,139.758427
2019/9/1,2404788,0,1881860,108924,0,11972,141922,6222,tokyo,2150900,35.67012971,139.758427
2019/10/1,2189404,0,1734727,109837,0,13329,110850,9565,tokyo,1978308,35.67012971,139.758427
2019/11/1,2196252,0,1715917,104636,0,24541,119862,10245,tokyo,1975201,35.67012971,139.758427
2019/12/1,2556686,0,2065067,85732,0,25792,97485,10195,tokyo,2284271,35.67012971,139.758427
2020/1/1,2622848,0,2126098,91136,0,23923,111165,10757,tokyo,2363079,35.67012971,139.758427
2020/2/1,2394655,0,1844140,83023,0,26672,143974,9980,tokyo,2107789,35.67012971,139.758427
2020/3/1,2355954,0,1795226,81880,0,29708,160718,12527,tokyo,2080059,35.67012971,139.758427
2020/4/1,2053897,0,1416676,117183,0,27698,188458,11227,tokyo,1761242,35.67012971,139.758427
2020/5/1,1899775,0,1243918,136420,0,21557,178689,8348,tokyo,1588932,35.67012971,139.758427
2020/6/1,2140678,0,1513880,124057,0,22355,152591,6428,tokyo,1819311,35.67012971,139.758427
2020/7/1,2337012,0,1663250,151587,0,21483,103379,8117,tokyo,1947816,35.67012971,139.758427
2020/8/1,2825380,0,2075384,138829,0,23673,193388,3829,tokyo,2435103,35.67012971,139.758427
2020/9/1,2365579,0,1873670,108437,0,22000,125047,6496,tokyo,2135650,35.67012971,139.758427
2020/10/1,2122262,0,1629055,106948,0,25108,110990,8843,tokyo,1880944,35.67012971,139.758427
2020/11/1,2133440,0,1694816,83541,0,24433,123523,9018,tokyo,1935331,35.67012971,139.758427
2020/12/1,2626819,0,2165932,83989,0,26192,138514,9441,tokyo,2424068,35.67012971,139.758427
2021/1/1,2777215,0,2226041,77084,0,25075,146018,10412,tokyo,2484630,35.67012971,139.758427
2021/2/1,2351092,0,1895815,66507,0,22606,197284,12645,tokyo,2194857,35.67012971,139.758427
2021/3/1,2315381,0,1821375,101974,0,26306,210640,11806,tokyo,2172101,35.67012971,139.758427
2021/4/1,2033015,0,1491506,111371,0,20177,222690,9865,tokyo,1855609,35.67012971,139.758427
2021/5/1,2014335,0,1477417,154244,0,18536,187409,9164,tokyo,1846770,35.67012971,139.758427
2021/6/1,2164370,0,1659458,136306,0,17060,193653,4182,tokyo,2010659,35.67012971,139.758427
2021/7/1,2582590,0,2015326,150808,0,20195,198571,3627,tokyo,2388527,35.67012971,139.758427
2021/8/1,2682023,0,2037677,147658,0,18417,179643,6005,tokyo,2389400,35.67012971,139.758427
2021/9/1,2157008,0,1608336,150929,0,19036,142791,6387,tokyo,1927479,35.67012971,139.758427
2021/10/1,2168086,0,1718324,83259,0,21374,154701,6986,tokyo,1984644,35.67012971,139.758427
2021/11/1,2162297,0,1724361,70673,0,16500,159119,7514,tokyo,1978167,35.67012971,139.758427
2021/12/1,2602105,0,2113591,91235,0,17424,142171,10448,tokyo,2374869,35.67012971,139.758427
2022/1/1,2850696,0,2337596,87902,0,19810,158844,10615,tokyo,2614767,35.67012971,139.758427
2022/2/1,2586477,0,2053715,75318,0,19285,179157,9468,tokyo,2336943,35.67012971,139.758427
2022/3/1,2357110,0,1852455,89036,0,21488,213498,9393,tokyo,2185870,35.67012971,139.758427
2022/4/1,2069342,0,1528246,115937,0,25704,207279,5833,tokyo,1882999,35.67012971,139.758427
2022/5/1,2035875,0,1395818,164960,0,24810,234731,4986,tokyo,1825305,35.67012971,139.758427
2022/6/1,2262310,0,1657594,158751,0,19117,221916,4378,tokyo,2061756,35.67012971,139.758427
2022/7/1,2710459,0,2076868,127486,0,25207,215840,3670,tokyo,2449071,35.67012971,139.758427
2022/8/1,2674658,0,2010914,133051,0,24452,193424,4488,tokyo,2366329,35.67012971,139.758427
2022/9/1,2316185,0,1724336,126766,0,23130,180390,5231,tokyo,2059853,35.67012971,139.758427
2022/10/1,2104690,0,1567827,100274,0,20748,156242,6195,tokyo,1851286,35.67012971,139.758427
2022/11/1,2089663,0,1607681,66892,0,15613,150092,5006,tokyo,1845284,35.67012971,139.758427
2019/4/1,1097993.5,241726.4,638871.5,77378.9,0,0,74311.8,3926.1,kansai,1036214.7,34.69252759,135.492433
2019/5/1,1079662.6,219276.7,553928.8,109633.2,0,0,87980.5,3060.7,kansai,973879.9,34.69252759,135.492433
2019/6/1,1126233.9,213239.4,609426.2,134030.1,0,0,75291.1,2499,kansai,1034485.8,34.69252759,135.492433
2019/7/1,1287282.3,225558.9,709595,159636,0,0,59192.3,2486.2,kansai,1156468.4,34.69252759,135.492433
2019/8/1,1392993.2,214364.6,787472.8,139196,0,0,68575.8,2279.7,kansai,1211888.9,34.69252759,135.492433
2019/9/1,1237351.7,219407.9,704511.7,99966.4,0,0,67442.4,2059,kansai,1093387.4,34.69252759,135.492433
2019/10/1,1106622,237272.1,579766.7,101318.9,0,0,48807.1,3434.9,kansai,970599.7,34.69252759,135.492433
2019/11/1,1077293.9,230682.2,622305.6,63698.6,0,0,49237.8,3750.3,kansai,969674.5,34.69252759,135.492433
2019/12/1,1244004.3,239495.7,741884.9,64414.5,0,0,36440.7,4932.5,kansai,1087168.3,34.69252759,135.492433
2020/1/1,1264997.8,185254.6,783828.4,95359.6,0,0,38090.6,4054.8,kansai,1106588,34.69252759,135.492433
2020/2/1,1228102.3,220424.3,762119.3,99300.4,0,0,46556.2,3512.1,kansai,1131912.3,34.69252759,135.492433
2020/3/1,1178952.6,240741.2,672894.5,106814.3,0,0,67312.7,3112.5,kansai,1090875.2,34.69252759,135.492433
2020/4/1,1043176.3,232776.5,511867,110924,0,0,80418.7,3981.5,kansai,939967.7,34.69252759,135.492433
2020/5/1,962189.6,239715.7,451648.4,113798.5,0,0,81474.1,2680.9,kansai,889317.6,34.69252759,135.492433
2020/6/1,1093195.3,229849.8,524188,137727.8,0,0,72629.4,2234.1,kansai,966629.1,34.69252759,135.492433
2020/7/1,1209161.8,203801.4,658101.1,185306.2,0,0,51612.6,2969.1,kansai,1101790.4,34.69252759,135.492433
2020/8/1,1435011,149663.5,861493.4,139161.9,0,0,91342.5,2337.1,kansai,1243998.4,34.69252759,135.492433
2020/9/1,1184687.6,145352.9,691094.5,85976.3,0,0,60730.9,2621.7,kansai,985776.3,34.69252759,135.492433
2020/10/1,1061114.8,98440.7,675600.2,72269.9,0,0,59546,2889.1,kansai,908745.9,34.69252759,135.492433
2020/11/1,1063661.4,6253.4,755829.5,52030.2,0,0,51778.2,2836,kansai,868727.3,34.69252759,135.492433
2020/12/1,1282125.1,0,975284.1,60544.6,0,0,46336.8,4498,kansai,1086663.5,34.69252759,135.492433
2021/1/1,1359018.1,36416.3,1075754.6,67105.4,0,0,45892.8,3695.8,kansai,1228864.9,34.69252759,135.492433
2021/2/1,1165138.7,78966.2,806829.9,73305,0,0,59004.2,3484.8,kansai,1021590.1,34.69252759,135.492433
2021/3/1,1170186.8,129653.1,674949.4,109584,0,0,73657.3,1842.4,kansai,989686.2,34.69252759,135.492433
2021/4/1,1036667,178263.8,479522.7,117977,0,0,85663.9,4578.6,kansai,866006,34.69252759,135.492433
2021/5/1,1014213.4,219996.3,410830.6,163853.4,0,0,72409.1,4379.9,kansai,871469.3,34.69252759,135.492433
2021/6/1,1111315.3,212094.7,526754.8,146164.4,0,0,79157.2,2567.1,kansai,966738.2,34.69252759,135.492433
2021/7/1,1333114.1,343055.5,600648.5,158757,0,0,80211.3,1792,kansai,1184464.3,34.69252759,135.492433
2021/8/1,1315066.9,355001.5,551341.4,160256.4,0,0,67085.6,4066.6,kansai,1137751.5,34.69252759,135.492433
2021/9/1,1143887.9,350751.6,457318,136720.4,0,0,62767.9,2200.3,kansai,1009758.2,34.69252759,135.492433
2021/10/1,1114266.2,347383.6,494947.5,63570.3,0,0,70707.1,3299.4,kansai,979907.9,34.69252759,135.492433
2021/11/1,1085654.4,296198.7,581561.7,51136.1,0,0,54887.5,2931.4,kansai,986715.4,34.69252759,135.492433
2021/12/1,1278190.6,307445.3,750877.7,74630.7,0,0,45677.4,3316.5,kansai,1181947.6,34.69252759,135.492433
2022/1/1,1401716.7,308065.7,798279.7,74219.3,0,0,45013.9,3796.3,kansai,1229374.9,34.69252759,135.492433
2022/2/1,1292351.5,278402.1,764719,64049.9,0,3156.4,59149.2,3236.5,kansai,1172713.1,34.69252759,135.492433
2022/3/1,1200564.1,183722.6,703985.3,83897.1,0,4941.3,74352.2,2423.2,kansai,1053321.7,34.69252759,135.492433
2022/4/1,1020197.8,148821.2,523726.8,116731.8,0,4897.6,89092.6,3180.6,kansai,886450.6,34.69252759,135.492433
2022/5/1,1018654.2,153395.4,501368.6,131523,0,4665.9,92748.3,1844.4,kansai,885545.6,34.69252759,135.492433
2022/6/1,1141953.4,99013.8,680444,118353.2,0,4661.5,90858.7,2310.3,kansai,995641.5,34.69252759,135.492433
2022/7/1,1349877.4,128931,805326.2,134431.7,0,5134.8,86980.6,2139.7,kansai,1162944,34.69252759,135.492433
2022/8/1,1379575.4,209907.6,711434.2,133346.4,0,5015.2,80501.8,1285.2,kansai,1141490.4,34.69252759,135.492433
2022/9/1,1208113.3,199430.6,539134.3,148498.6,0,4743.7,72668.8,1971.6,kansai,966447.6,34.69252759,135.492433
2022/10/1,1049231.1,213300.7,459485.5,83421,0,4921.6,69181.4,1831.1,kansai,832141.3,35.17155443,136.9137925
2019/4/1,1027772.6,0,816491.4,57469.2,0,0,113313.3,5539.1,chubu,992813,35.17155443,136.9137925
2019/5/1,1000658.4,0,753554.5,79678.7,0,0,130308.1,3584,chubu,967125.3,35.17155443,136.9137925
2019/6/1,1046911,0,807429.8,97182.5,0,0,101299.4,3075.7,chubu,1008987.4,35.17155443,136.9137925
2019/7/1,1183774.5,0,913594.1,138672.2,0,0,84157.7,2151,chubu,1138575,35.17155443,136.9137925
2019/8/1,1242229.9,0,1007787,126524.7,0,0,110695.6,2751,chubu,1247758.3,35.17155443,136.9137925
2019/9/1,1159475.3,0,977809.4,96830.7,0,0,96295.1,3229.7,chubu,1174164.9,35.17155443,136.9137925
2019/10/1,1045617.1,0,834491,103150,0,0,71059.6,4814,chubu,1013514.6,35.17155443,136.9137925
2019/11/1,1027803,0,828471.4,73461.8,0,0,82573.8,4511.8,chubu,989018.8,35.17155443,136.9137925
2019/12/1,1145647.2,0,1021111.3,65732.9,0,0,63647.6,4850,chubu,1155341.8,35.17155443,136.9137925
2020/1/1,1174626.4,0,1022769.6,61105,0,0,69439.9,6442.1,chubu,1159756.6,35.17155443,136.9137925
2020/2/1,1148474.4,0,959650.8,62489.8,0,0,86452.1,6064.8,chubu,1114657.5,35.17155443,136.9137925
2020/3/1,1121143.1,0,893681.9,78471.8,0,0,108537.4,5975.4,chubu,1086666.5,35.17155443,136.9137925
2020/4/1,972858.6,0,686561.3,102739.6,0,0,135074.9,6053.1,chubu,930428.9,35.17155443,136.9137925
2020/5/1,867741.6,0,569835.9,99125.2,0,0,131944.5,3023.3,chubu,803928.9,35.17155443,136.9137925
2020/6/1,987423.6,0,727560.1,110207,0,0,110346.6,2889.1,chubu,951002.8,35.17155443,136.9137925
2020/7/1,1101094.7,0,800819,118632.9,0,0,77939.8,3021.3,chubu,1000413,35.17155443,136.9137925
2020/8/1,1245981.7,0,970347.1,105380.5,0,0,142417.9,1694,chubu,1219839.5,35.17155443,136.9137925
2020/9/1,1116553.4,0,858505.5,87343.1,0,0,93288.5,2770.5,chubu,1041907.6,35.17155443,136.9137925
2020/10/1,1024413.3,0,798075.7,90519.8,0,0,88566.1,3801.1,chubu,980962.7,35.17155443,136.9137925
2020/11/1,1021532,0,872185.3,54575.3,0,0,87651,4337.5,chubu,1018749.1,35.17155443,136.9137925
2020/12/1,1196989.6,0,1103332.3,43703.9,0,0,83066.4,6431,chubu,1236533.6,35.17155443,136.9137925
2021/1/1,1260602.9,0,1168415.4,35521,0,0,81354.6,8053.3,chubu,1293344.3,35.17155443,136.9137925
2021/2/1,1117910.2,0,972881.6,38643.9,0,0,100806,7096.3,chubu,1119427.8,35.17155443,136.9137925
2021/3/1,1117170.1,0,885534,88494,0,0,116133.4,6102.8,chubu,1096264.2,35.17155443,136.9137925
2021/4/1,997144.6,0,745335.5,102964.2,0,0,137891.8,4860.1,chubu,991051.6,35.17155443,136.9137925
2021/5/1,962268.4,0,660010.7,126477.2,0,0,117215.7,3841.3,chubu,907544.9,35.17155443,136.9137925
2021/6/1,1050470.7,0,743940.8,106504,0,0,122986.2,1934.3,chubu,975365.3,35.17155443,136.9137925
2021/7/1,1227067.8,0,852024.5,122542.2,0,0,128295.9,2131.4,chubu,1104994,35.17155443,136.9137925
2021/8/1,1180113.1,0,821705.8,120219.2,0,0,113414.9,3326.2,chubu,1058666.1,35.17155443,136.9137925
2021/9/1,1060475.7,0,674805.4,123890.8,10,14081.1,93765.2,3562.9,chubu,910115.4,35.17155443,136.9137925
2021/10/1,1035353.3,0,678308.6,75120.8,9.9,13370,108988.1,4665.7,chubu,880463.1,35.17155443,136.9137925
2021/11/1,1047938.9,0,774688.9,44962.8,6.3,16641.8,97735.2,6206.8,chubu,940241.8,35.17155443,136.9137925
2021/12/1,1211668.5,0,827613.6,63696.3,7.9,14661.2,85734.3,9244.2,chubu,1000957.5,35.17155443,136.9137925
2022/1/1,1295578,0,997494.4,46342.2,9.2,16385.7,94828.3,10155.8,chubu,1165215.6,35.17155443,136.9137925
2022/2/1,1204250,0,950996.4,29379.1,7,14621.7,99520.2,8560,chubu,1103084.4,35.17155443,136.9137925
2022/3/1,1138719.6,0,838775.4,67013.3,5.6,17430.4,126644.1,7010.3,chubu,1056879.1,35.17155443,136.9137925
2022/4/1,977742.3,0,681023.5,96173.2,7.1,10473.3,130027,4559.9,chubu,922264,35.17155443,136.9137925
2022/5/1,950751.7,0,635453.1,112765.1,5.7,11710,143875.4,4127.9,chubu,907937.2,35.17155443,136.9137925
2022/6/1,1070171.2,0,766667.6,83792.8,5.2,15446.8,139735.4,3649.2,chubu,1009297,35.17155443,136.9137925
2022/7/1,1207665.6,0,869576.3,109372.1,11.8,15173.4,132047.4,2165.9,chubu,1128346.9,35.17155443,136.9137925
2022/8/1,1210780.8,0,876321.5,115043.4,9.4,15990.3,125979.6,2475.2,chubu,1135819.4,35.17155443,136.9137925
2022/9/1,1138829.7,0,808772.5,131059.5,6.5,14504.6,113202.6,5167.7,chubu,1072713.4,35.17155443,136.9137925
2022/10/1,1000220.4,0,725868.5,91316.7,7,12898.9,109263.1,3818.7,chubu,943172.9,35.17155443,136.9137925
2019/4/1,643133.6,0,577391.6,134618.2,7365.5,20837.7,71899.8,19693,tohoku,831805.8,38.29869979,140.8776845
2019/5/1,603614.4,0,523101.2,155173,7396.2,26780.9,90797,16993.2,tohoku,820241.5,38.29869979,140.8776845
2019/6/1,597208.6,0,555580.1,124718.4,5248.1,34719.3,64504.2,12011,tohoku,796781.1,38.29869979,140.8776845
2019/7/1,665273.2,0,736713.6,106549.7,5383.8,38961.3,59674.6,12664.8,tohoku,959947.8,38.29869979,140.8776845
2019/8/1,715643.2,0,805535,82107.1,5795,39589.1,65872,14806.5,tohoku,1013704.7,38.29869979,140.8776845
2019/9/1,618084.7,0,668342.3,65601.7,6260.2,37788.3,61289,13149.7,tohoku,852431.2,38.29869979,140.8776845
2019/10/1,610845.2,0,631470.7,69855.4,6831.9,22778.9,47382,21386.7,tohoku,799705.6,38.29869979,140.8776845
2019/11/1,654290.1,0,680702.5,81496.6,6792.7,34756.2,43386.7,33330.4,tohoku,880465.1,38.29869979,140.8776845
2019/12/1,754039.8,0,803385.9,105992.7,6869.9,39825.5,33447.5,37506.6,tohoku,1027028.1,38.29869979,140.8776845
2020/1/1,775987.6,0,809651.8,109152.7,6966.6,43285.9,35858,33471.7,tohoku,1038386.7,38.29869979,140.8776845
2020/2/1,740157.2,0,787421.7,115806.5,5937.7,39921.5,43146.1,34235.1,tohoku,1026468.6,38.29869979,140.8776845
2020/3/1,707218.2,0,701158,116649.9,6823,38805.3,66627,35204.2,tohoku,965267.4,38.29869979,140.8776845
2020/4/1,630715.1,0,611740.5,124952.9,10499.2,26881,74803.9,36388.9,tohoku,885266.4,38.29869979,140.8776845
2020/5/1,563129.6,0,551713.5,121925.8,10128,27747.5,83900.3,25602.2,tohoku,821017.3,38.29869979,140.8776845
2020/6/1,579723.2,0,648015.2,89005.8,9791,20204.6,82422.4,15673.7,tohoku,865112.7,38.29869979,140.8776845
2020/7/1,614552.9,0,719735.4,128086.4,6913,28951.9,54061.2,11468.6,tohoku,949216.5,38.29869979,140.8776845
2020/8/1,692594.3,0,838761.9,107690.3,9511.1,28629.1,81781.1,16169.6,tohoku,1082543.1,38.29869979,140.8776845
2020/9/1,624821.3,0,692893,64489.9,9432.6,27851.8,58673.8,23714.8,tohoku,877055.9,38.29869979,140.8776845
2020/10/1,612117.4,0,706100.6,49941.7,10098.7,25608.1,54380,27860,tohoku,873989.1,38.29869979,140.8776845
2020/11/1,646400.5,0,671516,73391.5,10472.3,24337.9,51814.3,39190.3,tohoku,870722.3,38.29869979,140.8776845
2020/12/1,804669.9,0,846692.7,78242.5,10780,29144.4,31671.5,48565.2,tohoku,1045096.3,38.29869979,140.8776845
2021/1/1,869513.4,0,988377.8,75924.7,10440.2,29007,29937.6,45557.6,tohoku,1179244.9,38.29869979,140.8776845
2021/2/1,754184.7,0,692436.2,91703,9531.7,27313.9,51601,47163.5,tohoku,919749.3,38.29869979,140.8776845
2021/3/1,721017.9,0,568378.9,135500.5,10363.6,33677.2,83741,35377.8,tohoku,867039,38.29869979,140.8776845
2021/4/1,624033.5,0,493956.8,144522.6,9584.1,28642.9,96725.1,30249.4,tohoku,803680.9,38.29869979,140.8776845
2021/5/1,595459.2,0,469155,151985.3,6221.1,28866.2,93324.4,28902,tohoku,778454,38.29869979,140.8776845
2021/6/1,609478,0,570902.1,102840.1,4625.3,20868.5,93474.2,13064.7,tohoku,805774.9,38.29869979,140.8776845
2021/7/1,700504.3,0,698723.8,101230.9,7061.6,27518.7,89807.1,13363,tohoku,937705.1,38.29869979,140.8776845
2021/8/1,695823.5,0,709879.1,104931.7,8938.9,29396.3,77605.4,21028.7,tohoku,951780.1,38.29869979,140.8776845
2021/9/1,606566.6,0,654518.1,79139.9,8872.6,27587.9,79039.4,19269.3,tohoku,868427.2,38.29869979,140.8776845
2021/10/1,631332.1,0,679475,62576.1,9308.2,25997.8,65537.2,23434.3,tohoku,866328.6,38.29869979,140.8776845
2021/11/1,664926.7,0,677107.7,74645.7,9842.2,24539.6,61649.4,35854.9,tohoku,883639.5,38.29869979,140.8776845
2021/12/1,805786.3,0,830857.5,122565.3,10652.1,28767.7,35848.3,46998.5,tohoku,1075689.4,38.29869979,140.8776845
2022/1/1,878648.1,0,947255.4,79552.2,10540.4,30673.8,39033.9,50553.2,tohoku,1157608.9,38.29869979,140.8776845
2022/2/1,793758.9,0,855790.6,64621.6,9539.8,24856.3,46619.5,48782.3,tohoku,1050210.1,38.29869979,140.8776845
2022/3/1,749094.1,0,629870.7,111160.4,10035.6,30451.2,83338.8,39598.6,tohoku,904455.3,38.29869979,140.8776845
2022/4/1,616869.1,0,406373.1,157164.8,9280.9,33405.3,103245.9,26467.1,tohoku,735937.1,38.29869979,140.8776845
2022/5/1,592470.3,0,413246.4,153675.5,7145.8,35167,116583.8,26725,tohoku,752543.5,38.29869979,140.8776845
2022/6/1,617536.4,0,472949.3,119291.2,5767,31395,99206.9,29460.9,tohoku,758070.3,38.29869979,140.8776845
2022/7/1,697124.9,0,658018.3,97878,8794.8,29131.6,98833,15265.4,tohoku,907921.1,38.29869979,140.8776845
2022/8/1,679808.1,0,672793.4,106065.4,9468.8,32527.8,81645.8,23307.6,tohoku,925808.8,38.29869979,140.8776845
2022/9/1,627743.4,0,608467.5,76835.9,8897.2,36285.7,87159.6,16538.2,tohoku,834184.1,38.29869979,140.8776845
2022/10/1,619818.7,0,605489,50219,8199.2,34468.7,79456.7,27088.6,tohoku,804921.2,38.29869979,140.8776845
2019/4/1,453979,0,289016.8,24471.6,0,7958.4,57640.3,3871.3,chugoku,382958.4,34.38864483,132.4556987
2019/5/1,432552,0,280030.8,17551.1,0,10497.9,67849.6,3225.2,chugoku,379154.6,34.38864483,132.4556987
2019/6/1,452870.5,0,301418.9,18867.4,0,9747.9,59336.4,2647.9,chugoku,392018.5,34.38864483,132.4556987
2019/7/1,520810.7,0,343530,30565.2,0,14472.7,51204.2,2570.5,chugoku,442342.6,34.38864483,132.4556987
2019/8/1,548129.5,0,359563.6,26228.3,0,16189.5,54229.7,2476.4,chugoku,458687.5,34.38864483,132.4556987
2019/9/1,503466.1,0,310858.5,29833.4,0,18877.5,53018.7,3134.4,chugoku,415722.5,34.38864483,132.4556987
2019/10/1,467423,0,293474.5,22897.6,0,20997.2,45083.8,3549,chugoku,386002.1,34.38864483,132.4556987
2019/11/1,474640,0,287402.9,13122.6,0,19682.1,42617.9,4162.3,chugoku,366987.8,34.38864483,132.4556987
2019/12/1,549890.3,0,355661.4,12763.2,0,16430.7,33973.4,4646.8,chugoku,423475.5,34.38864483,132.4556987
2020/1/1,551907.3,0,363729.4,20780.1,0,16616.8,36843.5,4994.9,chugoku,442964.7,34.38864483,132.4556987
