DATE,合計,エリア
2019/4/1,1027805,chubu
2019/5/1,1000704,chubu
2019/6/1,1046728,chubu
2019/7/1,1183814,chubu
2019/8/1,1242260,chubu
2019/9/1,1159849,chubu
2019/10/1,1045631,chubu
2019/11/1,1027846,chubu
2019/12/1,1145398,chubu
2020/1/1,1174673,chubu
2020/2/1,1148511,chubu
2020/3/1,1121188,chubu
2020/4/1,972895,chubu
2020/5/1,867777,chubu
2020/6/1,987470,chubu
2020/7/1,1101125,chubu
2020/8/1,1246030,chubu
2020/9/1,1116590,chubu
2020/10/1,1024446,chubu
2020/11/1,1021568,chubu
2020/12/1,1197022,chubu
2021/1/1,1260633,chubu
2021/2/1,1117943,chubu
2021/3/1,1117205,chubu
2021/4/1,997178,chubu
2021/5/1,962306,chubu
2021/6/1,927431,chubu
2021/7/1,1227104,chubu
2021/8/1,1180150,chubu
2021/9/1,1060517,chubu
2021/10/1,1035392,chubu
2021/11/1,1047970,chubu
2021/12/1,1211687,chubu
2022/1/1,1294870,chubu
2022/2/1,1204286,chubu
2022/3/1,1138715,chubu
2022/4/1,977772,chubu
2022/5/1,950788,chubu
2022/6/1,1070217,chubu
2022/7/1,1207712,chubu
2022/8/1,1210811,chubu
2022/9/1,1139081,chubu
2022/10/1,1000249,chubu
2022/11/1,1001490,chubu
2022/12/1,1185007,chubu
2023/1/1,1207243,chubu
2023/2/1,1104499,chubu
2023/3/1,1039556,chubu
2023/4/1,932228,chubu
2023/5/1,932012,chubu
2023/6/1,1015706,chubu
2023/7/1,1219313,chubu
2023/8/1,1218916,chubu
2021/4/1,441307,chugoku
2021/5/1,432013,chugoku
2021/6/1,459072,chugoku
2021/7/1,518977,chugoku
2021/8/1,528893,chugoku
2021/9/1,475333,chugoku
2021/10/1,467007,chugoku
2021/11/1,479052,chugoku
2021/12/1,555807,chugoku
2022/4/1,435322,chugoku
2022/5/1,423766,chugoku
2022/6/1,463793,chugoku
2022/7/1,533089,chugoku
2022/8/1,552789,chugoku
2022/9/1,486850,chugoku
2022/10/1,442385,chugoku
2022/11/1,440934,chugoku
2022/12/1,558025,chugoku
2023/1/1,561432,chugoku
2023/2/1,497360,chugoku
2023/3/1,464288,chugoku
2023/4/1,410505,chugoku
2023/5/1,400599,chugoku
2023/6/1,428290,chugoku
2023/7/1,498689,chugoku
2019/4/1,236563,hokkaido
2019/5/1,219911,hokkaido
2019/6/1,212320,hokkaido
2019/7/1,233940,hokkaido
2019/8/1,238540,hokkaido
2019/9/1,221731,hokkaido
2019/10/1,231063,hokkaido
2019/11/1,258873,hokkaido
2019/12/1,307113,hokkaido
2020/1/1,313890,hokkaido
2020/2/1,294538,hokkaido
2020/3/1,272977,hokkaido
2020/4/1,233810,hokkaido
2020/5/1,211650,hokkaido
2020/6/1,209608,hokkaido
2020/7/1,225009,hokkaido
2020/8/1,233868,hokkaido
2020/9/1,220316,hokkaido
2020/10/1,230362,hokkaido
2020/11/1,254832,hokkaido
2020/12/1,312285,hokkaido
2021/1/1,335313,hokkaido
2021/2/1,289456,hokkaido
2021/3/1,281925,hokkaido
2021/4/1,238790,hokkaido
2021/5/1,221732,hokkaido
2021/6/1,211549,hokkaido
2021/7/1,239493,hokkaido
2021/8/1,232317,hokkaido
2021/9/1,211457,hokkaido
2021/10/1,230771,hokkaido
2021/11/1,248118,hokkaido
2021/12/1,305193,hokkaido
2022/1/1,327990,hokkaido
2022/2/1,288622,hokkaido
2022/3/1,281870,hokkaido
2022/4/1,232499,hokkaido
2022/5/1,217037,hokkaido
2022/6/1,211316,hokkaido
2022/7/1,234840,hokkaido
2022/8/1,233039,hokkaido
2022/9/1,217631,hokkaido
2022/10/1,228893,hokkaido
2022/11/1,247119,hokkaido
2022/12/1,310518,hokkaido
2023/1/1,325920,hokkaido
2023/2/1,287310,hokkaido
2023/3/1,262193,hokkaido
2023/4/1,225452,hokkaido
2023/5/1,214036,hokkaido
2023/6/1,208892,hokkaido
2019/4/1,231795,hokuriku
2019/5/1,213317,hokuriku
2019/6/1,216932,hokuriku
2019/7/1,247478,hokuriku
2019/8/1,259690,hokuriku
2019/9/1,231464,hokuriku
2019/10/1,219315,hokuriku
2019/11/1,228656,hokuriku
2019/12/1,259522,hokuriku
2020/1/1,265348,hokuriku
2020/2/1,261965,hokuriku
2020/3/1,253924,hokuriku
2020/4/1,226105,hokuriku
2020/5/1,191947,hokuriku
2020/6/1,207643,hokuriku
2020/7/1,224484,hokuriku
2020/8/1,252681,hokuriku
2020/9/1,227570,hokuriku
2020/10/1,215612,hokuriku
2020/11/1,225551,hokuriku
2020/12/1,275885,hokuriku
2021/1/1,300234,hokuriku
2021/2/1,259694,hokuriku
2021/3/1,253155,hokuriku
2021/4/1,221762,hokuriku
2021/5/1,207300,hokuriku
2021/6/1,200896,hokuriku
2021/7/1,255041,hokuriku
2021/8/1,246023,hokuriku
2021/9/1,221137,hokuriku
2021/10/1,223110,hokuriku
2021/11/1,234300,hokuriku
2021/12/1,280242,hokuriku
2022/1/1,305177,hokuriku
2022/2/1,283961,hokuriku
2022/3/1,262112,hokuriku
2022/4/1,217845,hokuriku
2022/5/1,205410,hokuriku
2022/6/1,225937,hokuriku
2022/7/1,253922,hokuriku
2022/8/1,249752,hokuriku
2022/9/1,228214,hokuriku
2022/10/1,211981,hokuriku
2022/11/1,217592,hokuriku
2022/12/1,274822,hokuriku
2023/1/1,280111,hokuriku
2023/2/1,254970,hokuriku
2023/3/1,234223,hokuriku
2023/4/1,205567,hokuriku
2023/5/1,195878,hokuriku
2023/6/1,208268,hokuriku
2023/7/1,244943,hokuriku
2023/8/1,261136,hokuriku
2019/4/1,1099619,kansai
2019/5/1,1077361,kansai
2019/6/1,1128301,kansai
2019/7/1,1290092,kansai
2019/8/1,1395243,kansai
2019/9/1,1239852,kansai
2019/10/1,1108360,kansai
2019/11/1,1079033,kansai
2019/12/1,1245120,kansai
2020/1/1,1266855,kansai
2020/2/1,1229638,kansai
2020/3/1,1181192,kansai
2020/4/1,1045813,kansai
2020/5/1,964391,kansai
