DATETIME,合計,エリア,
2020/1/1 0:00,2857,tokyo,
2020/1/1 1:00,2703,tokyo,
2020/1/1 2:00,2602,tokyo,
2020/1/1 3:00,2520,tokyo,
2020/1/1 4:00,2464,tokyo,
2020/1/1 5:00,2469,tokyo,
2020/1/1 6:00,2585,tokyo,
2020/1/1 7:00,2763,tokyo,
2020/1/1 8:00,2917,tokyo,
2020/1/1 9:00,2859,tokyo,
2020/1/1 10:00,2718,tokyo,
2020/1/1 11:00,2595,tokyo,
2020/1/1 12:00,2520,tokyo,
2020/1/1 13:00,2449,tokyo,
2020/1/1 14:00,2432,tokyo,
2020/1/1 15:00,2503,tokyo,
2020/1/1 16:00,2717,tokyo,
2020/1/1 17:00,3019,tokyo,
2020/1/1 18:00,3089,tokyo,
2020/1/1 19:00,3105,tokyo,
2020/1/1 20:00,3107,tokyo,
2020/1/1 21:00,3075,tokyo,
2020/1/1 22:00,2963,tokyo,
2020/1/1 23:00,2843,tokyo,
2020/1/2 0:00,2640,tokyo,
2020/1/2 1:00,2514,tokyo,
2020/1/2 2:00,2468,tokyo,
2020/1/2 3:00,2441,tokyo,
2020/1/2 4:00,2435,tokyo,
2020/1/2 5:00,2487,tokyo,
2020/1/2 6:00,2658,tokyo,
2020/1/2 7:00,2863,tokyo,
2020/1/2 8:00,3010,tokyo,
2020/1/2 9:00,2961,tokyo,
2020/1/2 10:00,2865,tokyo,
2020/1/2 11:00,2773,tokyo,
2020/1/2 12:00,2687,tokyo,
2020/1/2 13:00,2583,tokyo,
2020/1/2 14:00,2541,tokyo,
2020/1/2 15:00,2600,tokyo,
2020/1/2 16:00,2808,tokyo,
2020/1/2 17:00,3107,tokyo,
2020/1/2 18:00,3187,tokyo,
2020/1/2 19:00,3196,tokyo,
2020/1/2 20:00,3184,tokyo,
2020/1/2 21:00,3128,tokyo,
2020/1/2 22:00,2999,tokyo,
2020/1/2 23:00,2868,tokyo,
2020/1/3 0:00,2653,tokyo,
2020/1/3 1:00,2525,tokyo,
2020/1/3 2:00,2478,tokyo,
2020/1/3 3:00,2457,tokyo,
2020/1/3 4:00,2449,tokyo,
2020/1/3 5:00,2503,tokyo,
2020/1/3 6:00,2670,tokyo,
2020/1/3 7:00,2892,tokyo,
2020/1/3 8:00,3074,tokyo,
2020/1/3 9:00,3034,tokyo,
2020/1/3 10:00,2908,tokyo,
2020/1/3 11:00,2777,tokyo,
2020/1/3 12:00,2693,tokyo,
2020/1/3 13:00,2629,tokyo,
2020/1/3 14:00,2603,tokyo,
2020/1/3 15:00,2647,tokyo,
2020/1/3 16:00,2845,tokyo,
2020/1/3 17:00,3159,tokyo,
2020/1/3 18:00,3251,tokyo,
2020/1/3 19:00,3263,tokyo,
2020/1/3 20:00,3239,tokyo,
2020/1/3 21:00,3168,tokyo,
2020/1/3 22:00,3021,tokyo,
2020/1/3 23:00,2874,tokyo,
2020/1/4 0:00,2662,tokyo,
2020/1/4 1:00,2535,tokyo,
2020/1/4 2:00,2481,tokyo,
2020/1/4 3:00,2448,tokyo,
2020/1/4 4:00,2442,tokyo,
2020/1/4 5:00,2506,tokyo,
2020/1/4 6:00,2704,tokyo,
2020/1/4 7:00,2942,tokyo,
2020/1/4 8:00,3179,tokyo,
2020/1/4 9:00,3229,tokyo,
2020/1/4 10:00,3143,tokyo,
2020/1/4 11:00,3055,tokyo,
2020/1/4 12:00,2990,tokyo,
2020/1/4 13:00,2929,tokyo,
2020/1/4 14:00,2936,tokyo,
2020/1/4 15:00,2999,tokyo,
2020/1/4 16:00,3203,tokyo,
2020/1/4 17:00,3441,tokyo,
2020/1/4 18:00,3486,tokyo,
2020/1/4 19:00,3473,tokyo,
2020/1/4 20:00,3414,tokyo,
2020/1/4 21:00,3286,tokyo,
2020/1/4 22:00,3096,tokyo,
2020/1/4 23:00,2945,tokyo,
2020/1/5 0:00,2753,tokyo,
2020/1/5 1:00,2624,tokyo,
2020/1/5 2:00,2575,tokyo,
2020/1/5 3:00,2544,tokyo,
2020/1/5 4:00,2531,tokyo,
2020/1/5 5:00,2590,tokyo,
2020/1/5 6:00,2771,tokyo,
2020/1/5 7:00,3014,tokyo,
2020/1/5 8:00,3234,tokyo,
2020/1/5 9:00,3263,tokyo,
2020/1/5 10:00,3172,tokyo,
2020/1/5 11:00,3077,tokyo,
2020/1/5 12:00,3014,tokyo,
2020/1/5 13:00,2970,tokyo,
2020/1/5 14:00,2956,tokyo,
2020/1/5 15:00,3039,tokyo,
2020/1/5 16:00,3290,tokyo,
2020/1/5 17:00,3667,tokyo,
2020/1/5 18:00,3777,tokyo,
2020/1/5 19:00,3778,tokyo,
2020/1/5 20:00,3736,tokyo,
2020/1/5 21:00,3593,tokyo,
2020/1/5 22:00,3367,tokyo,
2020/1/5 23:00,3161,tokyo,
2020/1/6 0:00,2900,tokyo,
2020/1/6 1:00,2756,tokyo,
2020/1/6 2:00,2698,tokyo,
2020/1/6 3:00,2674,tokyo,
2020/1/6 4:00,2715,tokyo,
2020/1/6 5:00,2953,tokyo,
2020/1/6 6:00,3454,tokyo,
2020/1/6 7:00,3881,tokyo,
2020/1/6 8:00,4168,tokyo,
2020/1/6 9:00,4201,tokyo,
2020/1/6 10:00,4058,tokyo,
2020/1/6 11:00,3945,tokyo,
2020/1/6 12:00,3731,tokyo,
2020/1/6 13:00,3782,tokyo,
2020/1/6 14:00,3771,tokyo,
2020/1/6 15:00,3808,tokyo,
2020/1/6 16:00,4012,tokyo,
2020/1/6 17:00,4177,tokyo,
2020/1/6 18:00,4154,tokyo,
2020/1/6 19:00,4077,tokyo,
2020/1/6 20:00,3965,tokyo,
2020/1/6 21:00,3804,tokyo,
2020/1/6 22:00,3600,tokyo,
2020/1/6 23:00,3338,tokyo,
2020/1/7 0:00,3054,tokyo,
2020/1/7 1:00,2903,tokyo,
2020/1/7 2:00,2857,tokyo,
2020/1/7 3:00,2843,tokyo,
2020/1/7 4:00,2873,tokyo,
2020/1/7 5:00,3075,tokyo,
2020/1/7 6:00,3534,tokyo,
2020/1/7 7:00,3903,tokyo,
2020/1/7 8:00,4291,tokyo,
2020/1/7 9:00,4485,tokyo,
2020/1/7 10:00,4403,tokyo,
2020/1/7 11:00,4334,tokyo,
2020/1/7 12:00,4201,tokyo,
2020/1/7 13:00,4294,tokyo,
2020/1/7 14:00,4278,tokyo,
2020/1/7 15:00,4311,tokyo,
2020/1/7 16:00,4466,tokyo,
2020/1/7 17:00,4501,tokyo,
2020/1/7 18:00,4442,tokyo,
2020/1/7 19:00,4335,tokyo,
2020/1/7 20:00,4208,tokyo,
2020/1/7 21:00,4010,tokyo,
2020/1/7 22:00,3773,tokyo,
2020/1/7 23:00,3494,tokyo,
2020/1/8 0:00,3174,tokyo,
2020/1/8 1:00,2998,tokyo,
2020/1/8 2:00,2916,tokyo,
2020/1/8 3:00,2882,tokyo,
2020/1/8 4:00,2909,tokyo,
2020/1/8 5:00,3091,tokyo,
2020/1/8 6:00,3537,tokyo,
2020/1/8 7:00,3940,tokyo,
2020/1/8 8:00,4355,tokyo,
2020/1/8 9:00,4653,tokyo,
2020/1/8 10:00,4638,tokyo,
2020/1/8 11:00,4631,tokyo,
2020/1/8 12:00,4287,tokyo,
2020/1/8 13:00,4315,tokyo,
2020/1/8 14:00,4206,tokyo,
2020/1/8 15:00,4138,tokyo,
2020/1/8 16:00,4272,tokyo,
2020/1/8 17:00,4399,tokyo,
2020/1/8 18:00,4363,tokyo,
2020/1/8 19:00,4263,tokyo,
2020/1/8 20:00,4134,tokyo,
2020/1/8 21:00,3950,tokyo,
2020/1/8 22:00,3725,tokyo,
2020/1/8 23:00,3430,tokyo,
2020/1/9 0:00,3108,tokyo,
2020/1/9 1:00,2927,tokyo,
2020/1/9 2:00,2852,tokyo,
2020/1/9 3:00,2823,tokyo,
2020/1/9 4:00,2862,tokyo,
2020/1/9 5:00,3040,tokyo,
2020/1/9 6:00,3463,tokyo,
2020/1/9 7:00,3750,tokyo,
2020/1/9 8:00,3966,tokyo,
2020/1/9 9:00,4010,tokyo,
2020/1/9 10:00,3887,tokyo,
2020/1/9 11:00,3786,tokyo,
2020/1/9 12:00,3585,tokyo,
2020/1/9 13:00,3679,tokyo,
2020/1/9 14:00,3663,tokyo,
2020/1/9 15:00,3693,tokyo,
2020/1/9 16:00,3878,tokyo,
2020/1/9 17:00,4090,tokyo,
2020/1/9 18:00,4086,tokyo,
2020/1/9 19:00,3994,tokyo,
2020/1/9 20:00,3876,tokyo,
2020/1/9 21:00,3705,tokyo,
2020/1/9 22:00,3522,tokyo,
2020/1/9 23:00,3285,tokyo,
2020/1/10 0:00,3009,tokyo,
2020/1/10 1:00,2864,tokyo,
2020/1/10 2:00,2818,tokyo,
2020/1/10 3:00,2817,tokyo,
2020/1/10 4:00,2870,tokyo,
2020/1/10 5:00,3072,tokyo,
2020/1/10 6:00,3504,tokyo,
2020/1/10 7:00,3840,tokyo,
2020/1/10 8:00,4095,tokyo,
2020/1/10 9:00,4127,tokyo,
2020/1/10 10:00,3959,tokyo,
2020/1/10 11:00,3859,tokyo,
2020/1/10 12:00,3684,tokyo,
2020/1/10 13:00,3756,tokyo,
2020/1/10 14:00,3739,tokyo,
2020/1/10 15:00,3774,tokyo,
2020/1/10 16:00,3936,tokyo,
2020/1/10 17:00,4124,tokyo,
2020/1/10 18:00,4115,tokyo,
2020/1/10 19:00,4022,tokyo,
2020/1/10 20:00,3913,tokyo,
2020/1/10 21:00,3769,tokyo,
2020/1/10 22:00,3615,tokyo,
2020/1/10 23:00,3399,tokyo,
2020/1/11 0:00,3139,tokyo,
2020/1/11 1:00,2982,tokyo,
2020/1/11 2:00,2902,tokyo,
2020/1/11 3:00,2857,tokyo,
2020/1/11 4:00,2844,tokyo,
2020/1/11 5:00,2907,tokyo,
2020/1/11 6:00,3121,tokyo,
2020/1/11 7:00,3411,tokyo,
2020/1/11 8:00,3812,tokyo,
2020/1/11 9:00,4001,tokyo,
2020/1/11 10:00,3899,tokyo,
2020/1/11 11:00,3729,tokyo,
2020/1/11 12:00,3520,tokyo,
2020/1/11 13:00,3417,tokyo,
2020/1/11 14:00,3355,tokyo,
2020/1/11 15:00,3355,tokyo,
2020/1/11 16:00,3521,tokyo,
2020/1/11 17:00,3786,tokyo,
2020/1/11 18:00,3832,tokyo,
2020/1/11 19:00,3800,tokyo,
2020/1/11 20:00,3724,tokyo,
2020/1/11 21:00,3591,tokyo,
2020/1/11 22:00,3402,tokyo,
2020/1/11 23:00,3229,tokyo,
2020/1/12 0:00,3007,tokyo,
2020/1/12 1:00,2871,tokyo,
2020/1/12 2:00,2807,tokyo,
2020/1/12 3:00,2774,tokyo,
2020/1/12 4:00,2764,tokyo,
2020/1/12 5:00,2818,tokyo,
2020/1/12 6:00,2998,tokyo,
2020/1/12 7:00,3223,tokyo,
2020/1/12 8:00,3461,tokyo,
2020/1/12 9:00,3603,tokyo,
2020/1/12 10:00,3587,tokyo,
2020/1/12 11:00,3477,tokyo,
2020/1/12 12:00,3389,tokyo,
2020/1/12 13:00,3359,tokyo,
2020/1/12 14:00,3291,tokyo,
2020/1/12 15:00,3354,tokyo,
2020/1/12 16:00,3538,tokyo,
2020/1/12 17:00,3763,tokyo,
2020/1/12 18:00,3796,tokyo,
2020/1/12 19:00,3750,tokyo,
2020/1/12 20:00,3663,tokyo,
2020/1/12 21:00,3511,tokyo,
2020/1/12 22:00,3307,tokyo,
2020/1/12 23:00,3109,tokyo,
2020/1/13 0:00,2868,tokyo,
2020/1/13 1:00,2737,tokyo,
2020/1/13 2:00,2692,tokyo,
2020/1/13 3:00,2674,tokyo,
2020/1/13 4:00,2699,tokyo,
2020/1/13 5:00,2796,tokyo,
2020/1/13 6:00,3025,tokyo,
2020/1/13 7:00,3283,tokyo,
2020/1/13 8:00,3550,tokyo,
2020/1/13 9:00,3586,tokyo,
