DATE,合計,エリア
2019/4/1,38246,chubu
2019/4/2,41527,chubu
2019/4/3,41840,chubu
2019/4/4,40089,chubu
2019/4/5,37688,chubu
2019/4/6,30773,chubu
2019/4/7,27416,chubu
2019/4/8,34880,chubu
2019/4/9,37486,chubu
2019/4/10,40465,chubu
2019/4/11,38802,chubu
2019/4/12,38173,chubu
2019/4/13,32104,chubu
2019/4/14,28100,chubu
2019/4/15,35366,chubu
2019/4/16,37200,chubu
2019/4/17,37566,chubu
2019/4/18,36099,chubu
2019/4/19,35472,chubu
2019/4/20,30305,chubu
2019/4/21,26714,chubu
2019/4/22,33920,chubu
2019/4/23,35408,chubu
2019/4/24,35471,chubu
2019/4/25,35380,chubu
2019/4/26,33876,chubu
2019/4/27,28871,chubu
2019/4/28,26179,chubu
2019/4/29,26041,chubu
2019/4/30,26348,chubu
2019/5/1,25213,chubu
2019/5/2,24235,chubu
2019/5/3,23973,chubu
2019/5/4,24492,chubu
2019/5/5,24813,chubu
2019/5/6,29941,chubu
2019/5/7,33762,chubu
2019/5/8,35088,chubu
2019/5/9,34678,chubu
2019/5/10,34937,chubu
2019/5/11,30181,chubu
2019/5/12,26618,chubu
2019/5/13,34281,chubu
2019/5/14,35757,chubu
2019/5/15,35804,chubu
2019/5/16,36016,chubu
2019/5/17,35908,chubu
2019/5/18,29887,chubu
2019/5/19,26481,chubu
2019/5/20,33984,chubu
2019/5/21,36397,chubu
2019/5/22,35917,chubu
2019/5/23,36157,chubu
2019/5/24,36240,chubu
2019/5/25,30922,chubu
2019/5/26,28310,chubu
2019/5/27,36936,chubu
2019/5/28,36893,chubu
2019/5/29,35460,chubu
2019/5/30,35978,chubu
2019/5/31,35445,chubu
2019/6/1,30160,chubu
2019/6/2,26749,chubu
2019/6/3,35168,chubu
2019/6/4,37833,chubu
2019/6/5,38006,chubu
2019/6/6,38795,chubu
2019/6/7,36910,chubu
2019/6/8,30742,chubu
2019/6/9,26934,chubu
2019/6/10,34608,chubu
2019/6/11,36741,chubu
2019/6/12,36637,chubu
2019/6/13,37264,chubu
2019/6/14,36950,chubu
2019/6/15,30249,chubu
2019/6/16,26608,chubu
2019/6/17,34871,chubu
2019/6/18,37164,chubu
2019/6/19,37887,chubu
2019/6/20,39030,chubu
2019/6/21,38679,chubu
2019/6/22,32197,chubu
2019/6/23,28136,chubu
2019/6/24,36264,chubu
2019/6/25,39103,chubu
2019/6/26,39440,chubu
2019/6/27,39323,chubu
2019/6/28,39793,chubu
2019/6/29,33935,chubu
2019/6/30,30552,chubu
2019/7/1,37580,chubu
2019/7/2,39949,chubu
2019/7/3,39995,chubu
2019/7/4,40608,chubu
2019/7/5,38856,chubu
2019/7/6,32042,chubu
2019/7/7,29674,chubu
2019/7/8,37600,chubu
2019/7/9,38208,chubu
2019/7/10,38647,chubu
2019/7/11,37466,chubu
2019/7/12,38619,chubu
2019/7/13,31142,chubu
2019/7/14,28780,chubu
2019/7/15,34552,chubu
2019/7/16,38418,chubu
2019/7/17,40511,chubu
2019/7/18,40826,chubu
2019/7/19,40004,chubu
2019/7/20,33635,chubu
2019/7/21,30980,chubu
2019/7/22,38776,chubu
2019/7/23,42332,chubu
2019/7/24,43828,chubu
2019/7/25,44234,chubu
2019/7/26,43263,chubu
2019/7/27,33615,chubu
2019/7/28,32438,chubu
2019/7/29,43321,chubu
2019/7/30,46461,chubu
2019/7/31,47454,chubu
2019/8/1,48303,chubu
2019/8/2,47807,chubu
2019/8/3,39215,chubu
2019/8/4,35484,chubu
2019/8/5,45829,chubu
2019/8/6,47571,chubu
2019/8/7,47360,chubu
2019/8/8,47378,chubu
2019/8/9,45890,chubu
2019/8/10,37821,chubu
2019/8/11,34084,chubu
2019/8/12,34092,chubu
2019/8/13,35352,chubu
2019/8/14,33388,chubu
2019/8/15,32673,chubu
2019/8/16,34302,chubu
2019/8/17,34677,chubu
2019/8/18,34839,chubu
2019/8/19,43123,chubu
2019/8/20,44383,chubu
2019/8/21,45393,chubu
2019/8/22,46177,chubu
2019/8/23,41330,chubu
2019/8/24,34475,chubu
2019/8/25,31440,chubu
2019/8/26,40216,chubu
2019/8/27,40678,chubu
2019/8/28,40886,chubu
2019/8/29,43609,chubu
2019/8/30,40783,chubu
2019/8/31,33702,chubu
2019/9/1,31234,chubu
2019/9/2,41594,chubu
2019/9/3,44748,chubu
2019/9/4,44052,chubu
2019/9/5,42829,chubu
2019/9/6,44171,chubu
2019/9/7,37163,chubu
2019/9/8,35209,chubu
2019/9/9,46078,chubu
2019/9/10,48439,chubu
2019/9/11,46652,chubu
2019/9/12,43025,chubu
2019/9/13,39066,chubu
2019/9/14,32709,chubu
2019/9/15,31992,chubu
2019/9/16,39296,chubu
2019/9/17,42887,chubu
2019/9/18,39802,chubu
2019/9/19,38580,chubu
2019/9/20,37925,chubu
2019/9/21,31128,chubu
2019/9/22,28464,chubu
2019/9/23,37596,chubu
2019/9/24,38178,chubu
2019/9/25,38890,chubu
2019/9/26,39074,chubu
2019/9/27,38808,chubu
2019/9/28,31894,chubu
2019/9/29,29890,chubu
2019/9/30,38476,chubu
2019/10/1,40873,chubu
2019/10/2,39787,chubu
2019/10/3,39334,chubu
2019/10/4,38599,chubu
2019/10/5,31810,chubu
2019/10/6,28343,chubu
2019/10/7,34837,chubu
2019/10/8,37086,chubu
2019/10/9,36147,chubu
2019/10/10,36993,chubu
2019/10/11,37579,chubu
2019/10/12,27018,chubu
2019/10/13,26892,chubu
2019/10/14,31632,chubu
2019/10/15,34813,chubu
2019/10/16,35006,chubu
2019/10/17,35329,chubu
2019/10/18,35241,chubu
2019/10/19,29742,chubu
2019/10/20,26250,chubu
2019/10/21,29661,chubu
2019/10/22,29873,chubu
2019/10/23,34665,chubu
2019/10/24,35860,chubu
2019/10/25,35794,chubu
2019/10/26,29491,chubu
2019/10/27,26435,chubu
2019/10/28,33848,chubu
2019/10/29,36078,chubu
2019/10/30,35377,chubu
2019/10/31,35238,chubu
2019/11/1,34946,chubu
2019/11/2,29245,chubu
2019/11/3,26318,chubu
2019/11/4,31787,chubu
2019/11/5,35362,chubu
2019/11/6,36069,chubu
2019/11/7,35871,chubu
2019/11/8,35516,chubu
2019/11/9,30385,chubu
2019/11/10,27063,chubu
2019/11/11,34722,chubu
2019/11/12,36109,chubu
2019/11/13,36087,chubu
2019/11/14,36271,chubu
2019/11/15,36482,chubu
2019/11/16,30837,chubu
2019/11/17,27662,chubu
2019/11/18,34630,chubu
2019/11/19,36215,chubu
2019/11/20,37772,chubu
2019/11/21,38599,chubu
2019/11/22,38664,chubu
2019/11/23,30511,chubu
2019/11/24,27122,chubu
2019/11/25,34590,chubu
2019/11/26,38101,chubu
2019/11/27,37701,chubu
2019/11/28,39380,chubu
2019/11/29,39899,chubu
2019/11/30,33930,chubu
2019/12/1,30363,chubu
2019/12/2,37922,chubu
2019/12/3,40245,chubu
2019/12/4,41367,chubu
2019/12/5,42060,chubu
2019/12/6,42159,chubu
2019/12/7,36577,chubu
2019/12/8,32313,chubu
2019/12/9,40111,chubu
2019/12/10,39508,chubu
2019/12/11,39461,chubu
2019/12/12,40354,chubu
2019/12/13,41120,chubu
2019/12/14,35212,chubu
2019/12/15,31825,chubu
2019/12/16,39539,chubu
2019/12/17,39925,chubu
2019/12/18,39027,chubu
2019/12/19,40537,chubu
2019/12/20,39700,chubu
2019/12/21,34662,chubu
2019/12/22,32717,chubu
2019/12/23,39394,chubu
2019/12/24,40374,chubu
2019/12/25,40132,chubu
2019/12/26,38918,chubu
2019/12/27,34876,chubu
2019/12/28,31212,chubu
2019/12/29,28810,chubu
2019/12/30,28431,chubu
2019/12/31,26547,chubu
2020/1/1,26849,chubu
2020/1/2,26398,chubu
2020/1/3,26719,chubu
2020/1/4,28270,chubu
2020/1/5,30980,chubu
2020/1/6,39480,chubu
2020/1/7,42726,chubu
2020/1/8,39932,chubu
2020/1/9,40290,chubu
2020/1/10,40512,chubu
2020/1/11,35476,chubu
2020/1/12,33144,chubu
2020/1/13,38325,chubu
2020/1/14,42260,chubu
2020/1/15,42269,chubu
2020/1/16,44156,chubu
2020/1/17,43823,chubu
2020/1/18,37008,chubu
2020/1/19,32987,chubu
2020/1/20,40610,chubu
2020/1/21,42891,chubu
2020/1/22,43235,chubu
2020/1/23,42463,chubu
2020/1/24,40316,chubu
2020/1/25,35238,chubu
2020/1/26,32229,chubu
2020/1/27,41858,chubu
2020/1/28,41877,chubu
2020/1/29,39626,chubu
2020/1/30,40758,chubu
2020/1/31,41968,chubu
2020/2/1,36375,chubu
2020/2/2,32883,chubu
2020/2/3,41120,chubu
2020/2/4,42205,chubu
2020/2/5,43724,chubu
2020/2/6,46193,chubu
2020/2/7,45655,chubu
2020/2/8,37247,chubu
2020/2/9,35187,chubu
2020/2/10,44304,chubu
2020/2/11,42487,chubu
2020/2/12,42856,chubu
2020/2/13,39486,chubu
2020/2/14,39773,chubu
2020/2/15,34448,chubu
2020/2/16,31840,chubu
2020/2/17,38968,chubu
2020/2/18,44062,chubu
2020/2/19,42546,chubu
2020/2/20,42011,chubu
2020/2/21,40395,chubu
2020/2/22,34639,chubu
2020/2/23,31892,chubu
2020/2/24,37696,chubu
2020/2/25,41520,chubu
2020/2/26,40413,chubu
2020/2/27,42176,chubu
2020/2/28,41451,chubu
2020/2/29,34959,chubu
2020/3/1,30125,chubu
2020/3/2,36855,chubu
2020/3/3,39155,chubu
2020/3/4,40292,chubu
2020/3/5,41470,chubu
2020/3/6,40998,chubu
2020/3/7,34134,chubu
2020/3/8,32039,chubu
2020/3/9,36785,chubu
2020/3/10,38516,chubu
2020/3/11,37444,chubu
2020/3/12,38336,chubu
2020/3/13,37849,chubu
2020/3/14,34527,chubu
2020/3/15,31078,chubu
2020/3/16,40700,chubu
2020/3/17,41616,chubu
2020/3/18,38660,chubu
2020/3/19,37343,chubu
2020/3/20,35633,chubu
2020/3/21,30912,chubu
2020/3/22,27752,chubu
2020/3/23,35316,chubu
2020/3/24,39174,chubu
2020/3/25,38606,chubu
2020/3/26,36775,chubu
2020/3/27,36333,chubu
2020/3/28,29734,chubu
2020/3/29,29383,chubu
2020/3/30,36966,chubu
2020/3/31,36682,chubu
