DATE,合計,エリア
2021/4/1,14544,chugoku
2021/4/2,14587,chugoku
2021/4/3,13394,chugoku
2021/4/4,13170,chugoku
2021/4/5,14971,chugoku
2021/4/6,15939,chugoku
2021/4/7,15591,chugoku
2021/4/8,15373,chugoku
2021/4/9,15603,chugoku
2021/4/10,14248,chugoku
2021/4/11,13687,chugoku
2021/4/12,15382,chugoku
2021/4/13,15502,chugoku
2021/4/14,15568,chugoku
2021/4/15,16127,chugoku
2021/4/16,15787,chugoku
2021/4/17,13853,chugoku
2021/4/18,13655,chugoku
2021/4/19,15260,chugoku
2021/4/20,15213,chugoku
2021/4/21,14922,chugoku
2021/4/22,14767,chugoku
2021/4/23,14852,chugoku
2021/4/24,13278,chugoku
2021/4/25,12944,chugoku
2021/4/26,14740,chugoku
2021/4/27,15065,chugoku
2021/4/28,14832,chugoku
2021/4/29,14501,chugoku
2021/4/30,13952,chugoku
2021/5/1,12944,chugoku
2021/5/2,12422,chugoku
2021/5/3,12047,chugoku
2021/5/4,12127,chugoku
2021/5/5,12291,chugoku
2021/5/6,13316,chugoku
2021/5/7,13799,chugoku
2021/5/8,13434,chugoku
2021/5/9,13022,chugoku
2021/5/10,14822,chugoku
2021/5/11,14878,chugoku
2021/5/12,15045,chugoku
2021/5/13,14924,chugoku
2021/5/14,14934,chugoku
2021/5/15,13789,chugoku
2021/5/16,13277,chugoku
2021/5/17,15125,chugoku
2021/5/18,14997,chugoku
2021/5/19,14996,chugoku
2021/5/20,15101,chugoku
2021/5/21,14542,chugoku
2021/5/22,12987,chugoku
2021/5/23,12739,chugoku
2021/5/24,14419,chugoku
2021/5/25,14818,chugoku
2021/5/26,14377,chugoku
2021/5/27,14611,chugoku
2021/5/28,14621,chugoku
2021/5/29,13643,chugoku
2021/5/30,12979,chugoku
2021/5/31,14987,chugoku
2021/6/1,15683,chugoku
2021/6/2,15495,chugoku
2021/6/3,15342,chugoku
2021/6/4,15284,chugoku
2021/6/5,13282,chugoku
2021/6/6,12718,chugoku
2021/6/7,15124,chugoku
2021/6/8,16182,chugoku
2021/6/9,16024,chugoku
2021/6/10,16234,chugoku
2021/6/11,15613,chugoku
2021/6/12,14076,chugoku
2021/6/13,13724,chugoku
2021/6/14,15730,chugoku
2021/6/15,16245,chugoku
2021/6/16,15708,chugoku
2021/6/17,15944,chugoku
2021/6/18,15560,chugoku
2021/6/19,14004,chugoku
2021/6/20,13337,chugoku
2021/6/21,15811,chugoku
2021/6/22,16184,chugoku
2021/6/23,16253,chugoku
2021/6/24,16329,chugoku
2021/6/25,16339,chugoku
2021/6/26,14305,chugoku
2021/6/27,13746,chugoku
2021/6/28,15569,chugoku
2021/6/29,16559,chugoku
2021/6/30,16668,chugoku
2021/7/1,16486,chugoku
2021/7/2,17187,chugoku
2021/7/3,15532,chugoku
2021/7/4,15105,chugoku
2021/7/5,17474,chugoku
2021/7/6,17778,chugoku
2021/7/7,17817,chugoku
2021/7/8,16723,chugoku
2021/7/9,16567,chugoku
2021/7/10,14966,chugoku
2021/7/11,15010,chugoku
2021/7/12,16467,chugoku
2021/7/13,17884,chugoku
2021/7/14,18120,chugoku
2021/7/15,17837,chugoku
2021/7/16,17135,chugoku
2021/7/17,15803,chugoku
2021/7/18,15070,chugoku
2021/7/19,18190,chugoku
2021/7/20,19163,chugoku
2021/7/21,18822,chugoku
2021/7/22,17897,chugoku
2021/7/23,17601,chugoku
2021/7/24,16593,chugoku
2021/7/25,16076,chugoku
2021/7/26,18671,chugoku
2021/7/27,19172,chugoku
2021/7/28,19227,chugoku
2021/7/29,19357,chugoku
2021/7/30,19247,chugoku
2021/7/31,17441,chugoku
2021/8/1,16774,chugoku
2021/8/2,19473,chugoku
2021/8/3,19809,chugoku
2021/8/4,20476,chugoku
2021/8/5,20797,chugoku
2021/8/6,20229,chugoku
2021/8/7,18522,chugoku
2021/8/8,16956,chugoku
2021/8/9,15393,chugoku
2021/8/10,16480,chugoku
2021/8/11,15377,chugoku
2021/8/12,14071,chugoku
2021/8/13,13663,chugoku
2021/8/14,13287,chugoku
2021/8/15,13507,chugoku
2021/8/16,14713,chugoku
2021/8/17,15850,chugoku
2021/8/18,16284,chugoku
2021/8/19,16764,chugoku
2021/8/20,17068,chugoku
2021/8/21,15778,chugoku
2021/8/22,15366,chugoku
2021/8/23,17837,chugoku
2021/8/24,17625,chugoku
2021/8/25,18580,chugoku
2021/8/26,18793,chugoku
2021/8/27,18694,chugoku
2021/8/28,16931,chugoku
2021/8/29,16246,chugoku
2021/8/30,18605,chugoku
2021/8/31,18945,chugoku
2021/9/1,18049,chugoku
2021/9/2,16980,chugoku
2021/9/3,16334,chugoku
2021/9/4,14734,chugoku
2021/9/5,14072,chugoku
2021/9/6,16555,chugoku
2021/9/7,16264,chugoku
2021/9/8,17000,chugoku
2021/9/9,17176,chugoku
2021/9/10,16937,chugoku
2021/9/11,15048,chugoku
2021/9/12,14085,chugoku
2021/9/13,16007,chugoku
2021/9/14,16041,chugoku
2021/9/15,16077,chugoku
2021/9/16,15827,chugoku
2021/9/17,16163,chugoku
2021/9/18,14969,chugoku
2021/9/19,13808,chugoku
2021/9/20,15102,chugoku
2021/9/21,16727,chugoku
2021/9/22,16865,chugoku
2021/9/23,15914,chugoku
2021/9/24,15869,chugoku
2021/9/25,14490,chugoku
2021/9/26,13631,chugoku
2021/9/27,15735,chugoku
2021/9/28,16033,chugoku
2021/9/29,16490,chugoku
2021/9/30,16351,chugoku
2021/10/1,16146,chugoku
2021/10/2,14194,chugoku
2021/10/3,13508,chugoku
2021/10/4,15917,chugoku
2021/10/5,16370,chugoku
2021/10/6,16194,chugoku
2021/10/7,16279,chugoku
2021/10/8,16276,chugoku
2021/10/9,14553,chugoku
2021/10/10,14025,chugoku
2021/10/11,15953,chugoku
2021/10/12,15938,chugoku
2021/10/13,15952,chugoku
2021/10/14,15704,chugoku
2021/10/15,15646,chugoku
2021/10/16,14102,chugoku
2021/10/17,12666,chugoku
