DATE,合計,エリア
2019/4/1,8694,hokkaido
2019/4/2,8977,hokkaido
2019/4/3,8862,hokkaido
2019/4/4,8568,hokkaido
2019/4/5,9063,hokkaido
2019/4/6,8573,hokkaido
2019/4/7,7832,hokkaido
2019/4/8,8372,hokkaido
2019/4/9,8420,hokkaido
2019/4/10,8385,hokkaido
2019/4/11,8309,hokkaido
2019/4/12,8209,hokkaido
2019/4/13,7371,hokkaido
2019/4/14,6953,hokkaido
2019/4/15,8116,hokkaido
2019/4/16,7646,hokkaido
2019/4/17,7455,hokkaido
2019/4/18,7473,hokkaido
2019/4/19,7783,hokkaido
2019/4/20,7435,hokkaido
2019/4/21,6972,hokkaido
2019/4/22,7526,hokkaido
2019/4/23,7875,hokkaido
2019/4/24,7674,hokkaido
2019/4/25,7712,hokkaido
2019/4/26,8144,hokkaido
2019/4/27,7896,hokkaido
2019/4/28,6807,hokkaido
2019/4/29,6707,hokkaido
2019/4/30,6754,hokkaido
2019/5/1,6895,hokkaido
2019/5/2,6860,hokkaido
2019/5/3,6544,hokkaido
2019/5/4,6390,hokkaido
2019/5/5,6153,hokkaido
2019/5/6,6524,hokkaido
2019/5/7,7339,hokkaido
2019/5/8,7526,hokkaido
2019/5/9,7437,hokkaido
2019/5/10,7519,hokkaido
2019/5/11,7260,hokkaido
2019/5/12,6700,hokkaido
2019/5/13,7237,hokkaido
2019/5/14,7267,hokkaido
2019/5/15,7454,hokkaido
2019/5/16,7316,hokkaido
2019/5/17,7387,hokkaido
2019/5/18,7051,hokkaido
2019/5/19,6546,hokkaido
2019/5/20,7174,hokkaido
2019/5/21,7484,hokkaido
2019/5/22,7239,hokkaido
2019/5/23,7217,hokkaido
2019/5/24,7192,hokkaido
2019/5/25,6928,hokkaido
2019/5/26,6746,hokkaido
2019/5/27,7360,hokkaido
2019/5/28,7409,hokkaido
2019/5/29,7382,hokkaido
2019/5/30,7179,hokkaido
2019/5/31,7196,hokkaido
2019/6/1,6751,hokkaido
2019/6/2,6356,hokkaido
2019/6/3,7105,hokkaido
2019/6/4,7387,hokkaido
2019/6/5,7438,hokkaido
2019/6/6,7249,hokkaido
2019/6/7,7370,hokkaido
2019/6/8,6806,hokkaido
2019/6/9,6446,hokkaido
2019/6/10,6989,hokkaido
2019/6/11,7087,hokkaido
2019/6/12,7182,hokkaido
2019/6/13,7348,hokkaido
2019/6/14,7273,hokkaido
2019/6/15,7030,hokkaido
2019/6/16,6553,hokkaido
2019/6/17,7026,hokkaido
2019/6/18,7069,hokkaido
2019/6/19,7160,hokkaido
2019/6/20,7338,hokkaido
2019/6/21,7388,hokkaido
2019/6/22,7175,hokkaido
2019/6/23,6449,hokkaido
2019/6/24,7202,hokkaido
2019/6/25,7186,hokkaido
2019/6/26,7310,hokkaido
2019/6/27,7462,hokkaido
2019/6/28,7449,hokkaido
2019/6/29,7093,hokkaido
