DATE,合計,エリア
2019/4/1,8728,hokuriku
2019/4/2,9749,hokuriku
2019/4/3,9449,hokuriku
2019/4/4,8960,hokuriku
2019/4/5,8254,hokuriku
2019/4/6,6978,hokuriku
2019/4/7,6593,hokuriku
2019/4/8,7918,hokuriku
2019/4/9,8397,hokuriku
2019/4/10,8937,hokuriku
2019/4/11,8744,hokuriku
2019/4/12,8604,hokuriku
2019/4/13,7470,hokuriku
2019/4/14,6559,hokuriku
2019/4/15,7893,hokuriku
2019/4/16,8178,hokuriku
2019/4/17,7933,hokuriku
2019/4/18,7777,hokuriku
2019/4/19,7874,hokuriku
2019/4/20,7006,hokuriku
2019/4/21,6379,hokuriku
2019/4/22,7387,hokuriku
2019/4/23,7715,hokuriku
2019/4/24,7682,hokuriku
2019/4/25,7702,hokuriku
2019/4/26,7707,hokuriku
2019/4/27,7043,hokuriku
2019/4/28,6150,hokuriku
2019/4/29,6088,hokuriku
2019/4/30,5941,hokuriku
2019/5/1,5812,hokuriku
2019/5/2,5564,hokuriku
2019/5/3,5280,hokuriku
2019/5/4,5189,hokuriku
2019/5/5,5275,hokuriku
2019/5/6,5956,hokuriku
2019/5/7,7078,hokuriku
2019/5/8,7475,hokuriku
2019/5/9,7427,hokuriku
2019/5/10,7458,hokuriku
2019/5/11,6688,hokuriku
2019/5/12,5952,hokuriku
2019/5/13,7158,hokuriku
2019/5/14,7519,hokuriku
2019/5/15,7463,hokuriku
2019/5/16,7579,hokuriku
2019/5/17,7572,hokuriku
2019/5/18,6612,hokuriku
2019/5/19,5967,hokuriku
2019/5/20,7288,hokuriku
2019/5/21,7478,hokuriku
2019/5/22,7516,hokuriku
2019/5/23,7623,hokuriku
2019/5/24,7611,hokuriku
2019/5/25,6854,hokuriku
2019/5/26,6280,hokuriku
2019/5/27,7682,hokuriku
2019/5/28,7639,hokuriku
2019/5/29,7428,hokuriku
2019/5/30,7531,hokuriku
2019/5/31,7363,hokuriku
2019/6/1,6395,hokuriku
2019/6/2,5904,hokuriku
2019/6/3,7418,hokuriku
2019/6/4,8020,hokuriku
2019/6/5,8050,hokuriku
2019/6/6,7844,hokuriku
2019/6/7,7541,hokuriku
2019/6/8,6490,hokuriku
2019/6/9,5870,hokuriku
2019/6/10,7195,hokuriku
2019/6/11,7542,hokuriku
2019/6/12,7522,hokuriku
2019/6/13,7663,hokuriku
2019/6/14,7757,hokuriku
2019/6/15,6562,hokuriku
2019/6/16,5766,hokuriku
2019/6/17,7049,hokuriku
2019/6/18,7637,hokuriku
2019/6/19,7675,hokuriku
2019/6/20,7836,hokuriku
2019/6/21,7907,hokuriku
2019/6/22,6722,hokuriku
2019/6/23,6006,hokuriku
2019/6/24,7279,hokuriku
2019/6/25,7762,hokuriku
2019/6/26,8121,hokuriku
