DATE,合計,エリア
2019/4/1,40658,kansai
2019/4/2,43476,kansai
2019/4/3,43238,kansai
2019/4/4,41705,kansai
2019/4/5,39235,kansai
2019/4/6,35217,kansai
2019/4/7,32505,kansai
2019/4/8,36692,kansai
2019/4/9,38181,kansai
2019/4/10,41390,kansai
2019/4/11,40018,kansai
2019/4/12,39289,kansai
2019/4/13,35627,kansai
2019/4/14,33501,kansai
2019/4/15,37279,kansai
2019/4/16,38248,kansai
2019/4/17,37643,kansai
2019/4/18,37157,kansai
2019/4/19,36874,kansai
2019/4/20,33735,kansai
2019/4/21,31379,kansai
2019/4/22,36046,kansai
2019/4/23,36444,kansai
2019/4/24,36598,kansai
2019/4/25,36627,kansai
2019/4/26,35718,kansai
2019/4/27,32864,kansai
2019/4/28,30351,kansai
2019/4/29,31052,kansai
2019/4/30,30872,kansai
2019/5/1,29458,kansai
2019/5/2,29210,kansai
2019/5/3,28731,kansai
2019/5/4,28383,kansai
2019/5/5,28248,kansai
2019/5/6,30444,kansai
2019/5/7,34100,kansai
2019/5/8,35554,kansai
2019/5/9,35606,kansai
2019/5/10,36250,kansai
2019/5/11,34111,kansai
2019/5/12,31127,kansai
2019/5/13,36427,kansai
2019/5/14,36621,kansai
2019/5/15,36630,kansai
2019/5/16,37486,kansai
2019/5/17,37777,kansai
2019/5/18,33630,kansai
2019/5/19,31496,kansai
2019/5/20,36519,kansai
2019/5/21,37643,kansai
2019/5/22,37425,kansai
2019/5/23,37960,kansai
2019/5/24,38525,kansai
2019/5/25,35974,kansai
2019/5/26,34057,kansai
2019/5/27,38763,kansai
2019/5/28,38811,kansai
2019/5/29,36700,kansai
2019/5/30,37287,kansai
2019/5/31,36408,kansai
2019/6/1,33887,kansai
2019/6/2,31006,kansai
2019/6/3,37837,kansai
2019/6/4,39423,kansai
2019/6/5,40190,kansai
2019/6/6,40817,kansai
2019/6/7,38916,kansai
2019/6/8,34144,kansai
2019/6/9,31752,kansai
2019/6/10,37025,kansai
2019/6/11,38066,kansai
2019/6/12,38141,kansai
2019/6/13,39223,kansai
2019/6/14,38748,kansai
2019/6/15,34437,kansai
2019/6/16,31790,kansai
2019/6/17,36701,kansai
2019/6/18,37795,kansai
2019/6/19,39469,kansai
2019/6/20,41243,kansai
2019/6/21,41123,kansai
2019/6/22,36883,kansai
2019/6/23,32978,kansai
2019/6/24,38649,kansai
2019/6/25,40319,kansai
2019/6/26,40676,kansai
2019/6/27,40689,kansai
2019/6/28,41730,kansai
2019/6/29,38524,kansai
2019/6/30,36120,kansai
2019/7/1,39830,kansai
2019/7/2,40544,kansai
2019/7/3,40242,kansai
2019/7/4,41595,kansai
2019/7/5,40396,kansai
2019/7/6,35869,kansai
2019/7/7,34982,kansai
2019/7/8,40847,kansai
2019/7/9,40959,kansai
2019/7/10,41414,kansai
2019/7/11,40439,kansai
2019/7/12,41540,kansai
2019/7/13,35917,kansai
2019/7/14,33392,kansai
2019/7/15,35762,kansai
2019/7/16,41750,kansai
2019/7/17,44311,kansai
2019/7/18,43515,kansai
2019/7/19,41856,kansai
2019/7/20,38470,kansai
2019/7/21,37790,kansai
2019/7/22,43363,kansai
2019/7/23,45402,kansai
2019/7/24,46562,kansai
2019/7/25,47594,kansai
2019/7/26,47421,kansai
2019/7/27,39345,kansai
2019/7/28,39341,kansai
2019/7/29,48134,kansai
2019/7/30,50533,kansai
2019/7/31,50977,kansai
2019/8/1,52241,kansai
2019/8/2,53159,kansai
2019/8/3,47237,kansai
2019/8/4,43789,kansai
2019/8/5,50428,kansai
2019/8/6,51337,kansai
2019/8/7,51669,kansai
2019/8/8,51283,kansai
2019/8/9,50091,kansai
2019/8/10,44980,kansai
2019/8/11,42152,kansai
2019/8/12,42062,kansai
2019/8/13,43577,kansai
2019/8/14,41863,kansai
2019/8/15,38924,kansai
2019/8/16,42686,kansai
2019/8/17,42869,kansai
2019/8/18,41546,kansai
2019/8/19,46204,kansai
2019/8/20,47028,kansai
2019/8/21,49307,kansai
2019/8/22,49463,kansai
2019/8/23,45285,kansai
2019/8/24,38640,kansai
2019/8/25,36073,kansai
2019/8/26,42262,kansai
2019/8/27,41858,kansai
2019/8/28,42631,kansai
2019/8/29,45152,kansai
2019/8/30,42989,kansai
2019/8/31,36458,kansai
2019/9/1,34911,kansai
2019/9/2,44123,kansai
2019/9/3,47449,kansai
2019/9/4,47081,kansai
2019/9/5,46367,kansai
2019/9/6,48124,kansai
2019/9/7,43409,kansai
2019/9/8,42846,kansai
2019/9/9,50243,kansai
2019/9/10,51473,kansai
2019/9/11,49923,kansai
2019/9/12,43854,kansai
2019/9/13,40797,kansai
2019/9/14,38234,kansai
2019/9/15,37430,kansai
2019/9/16,38645,kansai
2019/9/17,42882,kansai
2019/9/18,41581,kansai
2019/9/19,39041,kansai
2019/9/20,37895,kansai
2019/9/21,33958,kansai
2019/9/22,32927,kansai
2019/9/23,36475,kansai
2019/9/24,38158,kansai
2019/9/25,38340,kansai
2019/9/26,39796,kansai
2019/9/27,40398,kansai
2019/9/28,36271,kansai
2019/9/29,35354,kansai
2019/9/30,41867,kansai
2019/10/1,43919,kansai
2019/10/2,41560,kansai
2019/10/3,40480,kansai
2019/10/4,40279,kansai
2019/10/5,35014,kansai
2019/10/6,31888,kansai
2019/10/7,37403,kansai
2019/10/8,38455,kansai
2019/10/9,36391,kansai
2019/10/10,37778,kansai
2019/10/11,38974,kansai
2019/10/12,33009,kansai
2019/10/13,30078,kansai
2019/10/14,32367,kansai
2019/10/15,35317,kansai
2019/10/16,35708,kansai
2019/10/17,36224,kansai
2019/10/18,36646,kansai
2019/10/19,34381,kansai
2019/10/20,30469,kansai
2019/10/21,34213,kansai
2019/10/22,33112,kansai
2019/10/23,35914,kansai
2019/10/24,36765,kansai
2019/10/25,36519,kansai
2019/10/26,32959,kansai
2019/10/27,30711,kansai
2019/10/28,34633,kansai
2019/10/29,36312,kansai
2019/10/30,35521,kansai
2019/10/31,35361,kansai
2019/11/1,35682,kansai
2019/11/2,32375,kansai
2019/11/3,30302,kansai
2019/11/4,31695,kansai
2019/11/5,35785,kansai
2019/11/6,36379,kansai
2019/11/7,36625,kansai
2019/11/8,36472,kansai
2019/11/9,33798,kansai
2019/11/10,30946,kansai
2019/11/11,36161,kansai
2019/11/12,36625,kansai
2019/11/13,36585,kansai
2019/11/14,37028,kansai
2019/11/15,37847,kansai
2019/11/16,34551,kansai
2019/11/17,31733,kansai
2019/11/18,36338,kansai
2019/11/19,36970,kansai
2019/11/20,38927,kansai
2019/11/21,39240,kansai
2019/11/22,39991,kansai
2019/11/23,32967,kansai
2019/11/24,31697,kansai
2019/11/25,36853,kansai
2019/11/26,38381,kansai
2019/11/27,38442,kansai
2019/11/28,40188,kansai
2019/11/29,40703,kansai
2019/11/30,37747,kansai
2019/12/1,35250,kansai
2019/12/2,39326,kansai
2019/12/3,41520,kansai
2019/12/4,42451,kansai
2019/12/5,43214,kansai
2019/12/6,43848,kansai
2019/12/7,40340,kansai
2019/12/8,37284,kansai
2019/12/9,42678,kansai
2019/12/10,42938,kansai
2019/12/11,42762,kansai
2019/12/12,42785,kansai
2019/12/13,43128,kansai
2019/12/14,39233,kansai
2019/12/15,36633,kansai
2019/12/16,42586,kansai
2019/12/17,42089,kansai
2019/12/18,41379,kansai
2019/12/19,43489,kansai
2019/12/20,41798,kansai
2019/12/21,39322,kansai
2019/12/22,38323,kansai
2019/12/23,42309,kansai
2019/12/24,42573,kansai
2019/12/25,41932,kansai
2019/12/26,40920,kansai
2019/12/27,38973,kansai
2019/12/28,36703,kansai
2019/12/29,34072,kansai
2019/12/30,33290,kansai
2019/12/31,31972,kansai
2020/1/1,31725,kansai
2020/1/2,31702,kansai
2020/1/3,32018,kansai
2020/1/4,33596,kansai
2020/1/5,36144,kansai
2020/1/6,42458,kansai
2020/1/7,45765,kansai
2020/1/8,41950,kansai
2020/1/9,41973,kansai
2020/1/10,42661,kansai
2020/1/11,39323,kansai
2020/1/12,37875,kansai
2020/1/13,38614,kansai
2020/1/14,44492,kansai
2020/1/15,45118,kansai
2020/1/16,46028,kansai
2020/1/17,45731,kansai
2020/1/18,40422,kansai
