DATE,合計,エリア
2019/4/1,23125,kyushu
2019/4/2,23494,kyushu
2019/4/3,23443,kyushu
2019/4/4,22961,kyushu
2019/4/5,22171,kyushu
2019/4/6,20298,kyushu
2019/4/7,18699,kyushu
2019/4/8,20692,kyushu
2019/4/9,21222,kyushu
2019/4/10,21737,kyushu
2019/4/11,22041,kyushu
2019/4/12,21992,kyushu
2019/4/13,20509,kyushu
2019/4/14,19443,kyushu
2019/4/15,21269,kyushu
2019/4/16,21690,kyushu
2019/4/17,21114,kyushu
2019/4/18,21432,kyushu
2019/4/19,21205,kyushu
2019/4/20,19903,kyushu
2019/4/21,18627,kyushu
2019/4/22,20941,kyushu
2019/4/23,21444,kyushu
2019/4/24,21589,kyushu
2019/4/25,21512,kyushu
2019/4/26,21102,kyushu
2019/4/27,19817,kyushu
2019/4/28,18447,kyushu
2019/4/29,19208,kyushu
2019/4/30,19468,kyushu
2019/5/1,18553,kyushu
2019/5/2,18111,kyushu
2019/5/3,17773,kyushu
2019/5/4,17425,kyushu
2019/5/5,17458,kyushu
2019/5/6,18274,kyushu
2019/5/7,20184,kyushu
2019/5/8,20741,kyushu
2019/5/9,20939,kyushu
2019/5/10,21107,kyushu
2019/5/11,20312,kyushu
2019/5/12,18843,kyushu
2019/5/13,21144,kyushu
2019/5/14,21387,kyushu
2019/5/15,21643,kyushu
2019/5/16,21913,kyushu
2019/5/17,21978,kyushu
2019/5/18,20299,kyushu
2019/5/19,18926,kyushu
2019/5/20,21586,kyushu
2019/5/21,21201,kyushu
2019/5/22,21277,kyushu
2019/5/23,21698,kyushu
2019/5/24,22269,kyushu
2019/5/25,20960,kyushu
2019/5/26,19576,kyushu
2019/5/27,21541,kyushu
2019/5/28,21924,kyushu
2019/5/29,21375,kyushu
2019/5/30,21914,kyushu
2019/5/31,21365,kyushu
2019/6/1,20370,kyushu
2019/6/2,19095,kyushu
2019/6/3,21889,kyushu
2019/6/4,22915,kyushu
2019/6/5,23658,kyushu
2019/6/6,24180,kyushu
2019/6/7,23659,kyushu
2019/6/8,20580,kyushu
2019/6/9,19138,kyushu
2019/6/10,21801,kyushu
2019/6/11,21993,kyushu
2019/6/12,22036,kyushu
2019/6/13,22821,kyushu
2019/6/14,22241,kyushu
2019/6/15,20341,kyushu
2019/6/16,19049,kyushu
2019/6/17,21821,kyushu
2019/6/18,21694,kyushu
2019/6/19,22569,kyushu
2019/6/20,23682,kyushu
2019/6/21,23748,kyushu
2019/6/22,21809,kyushu
2019/6/23,19396,kyushu
2019/6/24,22319,kyushu
2019/6/25,23669,kyushu
2019/6/26,23559,kyushu
2019/6/27,24736,kyushu
2019/6/28,24699,kyushu
2019/6/29,23035,kyushu
2019/6/30,21672,kyushu
2019/7/1,23183,kyushu
2019/7/2,23349,kyushu
2019/7/3,23212,kyushu
2019/7/4,23775,kyushu
2019/7/5,23692,kyushu
2019/7/6,22704,kyushu
2019/7/7,21444,kyushu
2019/7/8,24135,kyushu
2019/7/9,24453,kyushu
2019/7/10,24230,kyushu
2019/7/11,25184,kyushu
2019/7/12,24592,kyushu
2019/7/13,21589,kyushu
2019/7/14,20663,kyushu
2019/7/15,22348,kyushu
2019/7/16,24963,kyushu
2019/7/17,25941,kyushu
2019/7/18,25947,kyushu
2019/7/19,25552,kyushu
2019/7/20,23827,kyushu
2019/7/21,22397,kyushu
2019/7/22,25785,kyushu
2019/7/23,26645,kyushu
2019/7/24,27260,kyushu
2019/7/25,28115,kyushu
2019/7/26,28561,kyushu
2019/7/27,26168,kyushu
2019/7/28,25619,kyushu
2019/7/29,28211,kyushu
2019/7/30,29502,kyushu
2019/7/31,29827,kyushu
2019/8/1,30143,kyushu
2019/8/2,30432,kyushu
2019/8/3,28176,kyushu
2019/8/4,26211,kyushu
2019/8/5,29159,kyushu
2019/8/6,26201,kyushu
2019/8/7,28284,kyushu
2019/8/8,29372,kyushu
2019/8/9,28330,kyushu
2019/8/10,26404,kyushu
2019/8/11,24973,kyushu
2019/8/12,26049,kyushu
2019/8/13,26134,kyushu
2019/8/14,24376,kyushu
2019/8/15,22385,kyushu
2019/8/16,24574,kyushu
2019/8/17,24711,kyushu
2019/8/18,22486,kyushu
2019/8/19,24907,kyushu
2019/8/20,26353,kyushu
2019/8/21,28041,kyushu
2019/8/22,28144,kyushu
2019/8/23,27060,kyushu
2019/8/24,23029,kyushu
2019/8/25,19923,kyushu
2019/8/26,22491,kyushu
2019/8/27,24182,kyushu
2019/8/28,24931,kyushu
