DATE,合計,エリア
2019/4/1,1749,okinawa
2019/4/2,1772,okinawa
2019/4/3,1767,okinawa
2019/4/4,1797,okinawa
2019/4/5,1877,okinawa
2019/4/6,1890,okinawa
2019/4/7,1871,okinawa
2019/4/8,2040,okinawa
2019/4/9,2037,okinawa
2019/4/10,1959,okinawa
2019/4/11,1876,okinawa
2019/4/12,1834,okinawa
2019/4/13,1821,okinawa
2019/4/14,1819,okinawa
2019/4/15,1862,okinawa
2019/4/16,1881,okinawa
2019/4/17,1889,okinawa
2019/4/18,1856,okinawa
2019/4/19,1904,okinawa
2019/4/20,1898,okinawa
2019/4/21,1909,okinawa
2019/4/22,2026,okinawa
2019/4/23,2094,okinawa
2019/4/24,2231,okinawa
2019/4/25,2336,okinawa
2019/4/26,2193,okinawa
2019/4/27,1855,okinawa
2019/4/28,1819,okinawa
2019/4/29,2124,okinawa
2019/4/30,2245,okinawa
2019/5/1,2122,okinawa
2019/5/2,1938,okinawa
2019/5/3,1869,okinawa
2019/5/4,1800,okinawa
2019/5/5,1750,okinawa
2019/5/6,1787,okinawa
2019/5/7,1946,okinawa
2019/5/8,2003,okinawa
2019/5/9,2075,okinawa
2019/5/10,2052,okinawa
2019/5/11,1970,okinawa
2019/5/12,1888,okinawa
2019/5/13,2125,okinawa
2019/5/14,2306,okinawa
2019/5/15,2255,okinawa
2019/5/16,2185,okinawa
2019/5/17,2142,okinawa
2019/5/18,2211,okinawa
2019/5/19,2297,okinawa
2019/5/20,2317,okinawa
2019/5/21,2028,okinawa
2019/5/22,2028,okinawa
2019/5/23,2051,okinawa
2019/5/24,2063,okinawa
2019/5/25,2037,okinawa
2019/5/26,2026,okinawa
2019/5/27,2182,okinawa
2019/5/28,2339,okinawa
2019/5/29,2133,okinawa
2019/5/30,2084,okinawa
2019/5/31,2288,okinawa
2019/6/1,2366,okinawa
2019/6/2,2405,okinawa
2019/6/3,2457,okinawa
2019/6/4,2496,okinawa
2019/6/5,2495,okinawa
2019/6/6,2629,okinawa
2019/6/7,2706,okinawa
2019/6/8,2496,okinawa
2019/6/9,2416,okinawa
2019/6/10,2395,okinawa
2019/6/11,2280,okinawa
2019/6/12,2298,okinawa
2019/6/13,2312,okinawa
2019/6/14,2377,okinawa
2019/6/15,2186,okinawa
2019/6/16,2169,okinawa
2019/6/17,2215,okinawa
2019/6/18,2400,okinawa
2019/6/19,2537,okinawa
2019/6/20,2474,okinawa
2019/6/21,2561,okinawa
2019/6/22,2392,okinawa
2019/6/23,2246,okinawa
2019/6/24,2306,okinawa
2019/6/25,2476,okinawa
2019/6/26,2426,okinawa
2019/6/27,2550,okinawa
2019/6/28,2665,okinawa
2019/6/29,2646,okinawa
2019/6/30,2692,okinawa
2019/7/1,2923,okinawa
2019/7/2,2951,okinawa
2019/7/3,2885,okinawa
2019/7/4,2744,okinawa
2019/7/5,2656,okinawa
2019/7/6,2394,okinawa
2019/7/7,2359,okinawa
2019/7/8,2645,okinawa
2019/7/9,2703,okinawa
2019/7/10,2857,okinawa
2019/7/11,2901,okinawa
2019/7/12,2879,okinawa
2019/7/13,2777,okinawa
2019/7/14,2773,okinawa
2019/7/15,2895,okinawa
2019/7/16,3007,okinawa
2019/7/17,3020,okinawa
2019/7/18,2815,okinawa
2019/7/19,2801,okinawa
2019/7/20,2656,okinawa
2019/7/21,2695,okinawa
2019/7/22,2873,okinawa
2019/7/23,2857,okinawa
2019/7/24,2806,okinawa
2019/7/25,2839,okinawa
2019/7/26,2850,okinawa
2019/7/27,2769,okinawa
2019/7/28,2816,okinawa
2019/7/29,3044,okinawa
2019/7/30,3029,okinawa
2019/7/31,3023,okinawa
2019/8/1,2963,okinawa
2019/8/2,2682,okinawa
2019/8/3,2728,okinawa
2019/8/4,2699,okinawa
2019/8/5,2866,okinawa
2019/8/6,2948,okinawa
2019/8/7,2917,okinawa
2019/8/8,2759,okinawa
2019/8/9,2770,okinawa
2019/8/10,2629,okinawa
2019/8/11,2728,okinawa
2019/8/12,2879,okinawa
2019/8/13,2976,okinawa
2019/8/14,2915,okinawa
2019/8/15,2796,okinawa
2019/8/16,2856,okinawa
2019/8/17,2681,okinawa
2019/8/18,2685,okinawa
2019/8/19,2763,okinawa
2019/8/20,2822,okinawa
2019/8/21,2842,okinawa
2019/8/22,2909,okinawa
2019/8/23,2934,okinawa
2019/8/24,2840,okinawa
2019/8/25,2811,okinawa
2019/8/26,2958,okinawa
2019/8/27,2997,okinawa
2019/8/28,3013,okinawa
2019/8/29,2968,okinawa
2019/8/30,2969,okinawa
2019/8/31,2868,okinawa
2019/9/1,2809,okinawa
2019/9/2,2950,okinawa
2019/9/3,2935,okinawa
2019/9/4,2875,okinawa
2019/9/5,2633,okinawa
2019/9/6,2607,okinawa
2019/9/7,2456,okinawa
2019/9/8,2328,okinawa
2019/9/9,2624,okinawa
2019/9/10,2822,okinawa
2019/9/11,2893,okinawa
2019/9/12,2876,okinawa
2019/9/13,2880,okinawa
2019/9/14,2735,okinawa
2019/9/15,2527,okinawa
2019/9/16,2595,okinawa
2019/9/17,2717,okinawa
2019/9/18,2655,okinawa
2019/9/19,2670,okinawa
2019/9/20,2655,okinawa
2019/9/21,2123,okinawa
2019/9/22,2262,okinawa
2019/9/23,2362,okinawa
2019/9/24,2384,okinawa
2019/9/25,2379,okinawa
2019/9/26,2568,okinawa
2019/9/27,2703,okinawa
2019/9/28,2625,okinawa
2019/9/29,2631,okinawa
2019/9/30,2767,okinawa
2019/10/1,2748,okinawa
2019/10/2,2733,okinawa
2019/10/3,2672,okinawa
2019/10/4,2574,okinawa
2019/10/5,2333,okinawa
2019/10/6,2292,okinawa
2019/10/7,2473,okinawa
2019/10/8,2496,okinawa
2019/10/9,2338,okinawa
2019/10/10,2320,okinawa
2019/10/11,2275,okinawa
2019/10/12,2273,okinawa
2019/10/13,2158,okinawa
2019/10/14,2268,okinawa
2019/10/15,2259,okinawa
2019/10/16,2352,okinawa
2019/10/17,2423,okinawa
2019/10/18,2430,okinawa
2019/10/19,2293,okinawa
2019/10/20,2102,okinawa
2019/10/21,2314,okinawa
2019/10/22,2213,okinawa
2019/10/23,2291,okinawa
2019/10/24,2212,okinawa
2019/10/25,2204,okinawa
2019/10/26,2151,okinawa
2019/10/27,2018,okinawa
2019/10/28,2209,okinawa
2019/10/29,2271,okinawa
2019/10/30,2160,okinawa
2019/10/31,2157,okinawa
2019/11/1,2137,okinawa
2019/11/2,2153,okinawa
2019/11/3,2073,okinawa
2019/11/4,2063,okinawa
