DATE,合計,エリア
2019/1/1,6905,sikoku
2019/1/2,6759,sikoku
2019/1/3,6929,sikoku
2019/1/4,7503,sikoku
2019/1/5,7446,sikoku
2019/1/6,7302,sikoku
2019/1/7,8389,sikoku
2019/1/8,8582,sikoku
2019/1/9,8857,sikoku
2019/1/10,9166,sikoku
2019/1/11,8551,sikoku
2019/1/12,8290,sikoku
2019/1/13,7246,sikoku
2019/1/14,7599,sikoku
2019/1/15,8748,sikoku
2019/1/16,8710,sikoku
2019/1/17,8792,sikoku
2019/1/18,8600,sikoku
2019/1/19,7892,sikoku
2019/1/20,7269,sikoku
2019/1/21,8373,sikoku
2019/1/22,8557,sikoku
2019/1/23,8474,sikoku
2019/1/24,8527,sikoku
2019/1/25,8604,sikoku
2019/1/26,8447,sikoku
2019/1/27,7682,sikoku
2019/1/28,8976,sikoku
2019/1/29,8786,sikoku
2019/1/30,8792,sikoku
2019/1/31,9092,sikoku
2019/2/1,8960,sikoku
2019/2/2,8163,sikoku
2019/2/3,7548,sikoku
2019/2/4,7778,sikoku
2019/2/5,8311,sikoku
2019/2/6,8438,sikoku
2019/2/7,8132,sikoku
2019/2/8,8362,sikoku
2019/2/9,8135,sikoku
2019/2/10,7433,sikoku
2019/2/11,8242,sikoku
2019/2/12,8663,sikoku
2019/2/13,8565,sikoku
2019/2/14,8898,sikoku
2019/2/15,9176,sikoku
2019/2/16,8067,sikoku
2019/2/17,7220,sikoku
2019/2/18,8369,sikoku
2019/2/19,8402,sikoku
2019/2/20,7759,sikoku
2019/2/21,8120,sikoku
2019/2/22,8272,sikoku
2019/2/23,7265,sikoku
2019/2/24,6943,sikoku
2019/2/25,7794,sikoku
2019/2/26,7741,sikoku
2019/2/27,8243,sikoku
2019/2/28,8259,sikoku
2019/3/1,7786,sikoku
2019/3/2,7299,sikoku
2019/3/3,6971,sikoku
2019/3/4,7965,sikoku
2019/3/5,7878,sikoku
2019/3/6,8128,sikoku
2019/3/7,8118,sikoku
2019/3/8,8128,sikoku
2019/3/9,7159,sikoku
2019/3/10,6912,sikoku
2019/3/11,7429,sikoku
2019/3/12,7664,sikoku
2019/3/13,7953,sikoku
2019/3/14,7931,sikoku
2019/3/15,7857,sikoku
2019/3/16,7347,sikoku
2019/3/17,6840,sikoku
2019/3/18,7737,sikoku
2019/3/19,8154,sikoku
2019/3/20,7514,sikoku
2019/3/21,6665,sikoku
2019/3/22,7124,sikoku
2019/3/23,7039,sikoku
2019/3/24,6462,sikoku
2019/3/25,7649,sikoku
2019/3/26,7289,sikoku
2019/3/27,7161,sikoku
2019/3/28,7008,sikoku
2019/3/29,6986,sikoku
2019/3/30,6711,sikoku
2019/3/31,6176,sikoku
2019/4/1,7668,sikoku
2019/4/2,7816,sikoku
2019/4/3,7634,sikoku
2019/4/4,7477,sikoku
2019/4/5,7205,sikoku
2019/4/6,6422,sikoku
2019/4/7,5820,sikoku
2019/4/8,6629,sikoku
2019/4/9,6963,sikoku
2019/4/10,7483,sikoku
2019/4/11,7218,sikoku
2019/4/12,7163,sikoku
2019/4/13,6478,sikoku
2019/4/14,6224,sikoku
2019/4/15,6876,sikoku
2019/4/16,6943,sikoku
2019/4/17,6841,sikoku
2019/4/18,6820,sikoku
2019/4/19,6743,sikoku
2019/4/20,6124,sikoku
2019/4/21,5601,sikoku
2019/4/22,6568,sikoku
2019/4/23,6768,sikoku
2019/4/24,6888,sikoku
2019/4/25,6816,sikoku
2019/4/26,6644,sikoku
2019/4/27,6074,sikoku
2019/4/28,5671,sikoku
2019/4/29,6009,sikoku
2019/4/30,6142,sikoku
2019/5/1,5904,sikoku
2019/5/2,5586,sikoku
2019/5/3,5368,sikoku
2019/5/4,5300,sikoku
2019/5/5,5169,sikoku
2019/5/6,5655,sikoku
2019/5/7,6330,sikoku
2019/5/8,6530,sikoku
2019/5/9,6580,sikoku
2019/5/10,6603,sikoku
2019/5/11,6181,sikoku
2019/5/12,5574,sikoku
2019/5/13,6521,sikoku
2019/5/14,6743,sikoku
2019/5/15,6672,sikoku
2019/5/16,6774,sikoku
2019/5/17,6763,sikoku
2019/5/18,6107,sikoku
2019/5/19,5694,sikoku
2019/5/20,6677,sikoku
2019/5/21,6665,sikoku
2019/5/22,6751,sikoku
2019/5/23,6820,sikoku
2019/5/24,6954,sikoku
2019/5/25,6404,sikoku
2019/5/26,5926,sikoku
2019/5/27,6819,sikoku
2019/5/28,7115,sikoku
2019/5/29,6754,sikoku
2019/5/30,6866,sikoku
2019/5/31,6816,sikoku
2019/6/1,6275,sikoku
2019/6/2,5717,sikoku
2019/6/3,6858,sikoku
2019/6/4,7161,sikoku
2019/6/5,7345,sikoku
2019/6/6,7527,sikoku
2019/6/7,7417,sikoku
2019/6/8,6421,sikoku
2019/6/9,5845,sikoku
2019/6/10,6974,sikoku
2019/6/11,7089,sikoku
2019/6/12,7154,sikoku
2019/6/13,7270,sikoku
2019/6/14,7148,sikoku
2019/6/15,6449,sikoku
2019/6/16,5811,sikoku
2019/6/17,6872,sikoku
2019/6/18,6983,sikoku
2019/6/19,7225,sikoku
2019/6/20,7507,sikoku
2019/6/21,7372,sikoku
2019/6/22,6634,sikoku
2019/6/23,5903,sikoku
2019/6/24,7088,sikoku
2019/6/25,7392,sikoku
2019/6/26,7347,sikoku
2019/6/27,7581,sikoku
2019/6/28,7781,sikoku
2019/6/29,7236,sikoku
2019/6/30,6626,sikoku
2019/7/1,7347,sikoku
2019/7/2,7319,sikoku
2019/7/3,7354,sikoku
2019/7/4,7567,sikoku
2019/7/5,7577,sikoku
2019/7/6,6893,sikoku
2019/7/7,6497,sikoku
2019/7/8,7442,sikoku
2019/7/9,7506,sikoku
2019/7/10,7445,sikoku
2019/7/11,7754,sikoku
2019/7/12,7859,sikoku
2019/7/13,6745,sikoku
2019/7/14,6224,sikoku
2019/7/15,6617,sikoku
2019/7/16,7735,sikoku
2019/7/17,8096,sikoku
2019/7/18,7967,sikoku
2019/7/19,7690,sikoku
2019/7/20,7250,sikoku
2019/7/21,6819,sikoku
2019/7/22,7867,sikoku
2019/7/23,8193,sikoku
