DATE,合計,エリア
2019/1/1,21862,tohoku
2019/1/2,22396,tohoku
2019/1/3,23283,tohoku
2019/1/4,23830,tohoku
2019/1/5,24626,tohoku
2019/1/6,25094,tohoku
2019/1/7,27350,tohoku
2019/1/8,28695,tohoku
2019/1/9,29150,tohoku
2019/1/10,27656,tohoku
2019/1/11,27342,tohoku
2019/1/12,25948,tohoku
2019/1/13,24589,tohoku
2019/1/14,25870,tohoku
2019/1/15,27853,tohoku
2019/1/16,28482,tohoku
2019/1/17,29135,tohoku
2019/1/18,29648,tohoku
2019/1/19,26556,tohoku
2019/1/20,25173,tohoku
2019/1/21,29412,tohoku
2019/1/22,29214,tohoku
2019/1/23,28472,tohoku
2019/1/24,29906,tohoku
2019/1/25,29112,tohoku
2019/1/26,27925,tohoku
2019/1/27,26074,tohoku
2019/1/28,28061,tohoku
2019/1/29,28986,tohoku
2019/1/30,27457,tohoku
2019/1/31,27958,tohoku
2019/2/1,29693,tohoku
2019/2/2,26629,tohoku
2019/2/3,23970,tohoku
2019/2/4,26034,tohoku
2019/2/5,26907,tohoku
2019/2/6,27387,tohoku
2019/2/7,26788,tohoku
2019/2/8,29934,tohoku
2019/2/9,28121,tohoku
2019/2/10,26523,tohoku
2019/2/11,26569,tohoku
2019/2/12,29010,tohoku
2019/2/13,29535,tohoku
2019/2/14,29502,tohoku
2019/2/15,28500,tohoku
2019/2/16,26771,tohoku
2019/2/17,24595,tohoku
2019/2/18,26077,tohoku
2019/2/19,26775,tohoku
2019/2/20,25712,tohoku
2019/2/21,25715,tohoku
2019/2/22,25259,tohoku
2019/2/23,24143,tohoku
2019/2/24,22505,tohoku
2019/2/25,24449,tohoku
2019/2/26,25043,tohoku
2019/2/27,25496,tohoku
2019/2/28,25793,tohoku
2019/3/1,24793,tohoku
2019/3/2,23025,tohoku
2019/3/3,22190,tohoku
2019/3/4,24777,tohoku
2019/3/5,24434,tohoku
2019/3/6,24111,tohoku
2019/3/7,25163,tohoku
2019/3/8,25512,tohoku
2019/3/9,22272,tohoku
2019/3/10,20567,tohoku
2019/3/11,23557,tohoku
2019/3/12,23413,tohoku
2019/3/13,24295,tohoku
2019/3/14,25913,tohoku
2019/3/15,24628,tohoku
2019/3/16,22610,tohoku
2019/3/17,21687,tohoku
2019/3/18,23739,tohoku
2019/3/19,23315,tohoku
2019/3/20,22455,tohoku
2019/3/21,21706,tohoku
2019/3/22,22770,tohoku
2019/3/23,23057,tohoku
2019/3/24,22531,tohoku
2019/3/25,23691,tohoku
2019/3/26,22747,tohoku
2019/3/27,23246,tohoku
2019/3/28,24059,tohoku
2019/3/29,23843,tohoku
2019/3/30,23061,tohoku
2019/3/31,21868,tohoku
2019/4/1,23970,tohoku
2019/4/2,25601,tohoku
2019/4/3,25182,tohoku
2019/4/4,24004,tohoku
2019/4/5,22737,tohoku
2019/4/6,21151,tohoku
2019/4/7,19823,tohoku
2019/4/8,22351,tohoku
2019/4/9,22967,tohoku
2019/4/10,24004,tohoku
2019/4/11,24196,tohoku
2019/4/12,23381,tohoku
2019/4/13,21282,tohoku
2019/4/14,19395,tohoku
2019/4/15,21250,tohoku
2019/4/16,21515,tohoku
2019/4/17,21186,tohoku
2019/4/18,20751,tohoku
2019/4/19,20854,tohoku
2019/4/20,19993,tohoku
2019/4/21,18599,tohoku
2019/4/22,20207,tohoku
2019/4/23,20715,tohoku
2019/4/24,20307,tohoku
2019/4/25,20451,tohoku
2019/4/26,21488,tohoku
2019/4/27,20898,tohoku
2019/4/28,18398,tohoku
2019/4/29,18232,tohoku
2019/4/30,18346,tohoku
2019/5/1,17315,tohoku
2019/5/2,17026,tohoku
2019/5/3,16994,tohoku
2019/5/4,16764,tohoku
2019/5/5,16959,tohoku
2019/5/6,17726,tohoku
2019/5/7,19456,tohoku
2019/5/8,20251,tohoku
2019/5/9,20111,tohoku
2019/5/10,20360,tohoku
2019/5/11,19471,tohoku
2019/5/12,18029,tohoku
2019/5/13,20109,tohoku
2019/5/14,20490,tohoku
2019/5/15,20438,tohoku
2019/5/16,20414,tohoku
2019/5/17,20558,tohoku
2019/5/18,19296,tohoku
2019/5/19,18117,tohoku
2019/5/20,20013,tohoku
2019/5/21,20421,tohoku
2019/5/22,20258,tohoku
2019/5/23,20589,tohoku
2019/5/24,20566,tohoku
2019/5/25,19616,tohoku
2019/5/26,19053,tohoku
2019/5/27,21644,tohoku
2019/5/28,20973,tohoku
2019/5/29,20155,tohoku
2019/5/30,20384,tohoku
2019/5/31,20201,tohoku
2019/6/1,19133,tohoku
2019/6/2,18082,tohoku
2019/6/3,20590,tohoku
2019/6/4,21530,tohoku
2019/6/5,21444,tohoku
2019/6/6,20810,tohoku
2019/6/7,20369,tohoku
2019/6/8,18840,tohoku
2019/6/9,17531,tohoku
2019/6/10,19582,tohoku
2019/6/11,20248,tohoku
2019/6/12,20313,tohoku
2019/6/13,20658,tohoku
2019/6/14,21026,tohoku
2019/6/15,19180,tohoku
2019/6/16,17588,tohoku
2019/6/17,19407,tohoku
2019/6/18,20366,tohoku
2019/6/19,20392,tohoku
2019/6/20,20774,tohoku
2019/6/21,20823,tohoku
2019/6/22,19099,tohoku
2019/6/23,17920,tohoku
2019/6/24,19917,tohoku
2019/6/25,20816,tohoku
2019/6/26,21554,tohoku
2019/6/27,21392,tohoku
2019/6/28,20780,tohoku
2019/6/29,19047,tohoku
2019/6/30,18022,tohoku
2019/7/1,20394,tohoku
2019/7/2,21469,tohoku
2019/7/3,21678,tohoku
2019/7/4,21359,tohoku
2019/7/5,21117,tohoku
2019/7/6,19238,tohoku
2019/7/7,18363,tohoku
2019/7/8,20337,tohoku
2019/7/9,20696,tohoku
2019/7/10,21010,tohoku
2019/7/11,20742,tohoku
2019/7/12,20693,tohoku
2019/7/13,18917,tohoku
2019/7/14,18131,tohoku
2019/7/15,19071,tohoku
2019/7/16,20998,tohoku
2019/7/17,21879,tohoku
2019/7/18,22074,tohoku
2019/7/19,22065,tohoku
2019/7/20,20122,tohoku
2019/7/21,19114,tohoku
2019/7/22,21362,tohoku
2019/7/23,22273,tohoku
2019/7/24,23064,tohoku
2019/7/25,24005,tohoku
2019/7/26,24683,tohoku
2019/7/27,22300,tohoku
2019/7/28,21675,tohoku
2019/7/29,24716,tohoku
2019/7/30,25631,tohoku
2019/7/31,26096,tohoku
2019/8/1,27117,tohoku
2019/8/2,27220,tohoku
2019/8/3,24592,tohoku
2019/8/4,23082,tohoku
2019/8/5,26425,tohoku
2019/8/6,27575,tohoku
2019/8/7,27105,tohoku
2019/8/8,26894,tohoku
2019/8/9,26136,tohoku
2019/8/10,22213,tohoku
2019/8/11,20601,tohoku
2019/8/12,21514,tohoku
2019/8/13,22264,tohoku
2019/8/14,21054,tohoku
2019/8/15,22516,tohoku
2019/8/16,21828,tohoku
2019/8/17,22217,tohoku
2019/8/18,21895,tohoku
2019/8/19,23917,tohoku
2019/8/20,22716,tohoku
2019/8/21,22826,tohoku
2019/8/22,22828,tohoku
2019/8/23,22579,tohoku
2019/8/24,20142,tohoku
2019/8/25,19031,tohoku
2019/8/26,21281,tohoku
2019/8/27,21962,tohoku
2019/8/28,21776,tohoku
2019/8/29,22506,tohoku
2019/8/30,21722,tohoku
2019/8/31,20145,tohoku
2019/9/1,19078,tohoku
2019/9/2,20652,tohoku
2019/9/3,20961,tohoku
2019/9/4,21303,tohoku
2019/9/5,21760,tohoku
2019/9/6,23681,tohoku
2019/9/7,21969,tohoku
2019/9/8,21895,tohoku
2019/9/9,23518,tohoku
2019/9/10,24318,tohoku
2019/9/11,22215,tohoku
2019/9/12,20928,tohoku
2019/9/13,20429,tohoku
2019/9/14,18649,tohoku
2019/9/15,18955,tohoku
2019/9/16,19803,tohoku
2019/9/17,21482,tohoku
2019/9/18,20550,tohoku
2019/9/19,20118,tohoku
2019/9/20,20027,tohoku
2019/9/21,18507,tohoku
2019/9/22,18091,tohoku
2019/9/23,19460,tohoku
2019/9/24,20361,tohoku
2019/9/25,20376,tohoku
2019/9/26,20325,tohoku
2019/9/27,20534,tohoku
2019/9/28,19241,tohoku
2019/9/29,18195,tohoku
2019/9/30,20480,tohoku
2019/10/1,21114,tohoku
2019/10/2,21295,tohoku
2019/10/3,20933,tohoku
2019/10/4,21033,tohoku
2019/10/5,19047,tohoku
2019/10/6,17585,tohoku
2019/10/7,19545,tohoku
2019/10/8,20041,tohoku
2019/10/9,19632,tohoku
2019/10/10,20332,tohoku
2019/10/11,20429,tohoku
2019/10/12,18576,tohoku
2019/10/13,16833,tohoku
2019/10/14,18569,tohoku
2019/10/15,19759,tohoku
2019/10/16,20427,tohoku
2019/10/17,20613,tohoku
2019/10/18,20572,tohoku
2019/10/19,19799,tohoku
2019/10/20,17528,tohoku
2019/10/21,19058,tohoku
2019/10/22,19504,tohoku
2019/10/23,20013,tohoku
2019/10/24,20242,tohoku
2019/10/25,20525,tohoku
2019/10/26,18835,tohoku
2019/10/27,17629,tohoku
2019/10/28,19819,tohoku
2019/10/29,20938,tohoku
2019/10/30,20122,tohoku
2019/10/31,20244,tohoku
2019/11/1,20188,tohoku
2019/11/2,19179,tohoku
2019/11/3,18160,tohoku
2019/11/4,19423,tohoku
2019/11/5,20869,tohoku
2019/11/6,21226,tohoku
2019/11/7,21531,tohoku
2019/11/8,21511,tohoku
2019/11/9,20787,tohoku
2019/11/10,19314,tohoku
2019/11/11,21902,tohoku
2019/11/12,21337,tohoku
2019/11/13,21345,tohoku
2019/11/14,21712,tohoku
2019/11/15,22272,tohoku
