DATE,合計,エリア
2019/1/1,67313,tokyo
2019/1/2,67881,tokyo
2019/1/3,71562,tokyo
2019/1/4,77948,tokyo
2019/1/5,75575,tokyo
2019/1/6,80133,tokyo
2019/1/7,90877,tokyo
2019/1/8,94329,tokyo
2019/1/9,95515,tokyo
2019/1/10,102474,tokyo
2019/1/11,94960,tokyo
2019/1/12,91597,tokyo
2019/1/13,79635,tokyo
2019/1/14,85018,tokyo
2019/1/15,97436,tokyo
2019/1/16,93291,tokyo
2019/1/17,91616,tokyo
2019/1/18,93240,tokyo
2019/1/19,85245,tokyo
2019/1/20,79513,tokyo
2019/1/21,90595,tokyo
2019/1/22,94096,tokyo
2019/1/23,92349,tokyo
2019/1/24,92950,tokyo
2019/1/25,94612,tokyo
2019/1/26,88655,tokyo
2019/1/27,83435,tokyo
2019/1/28,94522,tokyo
2019/1/29,93914,tokyo
2019/1/30,94529,tokyo
2019/1/31,97179,tokyo
2019/2/1,96247,tokyo
2019/2/2,84607,tokyo
2019/2/3,76097,tokyo
2019/2/4,80008,tokyo
2019/2/5,89818,tokyo
2019/2/6,93557,tokyo
2019/2/7,87523,tokyo
2019/2/8,91899,tokyo
2019/2/9,96648,tokyo
2019/2/10,85330,tokyo
2019/2/11,92289,tokyo
2019/2/12,93984,tokyo
2019/2/13,95671,tokyo
2019/2/14,96166,tokyo
2019/2/15,99972,tokyo
2019/2/16,84838,tokyo
2019/2/17,78671,tokyo
2019/2/18,86350,tokyo
2019/2/19,89426,tokyo
2019/2/20,80717,tokyo
2019/2/21,81990,tokyo
2019/2/22,82735,tokyo
2019/2/23,76028,tokyo
2019/2/24,72495,tokyo
2019/2/25,79569,tokyo
2019/2/26,81368,tokyo
2019/2/27,85458,tokyo
2019/2/28,89531,tokyo
2019/3/1,83451,tokyo
2019/3/2,74270,tokyo
2019/3/3,77013,tokyo
2019/3/4,87953,tokyo
2019/3/5,82025,tokyo
2019/3/6,82193,tokyo
2019/3/7,85315,tokyo
2019/3/8,84636,tokyo
2019/3/9,75362,tokyo
2019/3/10,68162,tokyo
2019/3/11,77165,tokyo
2019/3/12,76538,tokyo
2019/3/13,76676,tokyo
2019/3/14,80920,tokyo
2019/3/15,80322,tokyo
2019/3/16,74714,tokyo
2019/3/17,70029,tokyo
2019/3/18,78295,tokyo
2019/3/19,76414,tokyo
2019/3/20,73233,tokyo
2019/3/21,69025,tokyo
2019/3/22,70737,tokyo
2019/3/23,75972,tokyo
2019/3/24,69739,tokyo
2019/3/25,77553,tokyo
2019/3/26,77317,tokyo
2019/3/27,74221,tokyo
2019/3/28,73967,tokyo
2019/3/29,80292,tokyo
2019/3/30,75022,tokyo
2019/3/31,67283,tokyo
2019/4/1,77535,tokyo
2019/4/2,81719,tokyo
2019/4/3,81962,tokyo
2019/4/4,78301,tokyo
2019/4/5,73841,tokyo
2019/4/6,65098,tokyo
2019/4/7,61838,tokyo
2019/4/8,76155,tokyo
2019/4/9,76580,tokyo
2019/4/10,88078,tokyo
2019/4/11,80364,tokyo
2019/4/12,80606,tokyo
2019/4/13,69384,tokyo
2019/4/14,63949,tokyo
2019/4/15,70026,tokyo
2019/4/16,71581,tokyo
2019/4/17,71580,tokyo
2019/4/18,70883,tokyo
2019/4/19,71017,tokyo
2019/4/20,64460,tokyo
2019/4/21,60774,tokyo
2019/4/22,69717,tokyo
2019/4/23,70442,tokyo
2019/4/24,71041,tokyo
2019/4/25,72047,tokyo
2019/4/26,71063,tokyo
2019/4/27,66881,tokyo
2019/4/28,60439,tokyo
2019/4/29,59601,tokyo
2019/4/30,61237,tokyo
2019/5/1,59052,tokyo
2019/5/2,57168,tokyo
2019/5/3,55680,tokyo
2019/5/4,56188,tokyo
2019/5/5,56241,tokyo
2019/5/6,59686,tokyo
2019/5/7,66858,tokyo
2019/5/8,69377,tokyo
2019/5/9,69252,tokyo
2019/5/10,70086,tokyo
2019/5/11,65106,tokyo
2019/5/12,59906,tokyo
2019/5/13,68641,tokyo
2019/5/14,71042,tokyo
2019/5/15,70625,tokyo
2019/5/16,71136,tokyo
2019/5/17,71221,tokyo
2019/5/18,64658,tokyo
2019/5/19,61821,tokyo
2019/5/20,70109,tokyo
2019/5/21,73122,tokyo
2019/5/22,70224,tokyo
2019/5/23,71101,tokyo
2019/5/24,72910,tokyo
2019/5/25,67661,tokyo
2019/5/26,66699,tokyo
2019/5/27,79382,tokyo
2019/5/28,76158,tokyo
2019/5/29,73656,tokyo
2019/5/30,72975,tokyo
2019/5/31,72603,tokyo
2019/6/1,65917,tokyo
2019/6/2,62272,tokyo
2019/6/3,72584,tokyo
2019/6/4,75291,tokyo
2019/6/5,74975,tokyo
2019/6/6,79952,tokyo
2019/6/7,76213,tokyo
2019/6/8,67236,tokyo
2019/6/9,61326,tokyo
2019/6/10,70750,tokyo
2019/6/11,70730,tokyo
2019/6/12,70936,tokyo
2019/6/13,72651,tokyo
2019/6/14,73394,tokyo
2019/6/15,66074,tokyo
2019/6/16,63720,tokyo
2019/6/17,72020,tokyo
2019/6/18,75731,tokyo
2019/6/19,77630,tokyo
2019/6/20,78407,tokyo
2019/6/21,79386,tokyo
2019/6/22,69395,tokyo
2019/6/23,63983,tokyo
2019/6/24,71683,tokyo
2019/6/25,75135,tokyo
2019/6/26,78429,tokyo
2019/6/27,81150,tokyo
2019/6/28,83128,tokyo
2019/6/29,69013,tokyo
2019/6/30,66442,tokyo
2019/7/1,76433,tokyo
2019/7/2,79757,tokyo
2019/7/3,80535,tokyo
2019/7/4,78434,tokyo
2019/7/5,74855,tokyo
2019/7/6,67514,tokyo
2019/7/7,63405,tokyo
2019/7/8,71129,tokyo
2019/7/9,71863,tokyo
2019/7/10,72795,tokyo
2019/7/11,73477,tokyo
2019/7/12,74035,tokyo
2019/7/13,69367,tokyo
2019/7/14,65296,tokyo
2019/7/15,68196,tokyo
2019/7/16,74589,tokyo
2019/7/17,79488,tokyo
2019/7/18,82858,tokyo
2019/7/19,87259,tokyo
2019/7/20,79014,tokyo
2019/7/21,72677,tokyo
2019/7/22,78461,tokyo
2019/7/23,83594,tokyo
2019/7/24,88164,tokyo
2019/7/25,92035,tokyo
2019/7/26,92567,tokyo
2019/7/27,84300,tokyo
2019/7/28,80713,tokyo
2019/7/29,95870,tokyo
2019/7/30,99676,tokyo
2019/7/31,102492,tokyo
2019/8/1,104681,tokyo
2019/8/2,104832,tokyo
2019/8/3,93242,tokyo
2019/8/4,87728,tokyo
2019/8/5,101268,tokyo
2019/8/6,104708,tokyo
2019/8/7,103939,tokyo
2019/8/8,103759,tokyo
2019/8/9,101726,tokyo
2019/8/10,91074,tokyo
2019/8/11,82739,tokyo
2019/8/12,81644,tokyo
2019/8/13,85387,tokyo
2019/8/14,83975,tokyo
2019/8/15,83737,tokyo
2019/8/16,83726,tokyo
2019/8/17,87460,tokyo
2019/8/18,85810,tokyo
2019/8/19,93277,tokyo
2019/8/20,91432,tokyo
2019/8/21,91035,tokyo
2019/8/22,88771,tokyo
2019/8/23,88090,tokyo
2019/8/24,80449,tokyo
2019/8/25,74946,tokyo
2019/8/26,82554,tokyo
2019/8/27,84953,tokyo
2019/8/28,84701,tokyo
2019/8/29,93182,tokyo
2019/8/30,86456,tokyo
2019/8/31,80801,tokyo
2019/9/1,77114,tokyo
2019/9/2,91073,tokyo
2019/9/3,87669,tokyo
2019/9/4,80950,tokyo
2019/9/5,84404,tokyo
2019/9/6,92929,tokyo
2019/9/7,87213,tokyo
2019/9/8,83981,tokyo
2019/9/9,94170,tokyo
2019/9/10,100181,tokyo
2019/9/11,95989,tokyo
2019/9/12,84893,tokyo
2019/9/13,76231,tokyo
2019/9/14,68329,tokyo
2019/9/15,69365,tokyo
2019/9/16,72840,tokyo
2019/9/17,84475,tokyo
2019/9/18,76993,tokyo
2019/9/19,75591,tokyo
2019/9/20,75731,tokyo
2019/9/21,67835,tokyo
2019/9/22,64405,tokyo
2019/9/23,75686,tokyo
2019/9/24,82651,tokyo
2019/9/25,79799,tokyo
2019/9/26,77199,tokyo
2019/9/27,77924,tokyo
2019/9/28,71272,tokyo
2019/9/29,68787,tokyo
2019/9/30,79109,tokyo
2019/10/1,80565,tokyo
2019/10/2,80326,tokyo
2019/10/3,79635,tokyo
2019/10/4,81643,tokyo
2019/10/5,73659,tokyo
2019/10/6,63769,tokyo
2019/10/7,72028,tokyo
2019/10/8,75468,tokyo
2019/10/9,72441,tokyo
2019/10/10,72365,tokyo
2019/10/11,73503,tokyo
2019/10/12,61846,tokyo
2019/10/13,61586,tokyo
2019/10/14,64337,tokyo
2019/10/15,70580,tokyo
2019/10/16,70452,tokyo
2019/10/17,71250,tokyo
2019/10/18,71941,tokyo
2019/10/19,66773,tokyo
2019/10/20,61610,tokyo
2019/10/21,67226,tokyo
2019/10/22,67264,tokyo
2019/10/23,70686,tokyo
2019/10/24,71541,tokyo
2019/10/25,74489,tokyo
2019/10/26,65990,tokyo
2019/10/27,61480,tokyo
2019/10/28,68927,tokyo
2019/10/29,73180,tokyo
2019/10/30,71643,tokyo
2019/10/31,71395,tokyo
2019/11/1,70583,tokyo
2019/11/2,64542,tokyo
2019/11/3,61724,tokyo
2019/11/4,64344,tokyo
2019/11/5,71172,tokyo
2019/11/6,72143,tokyo
2019/11/7,72489,tokyo
2019/11/8,71787,tokyo
2019/11/9,66277,tokyo
2019/11/10,62735,tokyo
2019/11/11,72688,tokyo
2019/11/12,72945,tokyo
2019/11/13,74584,tokyo
2019/11/14,73560,tokyo
2019/11/15,73553,tokyo
2019/11/16,67909,tokyo
2019/11/17,64315,tokyo
2019/11/18,72979,tokyo
2019/11/19,72910,tokyo
2019/11/20,75563,tokyo
2019/11/21,77289,tokyo
2019/11/22,85052,tokyo
2019/11/23,74764,tokyo
2019/11/24,66428,tokyo
2019/11/25,73086,tokyo
2019/11/26,82815,tokyo
2019/11/27,83819,tokyo
2019/11/28,86431,tokyo
2019/11/29,87490,tokyo
2019/11/30,80160,tokyo
2019/12/1,75818,tokyo
2019/12/2,85326,tokyo
2019/12/3,80793,tokyo
2019/12/4,82436,tokyo
2019/12/5,84221,tokyo
2019/12/6,88114,tokyo
2019/12/7,86403,tokyo
2019/12/8,76893,tokyo
2019/12/9,91390,tokyo
2019/12/10,86328,tokyo
2019/12/11,82310,tokyo
2019/12/12,81170,tokyo
2019/12/13,89090,tokyo
2019/12/14,78454,tokyo
2019/12/15,75423,tokyo
2019/12/16,86564,tokyo
2019/12/17,88947,tokyo
2019/12/18,83227,tokyo
2019/12/19,87961,tokyo
2019/12/20,82509,tokyo
2019/12/21,80890,tokyo
2019/12/22,79672,tokyo
2019/12/23,87886,tokyo
2019/12/24,87803,tokyo
2019/12/25,90902,tokyo
2019/12/26,88473,tokyo
2019/12/27,79824,tokyo
2019/12/28,76246,tokyo
2019/12/29,71523,tokyo
2019/12/30,73433,tokyo
2019/12/31,66657,tokyo
2020/1/1,65874,tokyo
2020/1/2,67003,tokyo
2020/1/3,67812,tokyo
2020/1/4,71524,tokyo
2020/1/5,74496,tokyo
2020/1/6,86622,tokyo
2020/1/7,92868,tokyo
2020/1/8,93206,tokyo
2020/1/9,85530,tokyo
2020/1/10,86680,tokyo
2020/1/11,82136,tokyo
2020/1/12,79220,tokyo
2020/1/13,78141,tokyo
2020/1/14,85948,tokyo
2020/1/15,89613,tokyo
2020/1/16,90943,tokyo
2020/1/17,91101,tokyo
2020/1/18,91726,tokyo
2020/1/19,78994,tokyo
2020/1/20,87122,tokyo
2020/1/21,89601,tokyo
2020/1/22,95650,tokyo
2020/1/23,95211,tokyo
2020/1/24,86515,tokyo
2020/1/25,81689,tokyo
2020/1/26,81839,tokyo
2020/1/27,96589,tokyo
2020/1/28,100472,tokyo
2020/1/29,83342,tokyo
2020/1/30,80107,tokyo
2020/1/31,85274,tokyo
2020/2/1,79631,tokyo
2020/2/2,74777,tokyo
2020/2/3,83316,tokyo
2020/2/4,86385,tokyo
2020/2/5,87039,tokyo
2020/2/6,96793,tokyo
2020/2/7,98628,tokyo
2020/2/8,84411,tokyo
2020/2/9,81916,tokyo
2020/2/10,92471,tokyo
2020/2/11,85143,tokyo
2020/2/12,88017,tokyo
2020/2/13,81416,tokyo
2020/2/14,80393,tokyo
2020/2/15,73580,tokyo
2020/2/16,73799,tokyo
2020/2/17,79822,tokyo
2020/2/18,84408,tokyo
2020/2/19,85260,tokyo
2020/2/20,85045,tokyo
2020/2/21,80988,tokyo
2020/2/22,72747,tokyo
2020/2/23,68171,tokyo
2020/2/24,73157,tokyo
2020/2/25,82022,tokyo
2020/2/26,86195,tokyo
2020/2/27,86150,tokyo
2020/2/28,86915,tokyo
2020/2/29,76060,tokyo
2020/3/1,67371,tokyo
2020/3/2,84425,tokyo
2020/3/3,79360,tokyo
2020/3/4,84334,tokyo
2020/3/5,82549,tokyo
2020/3/6,81707,tokyo
2020/3/7,77405,tokyo
2020/3/8,75864,tokyo
2020/3/9,76855,tokyo
2020/3/10,77130,tokyo
2020/3/11,71298,tokyo
2020/3/12,74862,tokyo
2020/3/13,74675,tokyo
2020/3/14,80808,tokyo
2020/3/15,72533,tokyo
2020/3/16,82835,tokyo
2020/3/17,84476,tokyo
2020/3/18,76943,tokyo
2020/3/19,73711,tokyo
2020/3/20,66697,tokyo
2020/3/21,64708,tokyo
2020/3/22,60690,tokyo
2020/3/23,74142,tokyo
2020/3/24,78772,tokyo
2020/3/25,77845,tokyo
2020/3/26,73749,tokyo
2020/3/27,72428,tokyo
2020/3/28,65334,tokyo
2020/3/29,78157,tokyo
2020/3/30,83383,tokyo
2020/3/31,80908,tokyo
2020/4/1,80114,tokyo
2020/4/2,74014,tokyo
2020/4/3,74017,tokyo
2020/4/4,63443,tokyo
2020/4/5,64390,tokyo
2020/4/6,72418,tokyo
2020/4/7,73380,tokyo
2020/4/8,70555,tokyo
2020/4/9,69995,tokyo
2020/4/10,71634,tokyo
2020/4/11,65066,tokyo
2020/4/12,64088,tokyo
2020/4/13,81206,tokyo
2020/4/14,74449,tokyo
2020/4/15,70745,tokyo
2020/4/16,71011,tokyo
2020/4/17,70733,tokyo
2020/4/18,67174,tokyo
2020/4/19,58631,tokyo
2020/4/20,73786,tokyo
2020/4/21,68284,tokyo
2020/4/22,68045,tokyo
2020/4/23,68236,tokyo
2020/4/24,68300,tokyo
2020/4/25,61370,tokyo
2020/4/26,56660,tokyo
2020/4/27,65812,tokyo
2020/4/28,65734,tokyo
2020/4/29,59673,tokyo
2020/4/30,60934,tokyo
2020/5/1,59439,tokyo
2020/5/2,55362,tokyo
2020/5/3,52843,tokyo
2020/5/4,53336,tokyo
2020/5/5,54250,tokyo
2020/5/6,55413,tokyo
2020/5/7,58454,tokyo
2020/5/8,59907,tokyo
2020/5/9,56957,tokyo
2020/5/10,55773,tokyo
2020/5/11,65868,tokyo
2020/5/12,66190,tokyo
2020/5/13,66652,tokyo
2020/5/14,65053,tokyo
2020/5/15,65533,tokyo
2020/5/16,59438,tokyo
2020/5/17,56975,tokyo
2020/5/18,65383,tokyo
2020/5/19,66510,tokyo
2020/5/20,65796,tokyo
2020/5/21,68084,tokyo
2020/5/22,65159,tokyo
2020/5/23,58520,tokyo
2020/5/24,55794,tokyo
2020/5/25,64982,tokyo
2020/5/26,67284,tokyo
2020/5/27,67310,tokyo
2020/5/28,65715,tokyo
2020/5/29,65363,tokyo
2020/5/30,59867,tokyo
2020/5/31,56565,tokyo
2020/6/1,66993,tokyo
2020/6/2,70445,tokyo
2020/6/3,72322,tokyo
2020/6/4,72578,tokyo
2020/6/5,74592,tokyo
2020/6/6,66034,tokyo
2020/6/7,59461,tokyo
2020/6/8,70946,tokyo
2020/6/9,76978,tokyo
2020/6/10,78253,tokyo
2020/6/11,79754,tokyo
2020/6/12,80957,tokyo
2020/6/13,66598,tokyo
2020/6/14,61964,tokyo
2020/6/15,79314,tokyo
2020/6/16,78265,tokyo
2020/6/17,74579,tokyo
2020/6/18,72781,tokyo
2020/6/19,68943,tokyo
2020/6/20,63641,tokyo
2020/6/21,60349,tokyo
2020/6/22,68404,tokyo
2020/6/23,71651,tokyo
2020/6/24,72037,tokyo
