DATE,合計,エリア
2019/4/1,1027805,chubu
2019/5/1,1000704,chubu
2019/6/1,1046728,chubu
2019/7/1,1183814,chubu
2019/8/1,1242260,chubu
2019/9/1,1159849,chubu
2019/10/1,1045631,chubu
2019/11/1,1027846,chubu
2019/12/1,1145398,chubu
2020/1/1,1174673,chubu
2020/2/1,1148511,chubu
2020/3/1,1121188,chubu
2020/4/1,972895,chubu
2020/5/1,867777,chubu
2020/6/1,987470,chubu
2020/7/1,1101125,chubu
2020/8/1,1246030,chubu
2020/9/1,1116590,chubu
2020/10/1,1024446,chubu
2020/11/1,1021568,chubu
2020/12/1,1197022,chubu
2021/1/1,1260633,chubu
2021/2/1,1117943,chubu
2021/3/1,1117205,chubu
2021/4/1,997178,chubu
2021/5/1,962306,chubu
2021/6/1,927431,chubu
2021/7/1,1227104,chubu
2021/8/1,1180150,chubu
2021/9/1,1060517,chubu
2021/10/1,1035392,chubu
2021/11/1,1047970,chubu
2021/12/1,1211687,chubu
2022/1/1,1294870,chubu
2022/2/1,1204286,chubu
2022/3/1,1138715,chubu
2022/4/1,977772,chubu
2022/5/1,950788,chubu
2022/6/1,1070217,chubu
2022/7/1,1207712,chubu
2022/8/1,1210811,chubu
2022/9/1,1139081,chubu
2022/10/1,1000249,chubu
2022/11/1,1001490,chubu
2022/12/1,1185007,chubu
2023/1/1,1207243,chubu
2023/2/1,1104499,chubu
2023/3/1,1039556,chubu
2023/4/1,932228,chubu
2023/5/1,932012,chubu
2023/6/1,1015706,chubu
2023/7/1,1219313,chubu
2023/8/1,1218916,chubu
