DATE,合計,エリア
2021/4/1,441307,chugoku
2021/5/1,432013,chugoku
2021/6/1,459072,chugoku
2021/7/1,518977,chugoku
2021/8/1,528893,chugoku
2021/9/1,475333,chugoku
2021/10/1,467007,chugoku
2021/11/1,479052,chugoku
2021/12/1,555807,chugoku
2022/4/1,435322,chugoku
2022/5/1,423766,chugoku
2022/6/1,463793,chugoku
2022/7/1,533089,chugoku
2022/8/1,552789,chugoku
2022/9/1,486850,chugoku
2022/10/1,442385,chugoku
2022/11/1,440934,chugoku
2022/12/1,558025,chugoku
2023/1/1,561432,chugoku
2023/2/1,497360,chugoku
2023/3/1,464288,chugoku
2023/4/1,410505,chugoku
2023/5/1,400599,chugoku
2023/6/1,428290,chugoku
2023/7/1,498689,chugoku
