DATE,合計,エリア
2019/4/1,236563,hokkaido
2019/5/1,219911,hokkaido
2019/6/1,212320,hokkaido
2019/7/1,233940,hokkaido
2019/8/1,238540,hokkaido
2019/9/1,221731,hokkaido
2019/10/1,231063,hokkaido
2019/11/1,258873,hokkaido
2019/12/1,307113,hokkaido
2020/1/1,313890,hokkaido
2020/2/1,294538,hokkaido
2020/3/1,272977,hokkaido
2020/4/1,233810,hokkaido
2020/5/1,211650,hokkaido
2020/6/1,209608,hokkaido
2020/7/1,225009,hokkaido
2020/8/1,233868,hokkaido
2020/9/1,220316,hokkaido
2020/10/1,230362,hokkaido
2020/11/1,254832,hokkaido
2020/12/1,312285,hokkaido
2021/1/1,335313,hokkaido
2021/2/1,289456,hokkaido
2021/3/1,281925,hokkaido
2021/4/1,238790,hokkaido
2021/5/1,221732,hokkaido
2021/6/1,211549,hokkaido
2021/7/1,239493,hokkaido
2021/8/1,232317,hokkaido
2021/9/1,211457,hokkaido
2021/10/1,230771,hokkaido
2021/11/1,248118,hokkaido
2021/12/1,305193,hokkaido
2022/1/1,327990,hokkaido
2022/2/1,288622,hokkaido
2022/3/1,281870,hokkaido
2022/4/1,232499,hokkaido
2022/5/1,217037,hokkaido
2022/6/1,211316,hokkaido
2022/7/1,234840,hokkaido
2022/8/1,233039,hokkaido
2022/9/1,217631,hokkaido
2022/10/1,228893,hokkaido
2022/11/1,247119,hokkaido
2022/12/1,310518,hokkaido
2023/1/1,325920,hokkaido
2023/2/1,287310,hokkaido
2023/3/1,262193,hokkaido
2023/4/1,225452,hokkaido
2023/5/1,214036,hokkaido
2023/6/1,208892,hokkaido
