DATE,合計,エリア
2019/4/1,231795,hokuriku
2019/5/1,213317,hokuriku
2019/6/1,216932,hokuriku
2019/7/1,247478,hokuriku
2019/8/1,259690,hokuriku
2019/9/1,231464,hokuriku
2019/10/1,219315,hokuriku
2019/11/1,228656,hokuriku
2019/12/1,259522,hokuriku
2020/1/1,265348,hokuriku
2020/2/1,261965,hokuriku
2020/3/1,253924,hokuriku
2020/4/1,226105,hokuriku
2020/5/1,191947,hokuriku
2020/6/1,207643,hokuriku
2020/7/1,224484,hokuriku
2020/8/1,252681,hokuriku
2020/9/1,227570,hokuriku
2020/10/1,215612,hokuriku
2020/11/1,225551,hokuriku
2020/12/1,275885,hokuriku
2021/1/1,300234,hokuriku
2021/2/1,259694,hokuriku
2021/3/1,253155,hokuriku
2021/4/1,221762,hokuriku
2021/5/1,207300,hokuriku
2021/6/1,200896,hokuriku
2021/7/1,255041,hokuriku
2021/8/1,246023,hokuriku
2021/9/1,221137,hokuriku
2021/10/1,223110,hokuriku
2021/11/1,234300,hokuriku
2021/12/1,280242,hokuriku
2022/1/1,305177,hokuriku
2022/2/1,283961,hokuriku
2022/3/1,262112,hokuriku
2022/4/1,217845,hokuriku
2022/5/1,205410,hokuriku
2022/6/1,225937,hokuriku
2022/7/1,253922,hokuriku
2022/8/1,249752,hokuriku
2022/9/1,228214,hokuriku
2022/10/1,211981,hokuriku
2022/11/1,217592,hokuriku
2022/12/1,274822,hokuriku
2023/1/1,280111,hokuriku
2023/2/1,254970,hokuriku
2023/3/1,234223,hokuriku
2023/4/1,205567,hokuriku
2023/5/1,195878,hokuriku
2023/6/1,208268,hokuriku
2023/7/1,244943,hokuriku
2023/8/1,261136,hokuriku
