DATE,合計,エリア
2019/4/1,1099619,kansai
2019/5/1,1077361,kansai
2019/6/1,1128301,kansai
2019/7/1,1290092,kansai
2019/8/1,1395243,kansai
2019/9/1,1239852,kansai
2019/10/1,1108360,kansai
2019/11/1,1079033,kansai
2019/12/1,1245120,kansai
2020/1/1,1266855,kansai
2020/2/1,1229638,kansai
2020/3/1,1181192,kansai
2020/4/1,1045813,kansai
2020/5/1,964391,kansai
2020/6/1,1096400,kansai
2020/7/1,1212435,kansai
2020/8/1,1438414,kansai
2020/9/1,1188706,kansai
2020/10/1,1065346,kansai
2020/11/1,1067658,kansai
2020/12/1,1283172,kansai
2021/1/1,1358460,kansai
2021/2/1,1165846,kansai
2021/3/1,1170795,kansai
2021/4/1,1035953,kansai
2021/5/1,1015559,kansai
2021/6/1,1014531,kansai
2021/7/1,1334698,kansai
2021/8/1,1316586,kansai
2021/9/1,1145232,kansai
2021/10/1,1116200,kansai
2021/11/1,1087829,kansai
2021/12/1,1280298,kansai
2022/1/1,1403924,kansai
2022/2/1,1292724,kansai
2022/3/1,1203088,kansai
2022/4/1,1021999,kansai
2022/5/1,1021150,kansai
2022/6/1,1143591,kansai
2022/7/1,1351949,kansai
2022/8/1,1381179,kansai
2022/9/1,1211129,kansai
2022/10/1,1050086,kansai
2022/11/1,1035554,kansai
2022/12/1,1282536,kansai
2023/1/1,1326719,kansai
2023/2/1,1209927,kansai
2023/3/1,1107132,kansai
2023/4/1,986988,kansai
2023/5/1,1000377,kansai
2023/6/1,1075995,kansai
2023/7/1,1330451,kansai
2023/8/1,1373435,kansai
