DATE,合計,エリア
2019/4/1,630595,kyushu
2019/5/1,633696,kyushu
2019/6/1,664174,kyushu
2019/7/1,772873,kyushu
2019/8/1,799026,kyushu
2019/9/1,729352,kyushu
2019/10/1,657202,kyushu
2019/11/1,636925,kyushu
2019/12/1,746792,kyushu
2020/1/1,760993,kyushu
2020/2/1,714109,kyushu
2020/3/1,692955,kyushu
2020/4/1,619211,kyushu
2020/5/1,587919,kyushu
2020/6/1,669256,kyushu
2020/7/1,732880,kyushu
2020/8/1,855471,kyushu
2020/9/1,676402,kyushu
2020/10/1,629685,kyushu
2020/11/1,634368,kyushu
2020/12/1,792131,kyushu
2021/1/1,823150,kyushu
2021/2/1,678583,kyushu
2021/3/1,672686,kyushu
2021/4/1,603652,kyushu
2021/5/1,607660,kyushu
2021/6/1,602517,kyushu
2021/7/1,801048,kyushu
2021/8/1,773841,kyushu
2021/9/1,706606,kyushu
2021/10/1,663514,kyushu
2021/11/1,652048,kyushu
2021/12/1,779000,kyushu
2022/1/1,818541,kyushu
2022/2/1,762238,kyushu
2022/3/1,687675,kyushu
2022/4/1,606671,kyushu
2022/5/1,609571,kyushu
2022/6/1,689654,kyushu
2022/7/1,825136,kyushu
2022/8/1,838929,kyushu
2022/9/1,707975,kyushu
2022/10/1,627535,kyushu
2022/11/1,608702,kyushu
2022/12/1,791940,kyushu
2023/1/1,802268,kyushu
2023/2/1,686195,kyushu
2023/3/1,659200,kyushu
2023/4/1,597192,kyushu
2023/5/1,615338,kyushu
2023/6/1,663395,kyushu
2023/7/1,807195,kyushu
2023/8/1,835473,kyushu
