DATE,合計,エリア
2019/1/1,253845,sikoku
2019/2/1,227258,sikoku
2019/3/1,229040,sikoku
2019/4/1,201728,sikoku
2019/5/1,196621,sikoku
2019/6/1,208008,sikoku
2019/7/1,238945,sikoku
2019/8/1,251221,sikoku
2019/9/1,232292,sikoku
2019/10/1,213690,sikoku
2019/11/1,210140,sikoku
2019/12/1,240056,sikoku
2020/1/1,242927,sikoku
2020/2/1,233392,sikoku
2020/3/1,226415,sikoku
2020/4/1,203060,sikoku
2020/5/1,190366,sikoku
2020/6/1,210481,sikoku
2020/7/1,231144,sikoku
2020/8/1,269732,sikoku
2020/9/1,217322,sikoku
2020/10/1,200219,sikoku
2020/11/1,202425,sikoku
2020/12/1,247619,sikoku
2021/1/1,265050,sikoku
2021/2/1,223424,sikoku
2021/3/1,222663,sikoku
2021/4/1,200647,sikoku
2021/5/1,196104,sikoku
2021/6/1,206571,sikoku
2021/7/1,243503,sikoku
2021/8/1,242830,sikoku
2021/9/1,215565,sikoku
2021/10/1,210563,sikoku
2021/11/1,211352,sikoku
2021/12/1,246542,sikoku
2022/1/1,267578,sikoku
2022/2/1,246870,sikoku
2022/3/1,227444,sikoku
2022/4/1,196792,sikoku
2022/5/1,192336,sikoku
2022/6/1,220052,sikoku
2022/7/1,254003,sikoku
2022/8/1,264424,sikoku
2022/9/1,226643,sikoku
2022/10/1,208134,sikoku
2022/11/1,204413,sikoku
2022/12/1,254991,sikoku
2023/1/1,261993,sikoku
2023/2/1,233233,sikoku
2023/3/1,216632,sikoku
2023/4/1,188491,sikoku
2023/5/1,189219,sikoku
2023/6/1,199519,sikoku
2023/7/1,240874,sikoku
2023/8/1,247334,sikoku
