DATE,合計,エリア
2019/1/1,2731994,tokyo
2019/2/1,2428992,tokyo
2019/3/1,2375814,tokyo
2019/4/1,2138199,tokyo
2019/5/1,2090344,tokyo
2019/6/1,2165553,tokyo
2019/7/1,2460848,tokyo
2019/8/1,2792082,tokyo
2019/9/1,2404788,tokyo
2019/10/1,2189598,tokyo
2019/11/1,2196136,tokyo
2019/12/1,2556686,tokyo
2020/1/1,2622848,tokyo
2020/2/1,2394655,tokyo
2020/3/1,2355954,tokyo
2020/4/1,2053897,tokyo
2020/5/1,1899775,tokyo
2020/6/1,2140678,tokyo
2020/7/1,2337012,tokyo
2020/8/1,2825380,tokyo
2020/9/1,2365572,tokyo
2020/10/1,2122297,tokyo
2020/11/1,2133440,tokyo
2020/12/1,2626819,tokyo
2021/1/1,2777215,tokyo
2021/2/1,2351092,tokyo
2021/3/1,2315376,tokyo
2021/4/1,2033015,tokyo
2021/5/1,2014335,tokyo
2021/6/1,2164370,tokyo
2021/7/1,2582590,tokyo
2021/8/1,2682023,tokyo
2021/9/1,2157008,tokyo
2021/10/1,2168086,tokyo
2021/11/1,2162297,tokyo
2021/12/1,2602105,tokyo
2022/1/1,2850696,tokyo
2022/2/1,2586477,tokyo
2022/3/1,2357110,tokyo
2022/4/1,2069342,tokyo
2022/5/1,2035875,tokyo
2022/6/1,2262333,tokyo
2022/7/1,2710459,tokyo
2022/8/1,2674658,tokyo
2022/9/1,2316185,tokyo
2022/10/1,2104690,tokyo
2022/11/1,2089663,tokyo
2022/12/1,2538581,tokyo
2023/1/1,2666832,tokyo
2023/2/1,2349255,tokyo
2023/3/1,2142954,tokyo
2023/4/1,1933464,tokyo
2023/5/1,1947375,tokyo
2023/6/1,2124024,tokyo
2023/7/1,2719466,tokyo
2023/8/1,2808358,tokyo
