DATE,TIME,????????(??kW)
2019/05/01,00:00,960
2019/05/01,01:00,939
2019/05/01,02:00,957
2019/05/01,03:00,983
2019/05/01,04:00,983
2019/05/01,05:00,947
2019/05/01,06:00,930
2019/05/01,07:00,976
2019/05/01,08:00,1056
2019/05/01,09:00,1098
2019/05/01,10:00,1105
2019/05/01,11:00,1119
2019/05/01,12:00,1087
2019/05/01,13:00,1104
2019/05/01,14:00,1097
2019/05/01,15:00,1092
2019/05/01,16:00,1115
2019/05/01,17:00,1134
2019/05/01,18:00,1167
2019/05/01,19:00,1171
2019/05/01,20:00,1135
2019/05/01,21:00,1078
2019/05/01,22:00,1012
2019/05/01,23:00,968
DATE,TIME,当日実績(万kW)
2019/05/02,00:00,905
2019/05/02,01:00,892
2019/05/02,02:00,924
2019/05/02,03:00,945
2019/05/02,04:00,949
2019/05/02,05:00,922
2019/05/02,06:00,906
2019/05/02,07:00,948
2019/05/02,08:00,1021
2019/05/02,09:00,1067
2019/05/02,10:00,1071
2019/05/02,11:00,1085
2019/05/02,12:00,1059
2019/05/02,13:00,1049
2019/05/02,14:00,1027
2019/05/02,15:00,1028
2019/05/02,16:00,1050
2019/05/02,17:00,1056
2019/05/02,18:00,1101
2019/05/02,19:00,1129
2019/05/02,20:00,1096
2019/05/02,21:00,1048
2019/05/02,22:00,994
2019/05/02,23:00,963
DATE,TIME,当日実績(万kW)
2019/05/03,00:00,905
2019/05/03,01:00,890
2019/05/03,02:00,921
2019/05/03,03:00,946
2019/05/03,04:00,942
2019/05/03,05:00,910
2019/05/03,06:00,890
2019/05/03,07:00,925
2019/05/03,08:00,983
2019/05/03,09:00,1023
2019/05/03,10:00,1044
2019/05/03,11:00,1046
2019/05/03,12:00,1032
2019/05/03,13:00,1023
2019/05/03,14:00,1012
2019/05/03,15:00,1010
2019/05/03,16:00,1020
2019/05/03,17:00,1048
2019/05/03,18:00,1109
2019/05/03,19:00,1145
2019/05/03,20:00,1109
2019/05/03,21:00,1067
2019/05/03,22:00,1002
2019/05/03,23:00,971
DATE,TIME,当日実績(万kW)
2019/05/04,00:00,915
2019/05/04,01:00,900
2019/05/04,02:00,923
2019/05/04,03:00,954
2019/05/04,04:00,950
2019/05/04,05:00,920
2019/05/04,06:00,921
2019/05/04,07:00,948
2019/05/04,08:00,999
2019/05/04,09:00,1050
2019/05/04,10:00,1082
2019/05/04,11:00,1080
2019/05/04,12:00,1090
2019/05/04,13:00,1067
2019/05/04,14:00,1054
2019/05/04,15:00,1048
2019/05/04,16:00,1058
2019/05/04,17:00,1091
2019/05/04,18:00,1129
2019/05/04,19:00,1144
2019/05/04,20:00,1119
2019/05/04,21:00,1071
2019/05/04,22:00,1004
2019/05/04,23:00,975
DATE,TIME,当日実績(万kW)
2019/05/05,00:00,922
2019/05/05,01:00,904
2019/05/05,02:00,928
2019/05/05,03:00,964
2019/05/05,04:00,963
2019/05/05,05:00,899
2019/05/05,06:00,882
2019/05/05,07:00,918
2019/05/05,08:00,1003
2019/05/05,09:00,1070
2019/05/05,10:00,1099
2019/05/05,11:00,1125
2019/05/05,12:00,1106
2019/05/05,13:00,1100
2019/05/05,14:00,1085
2019/05/05,15:00,1068
2019/05/05,16:00,1082
2019/05/05,17:00,1106
2019/05/05,18:00,1156
2019/05/05,19:00,1173
2019/05/05,20:00,1146
2019/05/05,21:00,1091
2019/05/05,22:00,1035
2019/05/05,23:00,988
DATE,TIME,当日実績(万kW)
2019/05/06,00:00,946
2019/05/06,01:00,928
2019/05/06,02:00,960
2019/05/06,03:00,997
2019/05/06,04:00,1006
2019/05/06,05:00,984
2019/05/06,06:00,1013
2019/05/06,07:00,1123
2019/05/06,08:00,1272
2019/05/06,09:00,1383
2019/05/06,10:00,1435
2019/05/06,11:00,1455
2019/05/06,12:00,1386
2019/05/06,13:00,1454
2019/05/06,14:00,1442
2019/05/06,15:00,1409
2019/05/06,16:00,1412
2019/05/06,17:00,1414
2019/05/06,18:00,1437
2019/05/06,19:00,1393
2019/05/06,20:00,1348
2019/05/06,21:00,1306
2019/05/06,22:00,1245
2019/05/06,23:00,1193
DATE,TIME,当日実績(万kW)
2019/05/07,00:00,1123
2019/05/07,01:00,1101
2019/05/07,02:00,1116
2019/05/07,03:00,1148
2019/05/07,04:00,1163
2019/05/07,05:00,1159
2019/05/07,06:00,1225
2019/05/07,07:00,1319
2019/05/07,08:00,1485
2019/05/07,09:00,1605
2019/05/07,10:00,1617
2019/05/07,11:00,1627
2019/05/07,12:00,1512
2019/05/07,13:00,1610
2019/05/07,14:00,1603
2019/05/07,15:00,1581
2019/05/07,16:00,1581
2019/05/07,17:00,1536
2019/05/07,18:00,1528
2019/05/07,19:00,1521
2019/05/07,20:00,1470
2019/05/07,21:00,1429
2019/05/07,22:00,1378
2019/05/07,23:00,1325
DATE,TIME,当日実績(万kW)
2019/05/08,00:00,1252
2019/05/08,01:00,1231
2019/05/08,02:00,1253
2019/05/08,03:00,1276
2019/05/08,04:00,1281
2019/05/08,05:00,1283
2019/05/08,06:00,1344
2019/05/08,07:00,1394
2019/05/08,08:00,1552
2019/05/08,09:00,1657
2019/05/08,10:00,1670
2019/05/08,11:00,1673
2019/05/08,12:00,1548
2019/05/08,13:00,1641
2019/05/08,14:00,1645
2019/05/08,15:00,1621
2019/05/08,16:00,1618
2019/05/08,17:00,1550
2019/05/08,18:00,1546
2019/05/08,19:00,1526
2019/05/08,20:00,1468
2019/05/08,21:00,1412
2019/05/08,22:00,1348
2019/05/08,23:00,1299
DATE,TIME,当日実績(万kW)
2019/05/09,00:00,1219
2019/05/09,01:00,1179
2019/05/09,02:00,1201
2019/05/09,03:00,1232
2019/05/09,04:00,1238
2019/05/09,05:00,1221
2019/05/09,06:00,1261
2019/05/09,07:00,1352
2019/05/09,08:00,1536
2019/05/09,09:00,1650
2019/05/09,10:00,1650
2019/05/09,11:00,1638
2019/05/09,12:00,1521
2019/05/09,13:00,1640
2019/05/09,14:00,1643
2019/05/09,15:00,1610
2019/05/09,16:00,1616
2019/05/09,17:00,1565
2019/05/09,18:00,1564
2019/05/09,19:00,1542
2019/05/09,20:00,1484
2019/05/09,21:00,1428
2019/05/09,22:00,1369
2019/05/09,23:00,1319
DATE,TIME,当日実績(万kW)
2019/05/10,00:00,1238
2019/05/10,01:00,1205
2019/05/10,02:00,1222
2019/05/10,03:00,1248
2019/05/10,04:00,1252
2019/05/10,05:00,1238
2019/05/10,06:00,1284
2019/05/10,07:00,1364
2019/05/10,08:00,1543
2019/05/10,09:00,1662
2019/05/10,10:00,1677
2019/05/10,11:00,1692
2019/05/10,12:00,1566
2019/05/10,13:00,1676
2019/05/10,14:00,1680
2019/05/10,15:00,1644
2019/05/10,16:00,1620
2019/05/10,17:00,1552
2019/05/10,18:00,1538
2019/05/10,19:00,1513
2019/05/10,20:00,1448
2019/05/10,21:00,1410
2019/05/10,22:00,1360
2019/05/10,23:00,1305
DATE,TIME,当日実績(万kW)
2019/05/11,00:00,1229
2019/05/11,01:00,1187
2019/05/11,02:00,1200
2019/05/11,03:00,1220
2019/05/11,04:00,1199
2019/05/11,05:00,1148
2019/05/11,06:00,1137
2019/05/11,07:00,1175
2019/05/11,08:00,1278
2019/05/11,09:00,1351
2019/05/11,10:00,1372
2019/05/11,11:00,1385
2019/05/11,12:00,1340
2019/05/11,13:00,1364
2019/05/11,14:00,1352
2019/05/11,15:00,1326
2019/05/11,16:00,1322
2019/05/11,17:00,1280
2019/05/11,18:00,1290
2019/05/11,19:00,1308
2019/05/11,20:00,1270
2019/05/11,21:00,1208
2019/05/11,22:00,1141
2019/05/11,23:00,1099
DATE,TIME,当日実績(万kW)
2019/05/12,00:00,1040
2019/05/12,01:00,1009
2019/05/12,02:00,1028
2019/05/12,03:00,1060
2019/05/12,04:00,1059
2019/05/12,05:00,1017
2019/05/12,06:00,995
2019/05/12,07:00,1015
2019/05/12,08:00,1056
2019/05/12,09:00,1109
2019/05/12,10:00,1139
2019/05/12,11:00,1166
2019/05/12,12:00,1161
2019/05/12,13:00,1151
2019/05/12,14:00,1151
2019/05/12,15:00,1144
2019/05/12,16:00,1155
2019/05/12,17:00,1179
2019/05/12,18:00,1217
2019/05/12,19:00,1240
2019/05/12,20:00,1210
2019/05/12,21:00,1159
2019/05/12,22:00,1097
2019/05/12,23:00,1061
DATE,TIME,当日実績(万kW)
2019/05/13,00:00,1001
2019/05/13,01:00,985
2019/05/13,02:00,1012
2019/05/13,03:00,1054
2019/05/13,04:00,1076
2019/05/13,05:00,1073
2019/05/13,06:00,1148
2019/05/13,07:00,1298
2019/05/13,08:00,1529
2019/05/13,09:00,1678
2019/05/13,10:00,1731
2019/05/13,11:00,1732
2019/05/13,12:00,1631
2019/05/13,13:00,1737
2019/05/13,14:00,1746
2019/05/13,15:00,1706
2019/05/13,16:00,1689
2019/05/13,17:00,1623
2019/05/13,18:00,1603
2019/05/13,19:00,1558
2019/05/13,20:00,1492
2019/05/13,21:00,1442
2019/05/13,22:00,1402
2019/05/13,23:00,1335
DATE,TIME,当日実績(万kW)
2019/05/14,00:00,1255
2019/05/14,01:00,1219
2019/05/14,02:00,1229
2019/05/14,03:00,1256
2019/05/14,04:00,1259
2019/05/14,05:00,1239
2019/05/14,06:00,1282
2019/05/14,07:00,1396
2019/05/14,08:00,1598
2019/05/14,09:00,1728
2019/05/14,10:00,1744
2019/05/14,11:00,1728
2019/05/14,12:00,1594
2019/05/14,13:00,1702
2019/05/14,14:00,1712
2019/05/14,15:00,1683
2019/05/14,16:00,1679
2019/05/14,17:00,1630
2019/05/14,18:00,1607
2019/05/14,19:00,1553
2019/05/14,20:00,1488
2019/05/14,21:00,1441
2019/05/14,22:00,1394
2019/05/14,23:00,1341
DATE,TIME,当日実績(万kW)
2019/05/15,00:00,1258
2019/05/15,01:00,1219
2019/05/15,02:00,1231
2019/05/15,03:00,1263
2019/05/15,04:00,1268
2019/05/15,05:00,1254
2019/05/15,06:00,1289
2019/05/15,07:00,1392
2019/05/15,08:00,1583
2019/05/15,09:00,1709
2019/05/15,10:00,1716
2019/05/15,11:00,1726
2019/05/15,12:00,1597
2019/05/15,13:00,1709
2019/05/15,14:00,1719
2019/05/15,15:00,1698
2019/05/15,16:00,1687
2019/05/15,17:00,1621
2019/05/15,18:00,1604
2019/05/15,19:00,1572
2019/05/15,20:00,1504
2019/05/15,21:00,1450
2019/05/15,22:00,1398
2019/05/15,23:00,1337
DATE,TIME,当日実績(万kW)
2019/05/16,00:00,1254
2019/05/16,01:00,1213
2019/05/16,02:00,1217
2019/05/16,03:00,1253
2019/05/16,04:00,1252
2019/05/16,05:00,1236
2019/05/16,06:00,1282
2019/05/16,07:00,1390
2019/05/16,08:00,1588
2019/05/16,09:00,1727
2019/05/16,10:00,1758
2019/05/16,11:00,1734
2019/05/16,12:00,1634
2019/05/16,13:00,1745
2019/05/16,14:00,1751
2019/05/16,15:00,1718
2019/05/16,16:00,1711
2019/05/16,17:00,1635
2019/05/16,18:00,1614
2019/05/16,19:00,1581
2019/05/16,20:00,1512
2019/05/16,21:00,1460
2019/05/16,22:00,1400
2019/05/16,23:00,1351
DATE,TIME,当日実績(万kW)
2019/05/17,00:00,1265
2019/05/17,01:00,1219
2019/05/17,02:00,1230
2019/05/17,03:00,1246
2019/05/17,04:00,1242
2019/05/17,05:00,1223
2019/05/17,06:00,1278
2019/05/17,07:00,1395
2019/05/17,08:00,1593
2019/05/17,09:00,1737
2019/05/17,10:00,1770
2019/05/17,11:00,1778
2019/05/17,12:00,1656
2019/05/17,13:00,1754
2019/05/17,14:00,1740
