DATE,TIME,????????(??kW)
2019/04/24,00:00,1242
2019/04/24,01:00,1209
2019/04/24,02:00,1228
2019/04/24,03:00,1242
2019/04/24,04:00,1240
2019/04/24,05:00,1230
2019/04/24,06:00,1271
2019/04/24,07:00,1365
2019/04/24,08:00,1563
2019/04/24,09:00,1690
2019/04/24,10:00,1698
2019/04/24,11:00,1697
2019/04/24,12:00,1578
2019/04/24,13:00,1689
2019/04/24,14:00,1700
2019/04/24,15:00,1679
2019/04/24,16:00,1685
2019/04/24,17:00,1647
2019/04/24,18:00,1625
2019/04/24,19:00,1557
2019/04/24,20:00,1490
2019/04/24,21:00,1440
2019/04/24,22:00,1379
2019/04/24,23:00,1327
