DATE,TIME,当日実績(万kW)
2020/01/01,00:00,1183
2020/01/01,01:00,1153
2020/01/01,02:00,1140
2020/01/01,03:00,1117
2020/01/01,04:00,1084
2020/01/01,05:00,1056
2020/01/01,06:00,1071
2020/01/01,07:00,1127
2020/01/01,08:00,1179
2020/01/01,09:00,1148
2020/01/01,10:00,1086
2020/01/01,11:00,1037
2020/01/01,12:00,1037
2020/01/01,13:00,1003
2020/01/01,14:00,990
2020/01/01,15:00,1017
2020/01/01,16:00,1080
2020/01/01,17:00,1199
2020/01/01,18:00,1219
2020/01/01,19:00,1221
2020/01/01,20:00,1220
2020/01/01,21:00,1204
2020/01/01,22:00,1150
2020/01/01,23:00,1128
DATE,TIME,当日実績(万kW)
2020/01/02,00:00,1066
2020/01/02,01:00,1042
2020/01/02,02:00,1051
2020/01/02,03:00,1052
2020/01/02,04:00,1036
2020/01/02,05:00,1022
2020/01/02,06:00,1036
2020/01/02,07:00,1096
2020/01/02,08:00,1174
2020/01/02,09:00,1157
2020/01/02,10:00,1104
2020/01/02,11:00,1066
2020/01/02,12:00,1037
2020/01/02,13:00,991
2020/01/02,14:00,990
2020/01/02,15:00,1016
2020/01/02,16:00,1091
2020/01/02,17:00,1218
2020/01/02,18:00,1237
2020/01/02,19:00,1233
2020/01/02,20:00,1226
2020/01/02,21:00,1200
2020/01/02,22:00,1140
2020/01/02,23:00,1117
DATE,TIME,当日実績(万kW)
2020/01/03,00:00,1051
2020/01/03,01:00,1032
2020/01/03,02:00,1045
2020/01/03,03:00,1049
2020/01/03,04:00,1034
2020/01/03,05:00,1025
2020/01/03,06:00,1039
2020/01/03,07:00,1090
2020/01/03,08:00,1162
2020/01/03,09:00,1157
2020/01/03,10:00,1124
2020/01/03,11:00,1086
2020/01/03,12:00,1068
2020/01/03,13:00,1059
2020/01/03,14:00,1041
2020/01/03,15:00,1045
2020/01/03,16:00,1126
2020/01/03,17:00,1247
2020/01/03,18:00,1268
2020/01/03,19:00,1259
2020/01/03,20:00,1243
2020/01/03,21:00,1210
2020/01/03,22:00,1145
2020/01/03,23:00,1114
DATE,TIME,当日実績(万kW)
2020/01/04,00:00,1052
2020/01/04,01:00,1028
2020/01/04,02:00,1041
2020/01/04,03:00,1048
2020/01/04,04:00,1035
2020/01/04,05:00,1027
2020/01/04,06:00,1059
2020/01/04,07:00,1123
2020/01/04,08:00,1228
2020/01/04,09:00,1250
2020/01/04,10:00,1204
2020/01/04,11:00,1180
2020/01/04,12:00,1138
2020/01/04,13:00,1137
2020/01/04,14:00,1140
2020/01/04,15:00,1158
2020/01/04,16:00,1236
2020/01/04,17:00,1363
2020/01/04,18:00,1381
2020/01/04,19:00,1373
2020/01/04,20:00,1351
2020/01/04,21:00,1300
2020/01/04,22:00,1224
2020/01/04,23:00,1194
DATE,TIME,当日実績(万kW)
2020/01/05,00:00,1133
2020/01/05,01:00,1107
2020/01/05,02:00,1123
2020/01/05,03:00,1126
2020/01/05,04:00,1117
2020/01/05,05:00,1108
2020/01/05,06:00,1134
2020/01/05,07:00,1228
2020/01/05,08:00,1364
2020/01/05,09:00,1393
2020/01/05,10:00,1334
2020/01/05,11:00,1303
2020/01/05,12:00,1266
2020/01/05,13:00,1251
2020/01/05,14:00,1259
2020/01/05,15:00,1267
2020/01/05,16:00,1342
2020/01/05,17:00,1481
2020/01/05,18:00,1528
2020/01/05,19:00,1526
2020/01/05,20:00,1504
2020/01/05,21:00,1438
2020/01/05,22:00,1343
2020/01/05,23:00,1305
DATE,TIME,当日実績(万kW)
2020/01/06,00:00,1242
2020/01/06,01:00,1221
2020/01/06,02:00,1236
2020/01/06,03:00,1247
2020/01/06,04:00,1247
2020/01/06,05:00,1296
2020/01/06,06:00,1479
2020/01/06,07:00,1687
2020/01/06,08:00,1908
2020/01/06,09:00,1981
2020/01/06,10:00,1917
2020/01/06,11:00,1869
2020/01/06,12:00,1727
2020/01/06,13:00,1801
2020/01/06,14:00,1795
2020/01/06,15:00,1792
2020/01/06,16:00,1867
2020/01/06,17:00,1894
2020/01/06,18:00,1864
2020/01/06,19:00,1804
2020/01/06,20:00,1744
2020/01/06,21:00,1684
2020/01/06,22:00,1624
2020/01/06,23:00,1554
DATE,TIME,当日実績(万kW)
2020/01/07,00:00,1461
2020/01/07,01:00,1437
2020/01/07,02:00,1440
2020/01/07,03:00,1442
2020/01/07,04:00,1436
2020/01/07,05:00,1477
2020/01/07,06:00,1624
2020/01/07,07:00,1761
2020/01/07,08:00,1970
2020/01/07,09:00,2059
2020/01/07,10:00,2006
2020/01/07,11:00,1993
2020/01/07,12:00,1886
2020/01/07,13:00,2012
2020/01/07,14:00,2031
2020/01/07,15:00,2026
2020/01/07,16:00,2071
2020/01/07,17:00,2036
2020/01/07,18:00,1974
2020/01/07,19:00,1884
2020/01/07,20:00,1801
2020/01/07,21:00,1726
2020/01/07,22:00,1626
2020/01/07,23:00,1547
DATE,TIME,当日実績(万kW)
2020/01/08,00:00,1437
2020/01/08,01:00,1403
2020/01/08,02:00,1399
2020/01/08,03:00,1400
2020/01/08,04:00,1386
2020/01/08,05:00,1403
2020/01/08,06:00,1524
2020/01/08,07:00,1675
2020/01/08,08:00,1915
2020/01/08,09:00,2013
2020/01/08,10:00,1959
2020/01/08,11:00,1842
2020/01/08,12:00,1678
2020/01/08,13:00,1760
2020/01/08,14:00,1761
2020/01/08,15:00,1768
2020/01/08,16:00,1822
2020/01/08,17:00,1842
2020/01/08,18:00,1812
2020/01/08,19:00,1752
2020/01/08,20:00,1699
2020/01/08,21:00,1627
2020/01/08,22:00,1559
2020/01/08,23:00,1496
DATE,TIME,当日実績(万kW)
2020/01/09,00:00,1399
2020/01/09,01:00,1369
2020/01/09,02:00,1379
2020/01/09,03:00,1386
2020/01/09,04:00,1389
2020/01/09,05:00,1428
2020/01/09,06:00,1569
2020/01/09,07:00,1707
2020/01/09,08:00,1904
2020/01/09,09:00,1966
2020/01/09,10:00,1901
2020/01/09,11:00,1842
2020/01/09,12:00,1704
2020/01/09,13:00,1799
2020/01/09,14:00,1807
2020/01/09,15:00,1791
2020/01/09,16:00,1836
2020/01/09,17:00,1883
2020/01/09,18:00,1860
2020/01/09,19:00,1795
2020/01/09,20:00,1741
2020/01/09,21:00,1687
2020/01/09,22:00,1607
2020/01/09,23:00,1541
DATE,TIME,当日実績(万kW)
2020/01/10,00:00,1454
2020/01/10,01:00,1422
2020/01/10,02:00,1420
2020/01/10,03:00,1421
2020/01/10,04:00,1413
2020/01/10,05:00,1451
2020/01/10,06:00,1590
2020/01/10,07:00,1719
2020/01/10,08:00,1920
2020/01/10,09:00,1973
2020/01/10,10:00,1910
2020/01/10,11:00,1854
2020/01/10,12:00,1712
2020/01/10,13:00,1787
2020/01/10,14:00,1782
2020/01/10,15:00,1767
2020/01/10,16:00,1814
2020/01/10,17:00,1850
2020/01/10,18:00,1830
2020/01/10,19:00,1780
2020/01/10,20:00,1737
2020/01/10,21:00,1696
2020/01/10,22:00,1630
2020/01/10,23:00,1580
DATE,TIME,当日実績(万kW)
2020/01/11,00:00,1486
2020/01/11,01:00,1457
2020/01/11,02:00,1461
2020/01/11,03:00,1455
2020/01/11,04:00,1430
2020/01/11,05:00,1409
2020/01/11,06:00,1449
2020/01/11,07:00,1519
2020/01/11,08:00,1631
2020/01/11,09:00,1664
2020/01/11,10:00,1587
2020/01/11,11:00,1509
2020/01/11,12:00,1429
2020/01/11,13:00,1415
2020/01/11,14:00,1395
2020/01/11,15:00,1401
2020/01/11,16:00,1437
2020/01/11,17:00,1540
2020/01/11,18:00,1559
2020/01/11,19:00,1539
2020/01/11,20:00,1502
2020/01/11,21:00,1464
2020/01/11,22:00,1385
2020/01/11,23:00,1353
DATE,TIME,当日実績(万kW)
2020/01/12,00:00,1289
2020/01/12,01:00,1268
2020/01/12,02:00,1276
2020/01/12,03:00,1283
2020/01/12,04:00,1269
2020/01/12,05:00,1251
2020/01/12,06:00,1278
2020/01/12,07:00,1328
2020/01/12,08:00,1404
2020/01/12,09:00,1440
2020/01/12,10:00,1429
2020/01/12,11:00,1394
2020/01/12,12:00,1376
2020/01/12,13:00,1354
2020/01/12,14:00,1339
2020/01/12,15:00,1360
2020/01/12,16:00,1402
2020/01/12,17:00,1526
2020/01/12,18:00,1559
2020/01/12,19:00,1549
2020/01/12,20:00,1530
2020/01/12,21:00,1482
2020/01/12,22:00,1403
2020/01/12,23:00,1355
DATE,TIME,当日実績(万kW)
2020/01/13,00:00,1293
2020/01/13,01:00,1267
2020/01/13,02:00,1275
2020/01/13,03:00,1290
2020/01/13,04:00,1297
2020/01/13,05:00,1313
2020/01/13,06:00,1422
2020/01/13,07:00,1590
2020/01/13,08:00,1793
2020/01/13,09:00,1837
2020/01/13,10:00,1787
2020/01/13,11:00,1728
2020/01/13,12:00,1616
2020/01/13,13:00,1663
2020/01/13,14:00,1671
2020/01/13,15:00,1683
2020/01/13,16:00,1743
2020/01/13,17:00,1829
2020/01/13,18:00,1829
2020/01/13,19:00,1791
2020/01/13,20:00,1750
2020/01/13,21:00,1692
2020/01/13,22:00,1611
2020/01/13,23:00,1555
DATE,TIME,当日実績(万kW)
2020/01/14,00:00,1474
2020/01/14,01:00,1451
2020/01/14,02:00,1458
2020/01/14,03:00,1464
2020/01/14,04:00,1460
2020/01/14,05:00,1500
2020/01/14,06:00,1660
2020/01/14,07:00,1827
2020/01/14,08:00,2045
2020/01/14,09:00,2084
2020/01/14,10:00,2001
2020/01/14,11:00,1928
2020/01/14,12:00,1784
2020/01/14,13:00,1892
2020/01/14,14:00,1875
2020/01/14,15:00,1861
2020/01/14,16:00,1936
2020/01/14,17:00,1969
2020/01/14,18:00,1943
2020/01/14,19:00,1865
2020/01/14,20:00,1799
2020/01/14,21:00,1737
2020/01/14,22:00,1657
2020/01/14,23:00,1590
DATE,TIME,当日実績(万kW)
2020/01/15,00:00,1489
2020/01/15,01:00,1460
2020/01/15,02:00,1460
2020/01/15,03:00,1459
2020/01/15,04:00,1446
2020/01/15,05:00,1493
