DATE,TIME,当日実績(万kW)
2020/05/28,00:00,1114
2020/05/28,01:00,1067
2020/05/28,02:00,1075
2020/05/28,03:00,1107
2020/05/28,04:00,1120
2020/05/28,05:00,1092
2020/05/28,06:00,1120
2020/05/28,07:00,1222
2020/05/28,08:00,1424
2020/05/28,09:00,1560
2020/05/28,10:00,1614
2020/05/28,11:00,1624
2020/05/28,12:00,1542
2020/05/28,13:00,1626
2020/05/28,14:00,1617
2020/05/28,15:00,1575
2020/05/28,16:00,1549
2020/05/28,17:00,1451
2020/05/28,18:00,1407
2020/05/28,19:00,1382
2020/05/28,20:00,1318
2020/05/28,21:00,1252
2020/05/28,22:00,1213
2020/05/28,23:00,1173
