DATE,TIME,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光（実績）,風力（実績）
2020/04/01,00:00,12686,0,9971,1670,0,0,0,146
2020/04/01,01:00,12386,0,9287,1664,0,0,0,147
2020/04/01,02:00,12491,0,9382,1706,0,0,0,140
2020/04/01,03:00,12598,0,9622,1708,0,0,0,158
2020/04/01,04:00,12525,0,9901,1696,0,0,0,157
2020/04/01,05:00,12560,0,9866,1684,0,0,0,159
2020/04/01,06:00,12948,0,9929,1692,0,0,137,153
2020/04/01,07:00,13982,0,10937,1689,0,0,527,161
2020/04/01,08:00,16037,0,12628,1711,0,0,1143,163
2020/04/01,09:00,17099,0,13226,1777,0,0,1642,173
2020/04/01,10:00,17188,0,13667,1746,0,0,1171,174
2020/04/01,11:00,17237,0,14228,1710,0,0,1005,151
2020/04/01,12:00,16209,0,13615,1665,0,0,821,157
2020/04/01,13:00,17215,0,13963,1684,0,0,565,157
2020/04/01,14:00,17302,0,13777,1800,0,0,248,143
2020/04/01,15:00,17195,0,13864,1823,0,0,77,138
2020/04/01,16:00,17151,0,13634,1859,0,0,25,100
2020/04/01,17:00,16675,0,13456,1878,0,0,2,77
2020/04/01,18:00,16625,0,13837,1918,0,0,0,133
2020/04/01,19:00,16054,0,13006,1946,0,0,0,176
2020/04/01,20:00,15483,0,12019,1956,0,0,0,183
2020/04/01,21:00,14918,0,11449,1886,0,0,0,171
2020/04/01,22:00,14365,0,10980,1911,0,0,0,178
2020/04/01,23:00,13825,0,10857,1897,0,0,0,220
2020/04/02,00:00,12932,0,9559,1870,0,0,0,224
2020/04/02,01:00,12733,0,9167,1875,0,0,0,217
2020/04/02,02:00,12883,0,9502,1804,0,0,0,206
2020/04/02,03:00,13077,0,9689,1859,0,0,0,169
2020/04/02,04:00,13135,0,9763,1855,0,0,0,148
2020/04/02,05:00,13332,0,9832,1851,0,0,0,162
2020/04/02,06:00,13889,0,9907,1859,0,0,683,159
2020/04/02,07:00,14749,0,8904,1802,0,0,2690,175
2020/04/02,08:00,16478,0,8693,1788,0,0,4548,183
2020/04/02,09:00,17466,0,8214,1738,0,0,5466,193
2020/04/02,10:00,17274,0,7021,1730,0,0,6403,199
2020/04/02,11:00,17209,0,7206,1729,0,0,6641,201
2020/04/02,12:00,15991,0,6724,1704,0,0,6211,213
2020/04/02,13:00,16669,0,7861,1692,0,0,5496,214
2020/04/02,14:00,16737,0,8019,1716,0,0,5147,215
2020/04/02,15:00,16290,0,8404,1749,0,0,4055,212
2020/04/02,16:00,16253,0,10398,1806,0,0,2107,199
2020/04/02,17:00,15960,0,11904,1857,0,0,408,178
2020/04/02,18:00,16620,0,12622,1858,0,0,0,172
2020/04/02,19:00,16370,0,12607,1853,0,0,0,154
2020/04/02,20:00,16004,0,12441,1856,0,0,0,114
2020/04/02,21:00,15587,0,12326,1833,0,0,0,114
2020/04/02,22:00,15036,0,12097,1809,0,0,0,97
2020/04/02,23:00,14481,0,11820,1755,0,0,0,90
2020/04/03,00:00,13778,0,11227,1629,0,0,0,83
2020/04/03,01:00,13419,0,10526,1651,0,0,0,80
2020/04/03,02:00,13598,0,10799,1606,0,0,0,70
2020/04/03,03:00,13793,0,11065,1556,0,0,0,67
2020/04/03,04:00,13823,0,11030,1579,0,0,0,59
2020/04/03,05:00,14059,0,11044,1649,0,0,0,50
2020/04/03,06:00,14630,0,10886,1687,0,0,766,34
2020/04/03,07:00,15240,0,10415,1626,0,0,2440,25
2020/04/03,08:00,16756,0,10397,1574,0,0,3963,9
2020/04/03,09:00,17548,0,9727,1577,0,0,5329,4
2020/04/03,10:00,17267,0,8521,1533,0,0,6228,5
2020/04/03,11:00,16974,0,7794,1482,0,0,6637,7
2020/04/03,12:00,15630,0,6917,1461,0,0,6601,5
2020/04/03,13:00,16103,0,7708,1539,0,0,5771,4
2020/04/03,14:00,15936,0,8348,1613,0,0,4385,7
2020/04/03,15:00,15502,0,9015,1665,0,0,3062,5
2020/04/03,16:00,15387,0,9962,1818,0,0,1614,5
2020/04/03,17:00,14991,0,11309,1893,0,0,273,3
2020/04/03,18:00,15520,0,11894,1896,0,0,0,3
2020/04/03,19:00,15321,0,11811,1871,0,0,0,2
2020/04/03,20:00,14965,0,11537,1789,0,0,0,2
2020/04/03,21:00,14553,0,11678,1715,0,0,0,1
2020/04/03,22:00,14156,0,11281,1698,0,0,0,2
2020/04/03,23:00,13669,0,10874,1651,0,0,0,6
2020/04/04,00:00,12927,0,10465,1417,0,0,0,10
2020/04/04,01:00,12718,0,10184,1412,0,0,0,7
