DATE,TIME,実績(万kW),DATETIME
2021/4/1,0:00,520,2021-04-01 0:00:00
2021/4/1,1:00,529,2021-04-01 1:00:00
2021/4/1,2:00,566,2021-04-01 2:00:00
2021/4/1,3:00,609,2021-04-01 3:00:00
2021/4/1,4:00,622,2021-04-01 4:00:00
2021/4/1,5:00,619,2021-04-01 5:00:00
2021/4/1,6:00,621,2021-04-01 6:00:00
2021/4/1,7:00,608,2021-04-01 7:00:00
2021/4/1,8:00,617,2021-04-01 8:00:00
2021/4/1,9:00,637,2021-04-01 9:00:00
2021/4/1,10:00,634,2021-04-01 10:00:00
2021/4/1,11:00,647,2021-04-01 11:00:00
2021/4/1,12:00,605,2021-04-01 12:00:00
2021/4/1,13:00,634,2021-04-01 13:00:00
2021/4/1,14:00,629,2021-04-01 14:00:00
2021/4/1,15:00,623,2021-04-01 15:00:00
2021/4/1,16:00,624,2021-04-01 16:00:00
2021/4/1,17:00,611,2021-04-01 17:00:00
2021/4/1,18:00,637,2021-04-01 18:00:00
2021/4/1,19:00,636,2021-04-01 19:00:00
2021/4/1,20:00,617,2021-04-01 20:00:00
2021/4/1,21:00,595,2021-04-01 21:00:00
2021/4/1,22:00,561,2021-04-01 22:00:00
2021/4/1,23:00,543,2021-04-01 23:00:00
2021/4/2,0:00,532,2021-04-02 0:00:00
2021/4/2,1:00,534,2021-04-02 1:00:00
2021/4/2,2:00,580,2021-04-02 2:00:00
2021/4/2,3:00,626,2021-04-02 3:00:00
2021/4/2,4:00,636,2021-04-02 4:00:00
2021/4/2,5:00,628,2021-04-02 5:00:00
2021/4/2,6:00,621,2021-04-02 6:00:00
2021/4/2,7:00,621,2021-04-02 7:00:00
2021/4/2,8:00,628,2021-04-02 8:00:00
2021/4/2,9:00,648,2021-04-02 9:00:00
2021/4/2,10:00,652,2021-04-02 10:00:00
2021/4/2,11:00,651,2021-04-02 11:00:00
2021/4/2,12:00,615,2021-04-02 12:00:00
2021/4/2,13:00,638,2021-04-02 13:00:00
2021/4/2,14:00,637,2021-04-02 14:00:00
2021/4/2,15:00,633,2021-04-02 15:00:00
2021/4/2,16:00,631,2021-04-02 16:00:00
2021/4/2,17:00,609,2021-04-02 17:00:00
2021/4/2,18:00,618,2021-04-02 18:00:00
2021/4/2,19:00,610,2021-04-02 19:00:00
2021/4/2,20:00,593,2021-04-02 20:00:00
2021/4/2,21:00,564,2021-04-02 21:00:00
2021/4/2,22:00,547,2021-04-02 22:00:00
2021/4/2,23:00,535,2021-04-02 23:00:00
2021/4/3,0:00,532,2021-04-03 0:00:00
2021/4/3,1:00,546,2021-04-03 1:00:00
2021/4/3,2:00,576,2021-04-03 2:00:00
2021/4/3,3:00,605,2021-04-03 3:00:00
2021/4/3,4:00,613,2021-04-03 4:00:00
2021/4/3,5:00,592,2021-04-03 5:00:00
2021/4/3,6:00,568,2021-04-03 6:00:00
2021/4/3,7:00,556,2021-04-03 7:00:00
2021/4/3,8:00,558,2021-04-03 8:00:00
2021/4/3,9:00,560,2021-04-03 9:00:00
2021/4/3,10:00,563,2021-04-03 10:00:00
2021/4/3,11:00,549,2021-04-03 11:00:00
2021/4/3,12:00,541,2021-04-03 12:00:00
2021/4/3,13:00,553,2021-04-03 13:00:00
2021/4/3,14:00,549,2021-04-03 14:00:00
2021/4/3,15:00,543,2021-04-03 15:00:00
2021/4/3,16:00,550,2021-04-03 16:00:00
2021/4/3,17:00,561,2021-04-03 17:00:00
2021/4/3,18:00,579,2021-04-03 18:00:00
2021/4/3,19:00,581,2021-04-03 19:00:00
2021/4/3,20:00,559,2021-04-03 20:00:00
2021/4/3,21:00,544,2021-04-03 21:00:00
2021/4/3,22:00,514,2021-04-03 22:00:00
2021/4/3,23:00,502,2021-04-03 23:00:00
2021/4/4,0:00,496,2021-04-04 0:00:00
2021/4/4,1:00,495,2021-04-04 1:00:00
2021/4/4,2:00,530,2021-04-04 2:00:00
2021/4/4,3:00,566,2021-04-04 3:00:00
