DATE,TIME,当日実績(万kW)
2022/11/16,0:00,314
2022/11/16,1:00,321
2022/11/16,2:00,335
2022/11/16,3:00,350
2022/11/16,4:00,364
2022/11/16,5:00,366
2022/11/16,6:00,367
2022/11/16,7:00,365
2022/11/16,8:00,366
2022/11/16,9:00,371
2022/11/16,10:00,374
2022/11/16,11:00,378
2022/11/16,12:00,365
2022/11/16,13:00,369
2022/11/16,14:00,372
2022/11/16,15:00,384
2022/11/16,16:00,410
2022/11/16,17:00,410
2022/11/16,18:00,403
2022/11/16,19:00,389
2022/11/16,20:00,371
2022/11/16,21:00,352
2022/11/16,22:00,333
2022/11/16,23:00,330
