月日,時刻,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
,,,,,,,,,
2021/4/1,0時,3033,0,2023,796,11,98,0,79
,1時,3119,0,1995,806,11,98,0,80
,2時,3236,0,2056,805,11,98,0,89
,3時,3317,0,2135,805,11,98,0,73
,4時,3366,0,2153,820,11,98,0,53
,5時,3347,0,2068,841,12,98,23,41
,6時,3268,0,1974,768,11,98,275,26
,7時,3140,0,1668,772,11,98,754,20
,8時,3280,0,1496,757,11,98,1170,28
,9時,3418,0,1384,751,11,95,1492,49
,10時,3469,0,1361,749,12,95,1650,78
,11時,3528,0,1380,755,11,95,1677,98
,12時,3372,0,1375,744,12,96,1638,118
,13時,3516,0,1452,750,12,95,1496,128
,14時,3396,0,1488,751,13,96,1194,121
,15時,3350,0,1815,756,12,97,777,94
,16時,3410,0,1968,828,12,98,383,71
,17時,3442,0,2107,875,12,98,58,53
,18時,3613,0,2221,886,13,98,0,39
,19時,3576,0,2170,879,12,98,0,25
,20時,3408,0,2044,850,12,98,0,33
,21時,3274,0,2078,831,12,98,0,27
,22時,3120,0,2049,820,13,98,0,27
,23時,3167,0,2059,824,12,98,0,36
2021/4/2,0時,3120,0,2020,790,11,98,0,49
,1時,3270,0,2100,784,11,98,0,61
,2時,3358,0,2115,783,11,98,0,79
,3時,3437,0,2112,783,12,98,0,99
,4時,3476,0,2095,797,11,98,0,101
,5時,3437,0,2062,823,11,98,29,116
,6時,3354,0,1911,803,11,98,320,115
,7時,3201,0,1549,795,12,98,813,109
,8時,3370,0,1624,783,11,98,1245,109
,9時,3493,0,1354,769,11,97,1570,124
,10時,3527,0,1281,750,12,95,1715,148
,11時,3546,0,1302,751,12,95,1755,166
,12時,3334,0,1305,742,13,93,1681,188
,13時,3414,0,1365,748,12,93,1508,173
,14時,3457,0,1600,750,13,95,1079,166
,15時,3266,0,1727,759,13,95,676,169
,16時,3319,0,1839,823,12,95,346,167
,17時,3417,0,2094,889,13,95,51,192
,18時,3584,0,2156,902,12,95,0,216
,19時,3524,0,1984,899,13,95,0,247
,20時,3380,0,1909,860,12,95,0,255
,21時,3234,0,2015,849,13,95,0,243
,22時,3110,0,1980,801,12,95,0,232
,23時,3151,0,1928,811,13,95,0,231
2021/4/3,0時,3113,0,1913,797,11,95,0,254
,1時,3212,0,1818,841,12,95,0,282
,2時,3324,0,1849,842,11,95,0,300
,3時,3385,0,1979,839,12,95,0,300
,4時,3373,0,2039,802,11,95,0,269
,5時,3342,0,1937,813,12,95,16,275
,6時,3264,0,1916,797,11,95,151,256
,7時,3149,0,1734,798,12,95,295,241
,8時,3306,0,1752,787,11,95,462,216
,9時,3443,0,1709,775,12,95,642,198
,10時,3537,0,1636,775,11,91,774,208
,11時,3500,0,1650,779,12,90,698,215
,12時,3278,0,1481,762,11,90,625,218
,13時,3215,0,1660,769,13,90,528,217
,14時,3352,0,1781,768,12,91,448,221
,15時,3312,0,1915,782,12,91,251,229
,16時,3302,0,1947,787,13,91,107,206
