DATE,TIME,当日実績(万kW),
2019/6/14,0:00,269,
2019/6/14,1:00,268,
2019/6/14,2:00,284,
2019/6/14,3:00,300,
2019/6/14,4:00,299,
2019/6/14,5:00,287,
2019/6/14,6:00,282,
2019/6/14,7:00,291,
2019/6/14,8:00,326,
2019/6/14,9:00,361,
2019/6/14,10:00,373,
2019/6/14,11:00,379,
2019/6/14,12:00,360,
2019/6/14,13:00,377,
2019/6/14,14:00,376,
2019/6/14,15:00,369,
2019/6/14,16:00,362,
2019/6/14,17:00,343,
2019/6/14,18:00,333,
2019/6/14,19:00,327,
2019/6/14,20:00,317,
2019/6/14,21:00,303,
2019/6/14,22:00,293,
2019/6/14,23:00,278,
