DATE,TIME,当日実績(万kW)
2021/10/20,0:00,266
2021/10/20,1:00,269
2021/10/20,2:00,285
2021/10/20,3:00,306
2021/10/20,4:00,309
2021/10/20,5:00,307
2021/10/20,6:00,301
2021/10/20,7:00,307
2021/10/20,8:00,328
2021/10/20,9:00,348
2021/10/20,10:00,353
2021/10/20,11:00,352
2021/10/20,12:00,333
2021/10/20,13:00,349
2021/10/20,14:00,352
2021/10/20,15:00,348
2021/10/20,16:00,350
2021/10/20,17:00,349
2021/10/20,18:00,348
2021/10/20,19:00,334
2021/10/20,20:00,323
2021/10/20,21:00,312
2021/10/20,22:00,301
2021/10/20,23:00,287
