,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,風力実績
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2023/6/1,0:00,2456,0,1150,1331,,74,0,35
2023/6/1,1:00,2453,0,936,1264,,70,0,34
2023/6/1,2:00,2599,0,923,1174,,70,0,35
2023/6/1,3:00,2793,0,960,1250,,75,0,18
2023/6/1,4:00,2852,0,977,1258,,74,4,17
2023/6/1,5:00,2788,0,915,1167,,74,78,12
2023/6/1,6:00,2649,0,750,1108,,74,249,5
2023/6/1,7:00,2610,0,693,1046,,74,464,6
2023/6/1,8:00,2897,0,787,1067,,73,630,12
2023/6/1,9:00,3173,0,735,1092,,65,845,8
2023/6/1,10:00,3277,0,734,1104,,67,947,20
2023/6/1,11:00,3321,0,744,1124,,67,917,30
2023/6/1,12:00,3131,0,894,1061,,66,779,28
2023/6/1,13:00,3307,0,1144,1063,,67,768,26
2023/6/1,14:00,3380,0,1453,1228,,66,751,24
2023/6/1,15:00,3336,0,1555,1477,,66,604,23
2023/6/1,16:00,3314,0,1768,1553,,66,301,21
2023/6/1,17:00,3119,0,1804,1414,,66,93,20
2023/6/1,18:00,3062,0,1794,1397,,66,11,17
2023/6/1,19:00,2976,0,1653,1502,,66,1,28
2023/6/1,20:00,2868,0,1563,1448,,67,1,56
2023/6/1,21:00,2746,0,1472,1485,,67,0,49
2023/6/1,22:00,2728,0,1475,1516,,67,0,35
2023/6/1,23:00,2652,0,1297,1490,,67,0,18
2023/6/2,0:00,2531,0,1099,1452,,67,0,36
2023/6/2,1:00,2530,0,888,1410,,67,0,41
2023/6/2,2:00,2669,0,889,1438,,68,0,50
2023/6/2,3:00,2828,0,918,1467,,67,0,37
2023/6/2,4:00,2848,0,937,1461,,67,1,38
2023/6/2,5:00,2787,0,1134,1457,,67,6,20
2023/6/2,6:00,2715,0,1414,1413,,68,17,20
2023/6/2,7:00,2780,0,1663,1460,,67,33,14
2023/6/2,8:00,3086,0,1889,1455,,67,50,17
2023/6/2,9:00,3339,0,2113,1431,,66,54,19
2023/6/2,10:00,3393,0,2268,1409,,67,56,14
2023/6/2,11:00,3388,0,2231,1407,,67,59,22
2023/6/2,12:00,3173,0,1906,1404,,66,54,24
2023/6/2,13:00,3292,0,1970,1409,,67,118,12
2023/6/2,14:00,3327,0,2201,1377,,66,79,17
2023/6/2,15:00,3278,0,2202,1357,,67,75,35
2023/6/2,16:00,3247,0,2103,1337,,67,48,41
2023/6/2,17:00,3117,0,2041,1343,,67,19,47
2023/6/2,18:00,3049,0,1968,1369,,67,7,39
2023/6/2,19:00,2934,0,1872,1347,,67,1,47
