DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,170332,0,107401,8837,0,2938,17680,2611,chugoku,34.38886513,132.4557913
2019/4/2,179147,0,119542,8996,0,2754,19551,583,chugoku,34.38886513,132.4557913
2019/4/3,172920,0,105558,7766,0,2799,24302,474,chugoku,34.38886513,132.4557913
2019/4/4,165142,0,97043,7503,0,2723,27036,2489,chugoku,34.38886513,132.4557913
2019/4/5,159260,0,96139,7549,0,2733,22411,3642,chugoku,34.38886513,132.4557913
2019/4/6,143461,0,84806,6416,0,2751,25699,845,chugoku,34.38886513,132.4557913
2019/4/7,132674,0,73189,6035,0,2412,21798,972,chugoku,34.38886513,132.4557913
2019/4/8,149814,0,86907,7804,0,2520,24637,1876,chugoku,34.38886513,132.4557913
2019/4/9,157948,0,93594,7879,0,2506,25137,1711,chugoku,34.38886513,132.4557913
2019/4/10,169874,0,122042,10445,0,2557,4606,2406,chugoku,34.38886513,132.4557913
2019/4/11,164069,0,107064,11551,0,2630,19154,1515,chugoku,34.38886513,132.4557913
2019/4/12,162785,0,103314,11526,0,2645,20951,325,chugoku,34.38886513,132.4557913
2019/4/13,150668,0,93239,10770,0,2639,23213,343,chugoku,34.38886513,132.4557913
2019/4/14,144727,0,99406,10178,0,2517,6849,1731,chugoku,34.38886513,132.4557913
2019/4/15,151226,0,93005,9925,0,2955,25482,908,chugoku,34.38886513,132.4557913
2019/4/16,154444,0,95534,8757,0,2887,25293,243,chugoku,34.38886513,132.4557913
2019/4/17,151916,0,99540,8153,0,2944,22435,422,chugoku,34.38886513,132.4557913
2019/4/18,153750,0,96595,7577,0,3031,26357,1124,chugoku,34.38886513,132.4557913
2019/4/19,155029,0,102489,7953,0,2862,14650,1205,chugoku,34.38886513,132.4557913
2019/4/20,141834,0,88908,7622,0,3103,27309,393,chugoku,34.38886513,132.4557913
2019/4/21,130501,0,84260,7138,0,2788,24757,363,chugoku,34.38886513,132.4557913
