DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,406066,99125,239942,21459,0,0,21547,1843,kansai,34.69319777,135.4924594
2019/4/2,434090,99125,270278,20680,0,0,23485,1470,kansai,34.69319777,135.4924594
2019/4/3,431617,99141,267874,21203,0,0,27174,994,kansai,34.69319777,135.4924594
2019/4/4,416440,99121,233915,22116,0,0,33222,818,kansai,34.69319777,135.4924594
2019/4/5,391837,99160,240042,22013,0,0,29316,895,kansai,34.69319777,135.4924594
2019/4/6,351581,99126,184257,20884,0,0,32563,1261,kansai,34.69319777,135.4924594
2019/4/7,324604,99167,167202,18031,0,0,32510,812,kansai,34.69319777,135.4924594
2019/4/8,366583,99136,197691,20077,0,0,31427,1673,kansai,34.69319777,135.4924594
2019/4/9,381356,98951,216373,20081,0,0,33796,1461,kansai,34.69319777,135.4924594
2019/4/10,413469,98919,262632,21531,0,0,5240,1724,kansai,34.69319777,135.4924594
2019/4/11,399545,78446,250250,23134,0,0,25875,2052,kansai,34.69319777,135.4924594
2019/4/12,392273,70951,245327,22293,0,0,25776,1198,kansai,34.69319777,135.4924594
2019/4/13,355518,70985,210573,18582,0,0,32958,1118,kansai,34.69319777,135.4924594
2019/4/14,334663,71014,214932,18751,0,0,7490,1615,kansai,34.69319777,135.4924594
2019/4/15,372160,70990,220219,29861,0,0,31402,1754,kansai,34.69319777,135.4924594
2019/4/16,381804,70981,227115,24313,0,0,34452,1088,kansai,34.69319777,135.4924594
2019/4/17,375833,70787,237598,24571,0,0,21816,848,kansai,34.69319777,135.4924594
2019/4/18,371045,70972,215609,25319,0,0,34242,1029,kansai,34.69319777,135.4924594
2019/4/19,368302,70974,223586,26192,0,0,22419,1097,kansai,34.69319777,135.4924594
2019/4/20,336805,70966,180809,25445,0,0,36358,1257,kansai,34.69319777,135.4924594
2019/4/21,313312,70964,167493,25245,0,0,30919,1045,kansai,34.69319777,135.4924594
2019/4/22,359981,70930,197506,29453,0,0,33181,846,kansai,34.69319777,135.4924594
2019/4/23,363847,70937,218670,31034,0,0,23593,1207,kansai,34.69319777,135.4924594
2019/4/24,365471,70954,232507,32510,0,0,6722,2182,kansai,34.69319777,135.4924594
2019/4/25,365794,70890,210122,42377,0,0,16251,768,kansai,34.69319777,135.4924594
2019/4/26,356718,70909,204724,39343,0,0,20025,1323,kansai,34.69319777,135.4924594
2019/4/27,328022,70895,156441,33568,0,0,27141,2349,kansai,34.69319777,135.4924594
2019/4/28,302932,70923,154211,29965,0,0,21783,1062,kansai,34.69319777,135.4924594
2019/4/29,310042,70923,173356,29067,0,0,8252,1428,kansai,34.69319777,135.4924594
2019/4/30,308225,70902,167461,34691,0,0,12183,1044,kansai,34.69319777,135.4924594
2019/5/1,296037,70900,159928,34830,0,0,7075,705,kansai,34.69319777,135.4924594
2019/5/2,292604,70872,121322,33611,0,0,33267,889,kansai,34.69319777,135.4924594
2019/5/3,287780,70876,111617,34957,0,0,29469,530,kansai,34.69319777,135.4924594
2019/5/4,285259,70834,108074,34140,0,0,36048,745,kansai,34.69319777,135.4924594
2019/5/5,283901,70824,108348,32015,0,0,34600,1287,kansai,34.69319777,135.4924594
2019/5/6,306045,70839,135654,31451,0,0,27974,1106,kansai,34.69319777,135.4924594
2019/5/7,342618,70786,163243,34216,0,0,36455,1475,kansai,34.69319777,135.4924594
2019/5/8,357108,70819,185386,31241,0,0,35630,905,kansai,34.69319777,135.4924594
2019/5/9,358440,70842,207597,30800,0,0,16818,745,kansai,34.69319777,135.4924594
2019/5/10,365091,70797,191023,30816,0,0,31731,580,kansai,34.69319777,135.4924594
2019/5/11,342500,70785,166830,27428,0,0,36875,569,kansai,34.69319777,135.4924594
2019/5/12,312731,70775,170874,27254,0,0,33138,736,kansai,34.69319777,135.4924594
2019/5/13,367030,70731,192943,32122,0,0,35980,1261,kansai,34.69319777,135.4924594
2019/5/14,369926,70597,212714,36722,0,0,15431,970,kansai,34.69319777,135.4924594
2019/5/15,371865,70538,203375,35073,0,0,33156,627,kansai,34.69319777,135.4924594
2019/5/16,375867,70719,204206,32985,0,0,31923,715,kansai,34.69319777,135.4924594
2019/5/17,377422,70702,208315,33086,0,0,33161,798,kansai,34.69319777,135.4924594
2019/5/18,335926,70753,188085,29277,0,0,13150,1091,kansai,34.69319777,135.4924594
2019/5/19,314521,70786,170634,30011,0,0,26555,1283,kansai,34.69319777,135.4924594
2019/5/20,364898,70856,210638,33330,0,0,13640,2070,kansai,34.69319777,135.4924594
2019/5/21,375974,70819,188967,45980,0,0,28931,1378,kansai,34.69319777,135.4924594
2019/5/22,373706,70599,184556,47724,0,0,37384,879,kansai,34.69319777,135.4924594
2019/5/23,379134,70716,189202,44754,0,0,37892,617,kansai,34.69319777,135.4924594
