DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,231230,99386,102713,9560,3384,6076,42320,5174,kyushu,33.58376482,130.4045583
2019/4/2,234928,99375,110171,9524,3400,5646,39616,2532,kyushu,33.58376482,130.4045583
2019/4/3,234391,99180,108455,9621,3432,5669,42269,1222,kyushu,33.58376482,130.4045583
2019/4/4,229580,99339,104346,9283,3456,5707,45245,1122,kyushu,33.58376482,130.4045583
2019/4/5,221705,99343,99882,9217,3456,5808,24996,1153,kyushu,33.58376482,130.4045583
2019/4/6,202937,99319,79797,8895,3456,6442,38466,732,kyushu,33.58376482,130.4045583
2019/4/7,186984,99339,78828,7804,3456,6428,31976,786,kyushu,33.58376482,130.4045583
2019/4/8,206915,99300,90281,9128,3439,6552,42295,1340,kyushu,33.58376482,130.4045583
2019/4/9,212201,99105,95432,9163,3455,6663,40479,2205,kyushu,33.58376482,130.4045583
2019/4/10,217381,99252,122541,11665,3445,6723,14372,5431,kyushu,33.58376482,130.4045583
2019/4/11,220406,99288,107336,10555,3470,6720,23651,1763,kyushu,33.58376482,130.4045583
2019/4/12,219871,99352,106723,9117,3450,6574,40060,1190,kyushu,33.58376482,130.4045583
2019/4/13,205094,99341,90045,8471,3479,6248,39837,471,kyushu,33.58376482,130.4045583
2019/4/14,194419,99345,102131,8219,3480,6372,9774,947,kyushu,33.58376482,130.4045583
2019/4/15,212676,99132,95193,8704,3479,6681,45768,1130,kyushu,33.58376482,130.4045583
2019/4/16,216880,99329,103336,8260,3476,6799,41283,685,kyushu,33.58376482,130.4045583
2019/4/17,211120,99327,102964,9468,3462,6853,28644,1350,kyushu,33.58376482,130.4045583
2019/4/18,214319,99304,89391,8914,3473,6864,47146,319,kyushu,33.58376482,130.4045583
2019/4/19,212020,99294,91352,8639,3456,6897,43383,828,kyushu,33.58376482,130.4045583
2019/4/20,199037,99293,84239,8482,3452,6999,39543,357,kyushu,33.58376482,130.4045583
2019/4/21,186286,99247,74391,8209,3023,6933,39115,68,kyushu,33.58376482,130.4045583
2019/4/22,209398,99115,92396,8420,3213,6990,37155,370,kyushu,33.58376482,130.4045583
2019/4/23,214435,99322,118591,8426,3384,6886,10495,3437,kyushu,33.58376482,130.4045583
2019/4/24,215901,99332,116852,9189,3336,6915,13476,2151,kyushu,33.58376482,130.4045583
2019/4/25,215123,99252,113963,9249,3418,6975,26002,570,kyushu,33.58376482,130.4045583
2019/4/26,210993,99253,100456,8703,3447,7017,30803,3146,kyushu,33.58376482,130.4045583
2019/4/27,198151,99380,65684,7453,3455,6951,45761,3935,kyushu,33.58376482,130.4045583
2019/4/28,184444,99395,65215,7395,3503,7118,25662,1338,kyushu,33.58376482,130.4045583
2019/4/29,192051,99367,77193,8807,3504,8108,6999,4475,kyushu,33.58376482,130.4045583
2019/4/30,194654,99338,78519,13522,3480,8235,7065,1069,kyushu,33.58376482,130.4045583
2019/5/1,185506,99307,67457,12724,3479,7946,13724,1169,kyushu,33.58376482,130.4045583
2019/5/2,181106,99337,56365,9936,3480,8144,39010,680,kyushu,33.58376482,130.4045583
2019/5/3,177707,99340,59454,9046,3480,8197,40726,372,kyushu,33.58376482,130.4045583
2019/5/4,174240,99331,52591,8661,3504,8237,40516,127,kyushu,33.58376482,130.4045583
2019/5/5,174596,99313,51530,8391,3504,8216,42972,500,kyushu,33.58376482,130.4045583
2019/5/6,182733,99266,66298,7792,3504,8056,28025,757,kyushu,33.58376482,130.4045583
2019/5/7,201847,99267,69381,8494,3498,8022,51959,1754,kyushu,33.58376482,130.4045583
2019/5/8,207424,99315,81722,9165,3503,8237,45804,465,kyushu,33.58376482,130.4045583
2019/5/9,209367,99132,88801,8639,3528,8200,24543,1063,kyushu,33.58376482,130.4045583
2019/5/10,211053,99294,90050,8570,3501,7994,43818,285,kyushu,33.58376482,130.4045583
2019/5/11,203107,99254,84685,6947,3504,7806,43577,134,kyushu,33.58376482,130.4045583
2019/5/12,188407,96423,82084,6805,3480,7907,38805,195,kyushu,33.58376482,130.4045583
2019/5/13,211433,71564,113559,7544,3350,8192,41806,897,kyushu,33.58376482,130.4045583
2019/5/14,213850,71408,126925,7321,3264,8124,27667,2085,kyushu,33.58376482,130.4045583
2019/5/15,216429,71343,107405,7628,3076,8175,50128,1815,kyushu,33.58376482,130.4045583
2019/5/16,219126,71322,114000,7170,3084,8170,45505,1661,kyushu,33.58376482,130.4045583
2019/5/17,219763,71253,112393,7545,3101,8216,44390,4441,kyushu,33.58376482,130.4045583
2019/5/18,202965,71237,119374,11091,3288,8374,9441,5855,kyushu,33.58376482,130.4045583
2019/5/19,189272,71230,101662,14235,3275,8005,18541,5156,kyushu,33.58376482,130.4045583
2019/5/20,215846,70988,133548,17845,3228,7661,17823,1773,kyushu,33.58376482,130.4045583
2019/5/21,211988,71198,103038,16542,3364,7481,58638,2873,kyushu,33.58376482,130.4045583
2019/5/22,212778,71269,103732,13349,3521,7464,57881,1299,kyushu,33.58376482,130.4045583
2019/5/23,216941,71218,111157,12212,3528,7548,55905,1142,kyushu,33.58376482,130.4045583
2019/5/24,222653,71204,114655,11791,3494,7522,55204,947,kyushu,33.58376482,130.4045583
2019/5/25,209599,71256,108033,10957,3480,7268,51491,397,kyushu,33.58376482,130.4045583
2019/5/26,195743,71256,96767,9983,3498,7393,48035,1114,kyushu,33.58376482,130.4045583
2019/5/27,215385,71019,131277,10095,3503,7472,16897,3703,kyushu,33.58376482,130.4045583
2019/5/28,219239,71169,134363,10679,3457,7736,26094,2188,kyushu,33.58376482,130.4045583
2019/5/29,213738,71226,120160,9995,3496,7751,41099,1161,kyushu,33.58376482,130.4045583
2019/5/30,219114,71213,123671,9279,3504,7807,50191,331,kyushu,33.58376482,130.4045583
2019/5/31,213646,71197,138713,9078,3528,7492,14971,361,kyushu,33.58376482,130.4045583
2019/6/1,203707,71170,105400,8335,3514,6652,39661,573,kyushu,33.58376482,130.4045583
2019/6/2,190956,71166,115829,8439,3504,6640,11791,954,kyushu,33.58376482,130.4045583
2019/6/3,218881,71194,128850,7302,3481,6590,28672,915,kyushu,33.58376482,130.4045583
2019/6/4,229147,71176,142938,7513,3462,6546,20022,1147,kyushu,33.58376482,130.4045583
2019/6/5,236562,70856,136648,8389,3427,6534,48584,112,kyushu,33.58376482,130.4045583
2019/6/6,241794,71034,141459,8579,3432,6494,50133,1386,kyushu,33.58376482,130.4045583
2019/6/7,236592,70966,142359,14705,3433,5997,18210,4724,kyushu,33.58376482,130.4045583
2019/6/8,205796,71027,108903,12822,3447,6271,33347,1170,kyushu,33.58376482,130.4045583
2019/6/9,191361,71130,98222,11882,3444,6317,37179,528,kyushu,33.58376482,130.4045583
2019/6/10,218019,71135,114922,10279,3040,6184,49592,1066,kyushu,33.58376482,130.4045583
2019/6/11,219912,71156,121757,9793,2760,6073,46776,1383,kyushu,33.58376482,130.4045583
2019/6/12,220355,71136,124729,9567,2755,6177,47854,1136,kyushu,33.58376482,130.4045583
2019/6/13,228208,71112,124656,9044,3029,6124,50505,1016,kyushu,33.58376482,130.4045583
2019/6/14,222418,71111,136434,12611,3456,6147,10087,3319,kyushu,33.58376482,130.4045583
