DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,7665,2112,5831,478,0,24,838,282,sikoku,34.34794313,134.0501999
2019/4/2,7816,2112,5722,482,0,24,1123,120,sikoku,34.34794313,134.0501999
2019/4/3,7623,2112,6432,460,0,24,1282,47,sikoku,34.34794313,134.0501999
2019/4/4,7471,2112,6600,448,0,24,1323,33,sikoku,34.34794313,134.0501999
2019/4/5,7199,2112,5484,442,0,24,1070,17,sikoku,34.34794313,134.0501999
2019/4/6,6419,2112,5145,364,0,25,1257,99,sikoku,34.34794313,134.0501999
2019/4/7,5819,2112,3298,372,0,24,1211,78,sikoku,34.34794313,134.0501999
2019/4/8,6629,2112,4644,412,0,24,1287,224,sikoku,34.34794313,134.0501999
2019/4/9,6963,2112,5159,411,0,24,1245,176,sikoku,34.34794313,134.0501999
2019/4/10,7482,2112,6258,455,0,24,186,242,sikoku,34.34794313,134.0501999
2019/4/11,7218,2112,6243,406,0,24,1028,159,sikoku,34.34794313,134.0501999
2019/4/12,7169,2112,6671,375,0,24,1125,102,sikoku,34.34794313,134.0501999
2019/4/13,6477,2112,5643,295,0,24,1193,72,sikoku,34.34794313,134.0501999
2019/4/14,6224,2106,4664,360,0,24,254,164,sikoku,34.34794313,134.0501999
2019/4/15,6874,2112,5913,471,0,24,1318,203,sikoku,34.34794313,134.0501999
2019/4/16,6941,2112,6565,382,0,24,1229,71,sikoku,34.34794313,134.0501999
2019/4/17,6841,2112,6393,365,0,24,988,57,sikoku,34.34794313,134.0501999
2019/4/18,6818,2112,6194,351,0,24,1326,51,sikoku,34.34794313,134.0501999
2019/4/19,6744,2112,6141,353,0,24,1164,86,sikoku,34.34794313,134.0501999
2019/4/20,6125,2112,4877,344,0,24,1268,95,sikoku,34.34794313,134.0501999
2019/4/21,5602,2112,4290,328,0,24,1146,18,sikoku,34.34794313,134.0501999
2019/4/22,6568,2112,5786,371,0,24,1222,8,sikoku,34.34794313,134.0501999
2019/4/23,6770,2112,6941,315,0,24,674,123,sikoku,34.34794313,134.0501999
2019/4/24,6887,2112,6551,428,0,24,262,176,sikoku,34.34794313,134.0501999
2019/4/25,6814,2112,6615,437,0,24,744,41,sikoku,34.34794313,134.0501999
2019/4/26,6642,2112,5978,467,0,24,1062,178,sikoku,34.34794313,134.0501999
2019/4/27,6074,2112,5038,399,0,27,1289,288,sikoku,34.34794313,134.0501999
2019/4/28,5669,2112,5199,379,0,28,873,60,sikoku,34.34794313,134.0501999
2019/4/29,6010,2112,5239,435,0,24,324,249,sikoku,34.34794313,134.0501999
2019/4/30,6142,2112,5569,551,0,24,300,61,sikoku,34.34794313,134.0501999
2019/5/1,5896,2112,5744,532,0,46,256,130,sikoku,34.34794313,134.0501999
2019/5/2,5584,2112,4519,514,0,48,1459,111,sikoku,34.34794313,134.0501999
2019/5/3,5368,2112,4526,488,0,48,1260,1,sikoku,34.34794313,134.0501999
2019/5/4,5299,2112,4354,494,0,48,1474,20,sikoku,34.34794313,134.0501999
2019/5/5,5169,2112,4279,438,0,39,1332,110,sikoku,34.34794313,134.0501999
2019/5/6,5652,2112,5324,468,0,48,961,67,sikoku,34.34794313,134.0501999
2019/5/7,6329,2112,5677,540,0,47,1593,142,sikoku,34.34794313,134.0501999
2019/5/8,6530,2112,5587,539,0,47,1444,56,sikoku,34.34794313,134.0501999
2019/5/9,6579,2112,6022,536,0,45,759,41,sikoku,34.34794313,134.0501999
2019/5/10,6603,2112,5799,522,0,46,1396,14,sikoku,34.34794313,134.0501999
2019/5/11,6182,2115,5379,409,0,48,1484,3,sikoku,34.34794313,134.0501999
2019/5/12,5573,2118,4813,351,0,48,1364,30,sikoku,34.34794313,134.0501999
2019/5/13,6520,2113,5874,458,0,47,1378,99,sikoku,34.34794313,134.0501999
2019/5/14,6745,2114,6956,551,0,47,609,87,sikoku,34.34794313,134.0501999
2019/5/15,6672,2112,6296,519,0,48,1387,40,sikoku,34.34794313,134.0501999
2019/5/16,6774,2112,6299,467,0,48,1407,69,sikoku,34.34794313,134.0501999
2019/5/17,6762,2112,6248,457,0,48,1399,164,sikoku,34.34794313,134.0501999
2019/5/18,6108,2112,5613,357,0,48,507,243,sikoku,34.34794313,134.0501999
2019/5/19,5691,2112,5447,506,0,48,714,220,sikoku,34.34794313,134.0501999
2019/5/20,6677,2112,5988,823,0,48,471,262,sikoku,34.34794313,134.0501999
2019/5/21,6659,2112,5111,1105,0,48,1409,249,sikoku,34.34794313,134.0501999
2019/5/22,6751,2112,5507,1103,0,48,1517,158,sikoku,34.34794313,134.0501999
2019/5/23,6821,2112,5823,958,0,31,1515,28,sikoku,34.34794313,134.0501999
2019/5/24,6958,2112,5908,916,0,25,1504,39,sikoku,34.34794313,134.0501999
2019/5/25,6397,2112,5536,782,0,48,1421,27,sikoku,34.34794313,134.0501999
2019/5/26,5924,2112,5313,644,0,48,1174,102,sikoku,34.34794313,134.0501999
2019/5/27,6816,2112,6883,687,0,48,742,218,sikoku,34.34794313,134.0501999
2019/5/28,7114,2112,6754,937,0,48,299,241,sikoku,34.34794313,134.0501999
2019/5/29,6753,2112,6529,814,0,48,1175,172,sikoku,34.34794313,134.0501999
