DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,239692,0,218374,38915,2249,3627,17698,1429,tohoku,38.26606626,140.8781569
2019/4/2,255990,0,227638,37842,2367,3530,15993,10833,tohoku,38.26606626,140.8781569
2019/4/3,251798,0,235076,32102,2463,3568,20316,12244,tohoku,38.26606626,140.8781569
2019/4/4,240041,0,219634,30973,2345,3509,20530,10225,tohoku,38.26606626,140.8781569
2019/4/5,227368,0,182516,35481,2276,3658,27817,14093,tohoku,38.26606626,140.8781569
2019/4/6,211482,0,154263,39372,2340,3745,29390,19122,tohoku,38.26606626,140.8781569
2019/4/7,198218,0,157391,38997,2466,3535,21827,7551,tohoku,38.26606626,140.8781569
2019/4/8,223488,0,178039,42297,2472,3807,26649,2473,tohoku,38.26606626,140.8781569
2019/4/9,229652,0,192129,40630,2539,3746,28872,10300,tohoku,38.26606626,140.8781569
2019/4/10,240030,0,253167,38458,2475,3654,13983,2392,tohoku,38.26606626,140.8781569
2019/4/11,241930,0,236794,36690,2485,6519,13402,2328,tohoku,38.26606626,140.8781569
2019/4/12,233804,0,241814,36361,2464,7145,25100,3007,tohoku,38.26606626,140.8781569
2019/4/13,212770,0,197174,35860,2442,7151,33713,3793,tohoku,38.26606626,140.8781569
2019/4/14,193921,0,192319,39689,2413,6787,29923,2513,tohoku,38.26606626,140.8781569
2019/4/15,212280,0,178120,46187,2405,7243,24637,14157,tohoku,38.26606626,140.8781569
2019/4/16,215064,0,174237,48798,2404,8968,35529,11842,tohoku,38.26606626,140.8781569
2019/4/17,211835,0,184348,48913,2399,9306,30860,3069,tohoku,38.26606626,140.8781569
2019/4/18,207499,0,178771,49297,2362,6923,34844,1769,tohoku,38.26606626,140.8781569
2019/4/19,208410,0,185555,53824,2374,8630,21651,8617,tohoku,38.26606626,140.8781569
2019/4/20,199782,0,165449,51752,2390,9667,34726,10681,tohoku,38.26606626,140.8781569
2019/4/21,185973,0,170092,49812,2374,9247,22120,1379,tohoku,38.26606626,140.8781569
2019/4/22,202029,0,174496,51754,2403,9702,34550,2442,tohoku,38.26606626,140.8781569
2019/4/23,207135,0,177436,54057,2493,9772,32999,2893,tohoku,38.26606626,140.8781569
2019/4/24,203050,0,192654,54680,2541,9757,15951,3171,tohoku,38.26606626,140.8781569
2019/4/25,204506,0,202847,54203,2577,9423,9384,3796,tohoku,38.26606626,140.8781569
2019/4/26,214878,0,207802,54611,2629,9605,4284,10240,tohoku,38.26606626,140.8781569
2019/4/27,208984,0,191732,54354,2650,9518,13836,5165,tohoku,38.26606626,140.8781569
2019/4/28,183960,0,153878,52757,2635,8969,35141,5985,tohoku,38.26606626,140.8781569
2019/4/29,182316,0,158447,48126,2623,8950,35053,3181,tohoku,38.26606626,140.8781569
2019/4/30,183451,0,191724,49390,2600,8716,8220,6240,tohoku,38.26606626,140.8781569
2019/5/1,173160,0,160570,51885,2536,8592,15848,2278,tohoku,38.26606626,140.8781569
2019/5/2,170242,0,140238,51918,2561,8568,30048,15958,tohoku,38.26606626,140.8781569
2019/5/3,169927,0,142896,49401,2556,8601,34315,7453,tohoku,38.26606626,140.8781569
2019/5/4,167606,0,144141,47734,2555,8581,36731,4447,tohoku,38.26606626,140.8781569
2019/5/5,169587,0,146901,46716,2481,8597,36194,2375,tohoku,38.26606626,140.8781569
2019/5/6,177252,0,161417,50003,2361,8533,20095,4277,tohoku,38.26606626,140.8781569
2019/5/7,194567,0,155382,53246,2381,8866,31267,13484,tohoku,38.26606626,140.8781569
2019/5/8,202491,0,158709,52955,2279,8912,35793,15580,tohoku,38.26606626,140.8781569
2019/5/9,201092,0,171589,50009,2284,8890,25285,11914,tohoku,38.26606626,140.8781569
2019/5/10,203601,0,173709,49982,2334,8912,35409,6824,tohoku,38.26606626,140.8781569
2019/5/11,194698,0,168450,50333,2389,8734,33236,1469,tohoku,38.26606626,140.8781569
2019/5/12,180296,0,156570,49331,2372,8704,36323,1994,tohoku,38.26606626,140.8781569
2019/5/13,201061,0,171446,49748,2734,8788,36750,1290,tohoku,38.26606626,140.8781569
2019/5/14,204890,0,180288,50843,2839,8696,23679,2507,tohoku,38.26606626,140.8781569
2019/5/15,204374,0,184005,52692,2556,8760,19218,1151,tohoku,38.26606626,140.8781569
2019/5/16,204122,0,175947,50981,2796,8800,29048,1316,tohoku,38.26606626,140.8781569
2019/5/17,205581,0,173306,51356,2620,9095,31476,2390,tohoku,38.26606626,140.8781569
2019/5/18,192948,0,163510,49777,3036,8819,32200,3956,tohoku,38.26606626,140.8781569
2019/5/19,180142,0,157258,48800,3032,8905,30389,5399,tohoku,38.26606626,140.8781569
2019/5/20,200125,0,165885,50519,2159,9390,27611,12903,tohoku,38.26606626,140.8781569
2019/5/21,204196,0,190882,53666,2177,9353,5555,8231,tohoku,38.26606626,140.8781569
2019/5/22,202577,0,169607,54117,2215,9462,33696,2170,tohoku,38.26606626,140.8781569
2019/5/23,205882,0,170418,51442,2268,9474,37357,2189,tohoku,38.26606626,140.8781569
2019/5/24,205634,0,174831,51484,2270,9406,34431,4277,tohoku,38.26606626,140.8781569
2019/5/25,196133,0,172000,47324,2261,9266,36633,3805,tohoku,38.26606626,140.8781569
2019/5/26,190509,0,168859,45715,2097,6198,33204,3273,tohoku,38.26606626,140.8781569
2019/5/27,216446,0,191760,48446,1937,6336,34674,2008,tohoku,38.26606626,140.8781569
2019/5/28,209700,0,203903,48610,1893,7390,14477,4933,tohoku,38.26606626,140.8781569
2019/5/29,201519,0,187331,48525,2001,7758,22748,4964,tohoku,38.26606626,140.8781569
2019/5/30,203799,0,163266,47765,2031,8502,36967,10200,tohoku,38.26606626,140.8781569
2019/5/31,201987,0,185938,46407,1951,8921,17313,4917,tohoku,38.26606626,140.8781569
2019/6/1,191314,0,170621,46093,2215,8927,30466,5172,tohoku,38.26606626,140.8781569
2019/6/2,180804,0,167310,43928,2176,9225,33434,2153,tohoku,38.26606626,140.8781569
2019/6/3,205909,0,182154,44261,1587,12065,34690,1445,tohoku,38.26606626,140.8781569
2019/6/4,215289,0,189620,42883,1379,12261,34580,2209,tohoku,38.26606626,140.8781569
2019/6/5,214456,0,191467,44524,1481,12129,27000,1763,tohoku,38.26606626,140.8781569
2019/6/6,208070,0,192050,44265,1404,11964,23992,1869,tohoku,38.26606626,140.8781569
2019/6/7,203697,0,196201,43666,1630,11942,11716,1981,tohoku,38.26606626,140.8781569
2019/6/8,188397,0,186812,43051,2112,11451,9038,5031,tohoku,38.26606626,140.8781569
2019/6/9,175308,0,165467,37077,2103,11373,27571,3797,tohoku,38.26606626,140.8781569
2019/6/10,195810,0,183377,36147,2133,12008,15915,7617,tohoku,38.26606626,140.8781569
2019/6/11,202482,0,186519,40955,2159,11956,16848,6340,tohoku,38.26606626,140.8781569
2019/6/12,203116,0,180203,37857,2150,11899,27457,2737,tohoku,38.26606626,140.8781569
2019/6/13,206564,0,176758,33946,2113,11887,36976,1380,tohoku,38.26606626,140.8781569
2019/6/14,210259,0,180437,34073,2106,11853,34105,2242,tohoku,38.26606626,140.8781569
2019/6/15,191789,0,185711,33666,1894,11873,8528,13009,tohoku,38.26606626,140.8781569
2019/6/16,175849,0,170104,40426,1474,11761,9329,10246,tohoku,38.26606626,140.8781569
2019/6/17,194089,0,163490,47952,1230,11363,23093,13418,tohoku,38.26606626,140.8781569
2019/6/18,203660,0,173013,45321,1247,11135,28323,1871,tohoku,38.26606626,140.8781569
2019/6/19,203928,0,186944,44420,1533,11341,16791,1108,tohoku,38.26606626,140.8781569
2019/6/20,207728,0,185166,43493,1582,11330,29834,1203,tohoku,38.26606626,140.8781569
2019/6/21,208215,0,202565,41373,1774,11231,15771,2236,tohoku,38.26606626,140.8781569
2019/6/22,190979,0,186835,39532,1776,11831,13763,4672,tohoku,38.26606626,140.8781569
