DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,775350,0,636930,18350,0,1680,53520,2700,tokyo,35.67026521,139.7584327
2019/4/2,817190,0,692850,16540,0,1480,62120,4190,tokyo,35.67026521,139.7584327
2019/4/3,819620,0,683250,15550,0,1360,68360,3940,tokyo,35.67026521,139.7584327
2019/4/4,783010,0,640260,17120,0,1380,71000,4540,tokyo,35.67026521,139.7584327
2019/4/5,738410,0,604510,17620,0,1370,68680,6510,tokyo,35.67026521,139.7584327
2019/4/6,650980,0,531300,18550,0,1440,70820,5450,tokyo,35.67026521,139.7584327
2019/4/7,618380,0,532740,18200,0,1410,61340,3500,tokyo,35.67026521,139.7584327
2019/4/8,761550,0,658070,20020,0,1340,24160,2170,tokyo,35.67026521,139.7584327
2019/4/9,765800,0,667260,18980,0,1340,70040,4330,tokyo,35.67026521,139.7584327
2019/4/10,880780,0,707080,24990,0,1350,7230,2360,tokyo,35.67026521,139.7584327
2019/4/11,803640,0,683930,20290,0,1350,62330,4850,tokyo,35.67026521,139.7584327
2019/4/12,806060,0,681080,20400,0,1350,35880,1620,tokyo,35.67026521,139.7584327
2019/4/13,693840,0,525570,17740,0,1350,73200,1370,tokyo,35.67026521,139.7584327
2019/4/14,639490,0,497900,17380,0,1440,46810,3580,tokyo,35.67026521,139.7584327
2019/4/15,700260,0,542930,20920,0,1330,65810,5990,tokyo,35.67026521,139.7584327
2019/4/16,715810,0,530720,23030,0,1530,80000,2920,tokyo,35.67026521,139.7584327
2019/4/17,715800,0,563250,23020,0,1680,42920,1430,tokyo,35.67026521,139.7584327
2019/4/18,708830,0,527010,24950,0,680,74910,1070,tokyo,35.67026521,139.7584327
2019/4/19,710170,0,529320,26290,0,670,65360,4560,tokyo,35.67026521,139.7584327
2019/4/20,644600,0,458850,27710,0,600,78460,3620,tokyo,35.67026521,139.7584327
2019/4/21,607740,0,460760,27850,0,590,56380,860,tokyo,35.67026521,139.7584327
2019/4/22,697170,0,507560,31280,0,550,70760,1820,tokyo,35.67026521,139.7584327
2019/4/23,704420,0,517660,28470,0,560,72870,2070,tokyo,35.67026521,139.7584327
2019/4/24,710410,0,558390,30560,0,550,19430,4330,tokyo,35.67026521,139.7584327
2019/4/25,720470,0,529220,33980,0,560,41980,3380,tokyo,35.67026521,139.7584327
2019/4/26,710630,0,560280,40520,0,610,11040,3580,tokyo,35.67026521,139.7584327
2019/4/27,668810,0,510740,42790,0,570,35580,3890,tokyo,35.67026521,139.7584327
2019/4/28,604390,0,422780,37360,0,480,81510,2040,tokyo,35.67026521,139.7584327
2019/4/29,596010,0,423150,33920,0,480,55490,1810,tokyo,35.67026521,139.7584327
2019/4/30,612370,0,460090,38560,0,480,19470,4920,tokyo,35.67026521,139.7584327
2019/5/1,590520,0,421860,39290,0,480,42660,2070,tokyo,35.67026521,139.7584327
2019/5/2,571680,0,403680,40350,0,480,62680,4290,tokyo,35.67026521,139.7584327
2019/5/3,556800,0,380310,38200,0,480,73040,2970,tokyo,35.67026521,139.7584327
2019/5/4,561880,0,389990,37360,0,480,68500,1460,tokyo,35.67026521,139.7584327
2019/5/5,562410,0,389580,37630,0,480,77600,1160,tokyo,35.67026521,139.7584327
2019/5/6,596860,0,435750,38010,0,480,50250,3160,tokyo,35.67026521,139.7584327
2019/5/7,668580,0,512000,37240,0,480,51790,4080,tokyo,35.67026521,139.7584327
2019/5/8,693770,0,499140,34960,0,480,84140,4140,tokyo,35.67026521,139.7584327
2019/5/9,692520,0,521290,32120,0,480,52570,2970,tokyo,35.67026521,139.7584327
2019/5/10,700860,0,493840,33340,0,480,77740,1670,tokyo,35.67026521,139.7584327
2019/5/11,651060,0,458260,32770,0,480,74770,730,tokyo,35.67026521,139.7584327
2019/5/12,599060,0,431470,33300,0,480,71550,1510,tokyo,35.67026521,139.7584327
2019/5/13,686410,0,502190,37550,0,480,69270,790,tokyo,35.67026521,139.7584327
2019/5/14,710420,0,562820,39100,0,480,22180,1460,tokyo,35.67026521,139.7584327
2019/5/15,706250,0,528780,38730,0,400,58750,1430,tokyo,35.67026521,139.7584327
2019/5/16,711360,0,517400,38470,0,480,71210,1350,tokyo,35.67026521,139.7584327
2019/5/17,712210,0,516150,38660,0,480,75910,1440,tokyo,35.67026521,139.7584327
2019/5/18,646580,0,460560,35410,0,480,65620,2720,tokyo,35.67026521,139.7584327
2019/5/19,618210,0,438420,35870,0,480,65250,3740,tokyo,35.67026521,139.7584327
2019/5/20,701090,0,513890,42250,0,400,51200,6240,tokyo,35.67026521,139.7584327
2019/5/21,731220,0,578970,45710,0,480,9550,6890,tokyo,35.67026521,139.7584327
2019/5/22,702240,0,498000,50210,0,480,72950,1480,tokyo,35.67026521,139.7584327
2019/5/23,711010,0,493890,50300,0,480,82630,770,tokyo,35.67026521,139.7584327
2019/5/24,729100,0,494560,53590,0,480,81790,1980,tokyo,35.67026521,139.7584327
2019/5/25,676610,0,456960,45950,0,480,80850,1040,tokyo,35.67026521,139.7584327
2019/5/26,666990,0,473730,45260,0,480,75740,810,tokyo,35.67026521,139.7584327
2019/5/27,793820,0,576040,49280,0,480,78120,1100,tokyo,35.67026521,139.7584327
