DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,2365285,0,1691783,275660,8912,10800,212860,69776,hokkaido,43.06172661,141.3576819
2019/5/1,2198848,0,1330312,495066,8680,11160,234624,76441,hokkaido,43.06172661,141.3576819
2019/6/1,2122573,0,1468847,360544,4353,11520,195520,73799,hokkaido,43.06172661,141.3576819
2019/7/1,2338927,0,1715994,279942,0,12648,163654,75671,hokkaido,43.06172661,141.3576819
2019/8/1,2385102,0,1504140,375763,4099,11160,171333,79415,hokkaido,43.06172661,141.3576819
2019/9/1,2214743,0,1524560,274081,10666,13680,193048,65197,hokkaido,43.06172661,141.3576819
2019/10/1,2310263,0,1544112,281521,10942,14880,158733,85924,hokkaido,43.06172661,141.3576819
2019/11/1,2588457,0,1922019,183535,10405,15120,122699,136678,hokkaido,43.06172661,141.3576819
2019/12/1,3070698,0,2306378,245952,11103,19344,80145,131068,hokkaido,43.06172661,141.3576819
2020/1/1,3138465,0,2385985,208887,10897,16368,99236,115332,hokkaido,43.06172661,141.3576819
2020/2/1,2945058,0,2199404,192154,9969,16704,132415,101512,hokkaido,43.06172661,141.3576819
2020/3/1,2729233,0,2049294,245861,10747,20832,214359,123142,hokkaido,43.06172661,141.3576819
2020/4/1,2337840,0,1815373,230310,9943,19440,247151,98314,hokkaido,43.06172661,141.3576819
2020/5/1,2116102,0,1387274,507663,10723,16368,270492,78036,hokkaido,43.06172661,141.3576819
2020/6/1,2095784,0,1522046,314863,10394,18000,250952,89768,hokkaido,43.06172661,141.3576819
2020/7/1,2249786,0,1593570,264033,149,17856,239064,64558,hokkaido,43.06172661,141.3576819
2020/8/1,2338212,0,1626254,286056,4094,17112,245913,76160,hokkaido,43.06172661,141.3576819
2020/9/1,2202872,0,1590198,227758,9497,15120,196893,91696,hokkaido,43.06172661,141.3576819
2020/10/1,2303199,0,1589679,270279,9793,17856,216926,79854,hokkaido,43.06172661,141.3576819
2020/11/1,2547788,0,1846130,284649,9343,18000,151839,134956,hokkaido,43.06172661,141.3576819
2020/12/1,3122484,0,2473268,235488,9733,20832,132058,165681,hokkaido,43.06172661,141.3576819
2021/1/1,3352730,0,2938401,216827,9507,20088,107616,151930,hokkaido,43.06172661,141.3576819
2021/2/1,2894248,0,2278932,173744,8366,18144,165296,135388,hokkaido,43.06172661,141.3576819
2021/3/1,2818812,0,1966349,242222,8708,19344,265248,118664,hokkaido,43.06172661,141.3576819
2021/4/1,2387610,0,1250625,592641,8566,76513,310154,115297,hokkaido,43.06172661,141.3576819
2021/5/1,2217028,0,1159241,642612,8696,52641,284299,95059,hokkaido,43.06172661,141.3576819
2021/6/1,2115257,0,1296735,470834,8501,10800,233936,73243,hokkaido,43.06172661,141.3576819
2021/7/1,2394569,0,1709036,277098,0,67055,277222,84860,hokkaido,43.06172661,141.3576819
2021/8/1,2322913,0,1823886,314808,0,70099,247755,97044,hokkaido,43.06172661,141.3576819
2021/9/1,2114167,0,1600346,206370,7850,73140,245626,71670,hokkaido,43.06172661,141.3576819
2021/10/1,2307373,0,1741390,306198,8961,79582,206947,90524,hokkaido,43.06172661,141.3576819
2021/11/1,2480837,0,1971293,413029,9311,64270,146724,135833,hokkaido,43.06172661,141.3576819
2021/12/1,3051404,0,2489669,412920,9907,81663,122097,147564,hokkaido,43.06172661,141.3576819
2022/1/1,3279647,0,2874809,300650,9864,73750,102661,140883,hokkaido,43.06172661,141.3576819
2022/2/1,2885799,0,2465226,258568,8332,67614,135238,148779,hokkaido,43.06172661,141.3576819
2022/3/1,2818379,0,2306430,279625,9045,81268,231781,126686,hokkaido,43.06172661,141.3576819
2022/4/1,2324578,0,1457703,487478,8847,53054,331924,109505,hokkaido,43.06172661,141.3576819
2022/5/1,2169993,0,1248894,558813,9237,30486,301844,109323,hokkaido,43.06172661,141.3576819
2022/6/1,2112865,0,1130431,475450,8622,85190,255227,79071,hokkaido,43.06172661,141.3576819
2022/7/1,2348025,0,1452915,479768,109,110446,248302,75403,hokkaido,43.06172661,141.3576819
2022/8/1,2329789,0,1460376,564011,3888,105648,212832,88770,hokkaido,43.06172661,141.3576819
2022/9/1,2175850,0,1341889,397442,5883,113684,237636,85640,hokkaido,43.06172661,141.3576819
2022/10/1,2288488,0,1531102,395828,5893,116324,210831,96587,hokkaido,43.06172661,141.3576819
2022/11/1,2470765,0,1746647,263756,7723,112438,156711,133221,hokkaido,43.06172661,141.3576819
2022/12/1,3104836,0,2274113,349828,8476,179507,132774,178619,hokkaido,43.06172661,141.3576819
2023/1/1,3258795,0,2304489,320899,8689,182421,132827,161040,hokkaido,43.06172661,141.3576819
2023/2/1,2872773,0,2016428,263623,7806,177603,169841,118314,hokkaido,43.06172661,141.3576819
2023/3/1,2621475,0,1695974,401567,9909,198485,313005,166719,hokkaido,43.06172661,141.3576819
2023/4/1,2254126,0,1066325,589661,10783,197624,314131,191850,hokkaido,43.06172661,141.3576819
2023/5/1,2139934,0,962731,572556,11108,116273,370105,142746,hokkaido,43.06172661,141.3576819
2023/6/1,2088476,0,1052019,443892,5250,160891,325830,116807,hokkaido,43.06172661,141.3576819
2023/7/1,2339504,0,1349918,390376,0,157757,325108,110297,hokkaido,43.06172661,141.3576819
2023/8/1,2519767,0,1492432,453180,0,152766,286063,157175,hokkaido,43.06172661,141.3576819
2023/9/1,2223862,0,1433524,287654,4776,146149,263172,97910,hokkaido,43.06172661,141.3576819
2023/10/1,2198029,0,1352055,326581,11094,155220,261295,178449,hokkaido,43.06172661,141.3576819
