DATE,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光,風力,エリア,lat,lon
2019/4/1,2317523,0,1516901,734186,0,44943,117428,14835,hokuriku,36.70291844,137.2150143
2019/5/1,2132847,0,1276272,810469,0,26575,169462,12323,hokuriku,36.70291844,137.2150143
2019/6/1,2168969,0,1543419,768646,0,34062,120388,7992,hokuriku,36.70291844,137.2150143
2019/7/1,2474206,0,1567120,800293,0,49738,110750,7071,hokuriku,36.70291844,137.2150143
2019/8/1,2596516,0,1766250,765145,0,48449,125965,9673,hokuriku,36.70291844,137.2150143
2019/9/1,2314214,0,1527914,649504,0,46383,104851,10487,hokuriku,36.70291844,137.2150143
2019/10/1,2192666,0,1577923,595569,0,49386,71011,18141,hokuriku,36.70291844,137.2150143
2019/11/1,2286570,0,1873923,445426,0,48521,67061,21429,hokuriku,36.70291844,137.2150143
2019/12/1,2594920,0,2215856,540948,0,48477,46423,32797,hokuriku,36.70291844,137.2150143
2020/1/1,2653126,0,2467456,634789,0,46374,48364,25119,hokuriku,36.70291844,137.2150143
2020/2/1,2619241,0,2184686,570252,0,42386,65358,26617,hokuriku,36.70291844,137.2150143
2020/3/1,2540818,0,1931699,660321,0,49597,110593,29018,hokuriku,36.70291844,137.2150143
2020/4/1,2262736,0,1550496,835580,0,50156,132855,22835,hokuriku,36.70291844,137.2150143
2020/5/1,1919227,0,1215024,850972,0,27979,153197,15567,hokuriku,36.70291844,137.2150143
2020/6/1,2078790,0,1346655,813920,0,45728,150632,11056,hokuriku,36.70291844,137.2150143
2020/7/1,2244596,0,1421594,1130543,0,49423,98190,12900,hokuriku,36.70291844,137.2150143
2020/8/1,2526388,0,2085703,790569,0,48431,160830,9669,hokuriku,36.70291844,137.2150143
2020/9/1,2275749,0,1856532,484772,0,48390,119653,13033,hokuriku,36.70291844,137.2150143
2020/10/1,2155734,0,1685222,356925,0,50159,98627,15313,hokuriku,36.70291844,137.2150143
2020/11/1,2255252,0,1668901,397180,0,47423,76390,24721,hokuriku,36.70291844,137.2150143
2020/12/1,2758200,0,2094056,386844,0,49130,43176,32237,hokuriku,36.70291844,137.2150143
2021/1/1,2989419,0,2660672.4,439291.6,0,46063,31401,28637,hokuriku,36.70291844,137.2150143
2021/2/1,2596580,0,2111256,506208,0,41625,68878,35507,hokuriku,36.70291844,137.2150143
2021/3/1,2531295,0,2074911,849050,0,50168,124356,23055,hokuriku,36.70291844,137.2150143
2021/4/1,2217324,0,1478162,963080,0,50494,161229,20515,hokuriku,36.70291844,137.2150143
2021/5/1,2072668,0,1246144,1035473,0,27859,139790,25487,hokuriku,36.70291844,137.2150143
2021/6/1,2008606,0,1206011,809849,0,29383,163315,12088,hokuriku,36.70291844,137.2150143
2021/7/1,2550270,0,2010362,793109,0,49769,171828,6672,hokuriku,36.70291844,137.2150143
2021/8/1,2460248,0,2161202,850145,0,46954,135657,13028,hokuriku,36.70291844,137.2150143
2021/9/1,2211163,0,2074473,710281,0,46337,123823,11887,hokuriku,36.70291844,137.2150143
2021/10/1,2230615,0,2195777,353116,0,50565,119699,17287,hokuriku,36.70291844,137.2150143
2021/11/1,2342138,0,2118443,307904,0,49031,83623,26707,hokuriku,36.70291844,137.2150143
2021/12/1,2801980,0,2297821,698284,0,48126,47625,39462,hokuriku,36.70291844,137.2150143
2022/1/1,3051370,0,2550441,474914,0,50280,50765,28842,hokuriku,36.70291844,137.2150143
2022/2/1,2839231,0,2382720,330332,0,38683,66202,31195,hokuriku,36.70291844,137.2150143
2022/3/1,2620984,0,2067326,604363,0,52041,118259,25516,hokuriku,36.70291844,137.2150143
2022/4/1,2177690,0,1371373,1075478,0,70840,169135,19303,hokuriku,36.70291844,137.2150143
2022/5/1,2053968,0,1173896,882559,0,40867,190461,13492,hokuriku,36.70291844,137.2150143
2022/6/1,2259264,0,1586675,699202,0,42102,182665,18046,hokuriku,36.70291844,137.2150143
2022/7/1,2538894,0,1856056,763323,0,66091,182666,9119,hokuriku,36.70291844,137.2150143
2022/8/1,2497240,0,2277040,774617,0,60164,150738,17609,hokuriku,36.70291844,137.2150143
2022/9/1,2281808,0,1950078,620249,0,57383,130907,12374,hokuriku,36.70291844,137.2150143
2022/10/1,2119277,0,1943302,434179,0,83685,126078,19967,hokuriku,36.70291844,137.2150143
2022/11/1,2175432,0,1931840,336386,0,75836,96615,17682,hokuriku,36.70291844,137.2150143
2022/12/1,2747547,0,2243605,467820,0,69926,44796,35768,hokuriku,36.70291844,137.2150143
2023/1/1,2800708,0,2297040,481799,0,73498,60531,29221,hokuriku,36.70291844,137.2150143
2023/2/1,2549399,0,2019175,488375,0,50316,94037,25137,hokuriku,36.70291844,137.2150143
2023/3/1,2341709,0,1609529,782522,0,81757,165268,20664,hokuriku,36.70291844,137.2150143
2023/4/1,2056191,0,989094,934509,0,77310,166750,24953,hokuriku,36.70291844,137.2150143
2023/5/1,1959177,0,864446,849596,0,52792,197307,13873,hokuriku,36.70291844,137.2150143
2023/6/1,2082790,0,1072082,816155,0,53495,172904,12990,hokuriku,36.70291844,137.2150143
2023/7/1,2449451,0,1487880,808204,0,41678,204263,17190,hokuriku,36.70291844,137.2150143
2023/8/1,2611788,0,1851778,550430,0,56506,210718,7728,hokuriku,36.70291844,137.2150143
2023/9/1,2286215,0,1872438,323715,0,66124,143800,12116,hokuriku,36.70291844,137.2150143
2023/10/1,2011122,0,1607366,377169,0,47122,139893,19624,hokuriku,36.70291844,137.2150143
