DATE,TIME,当日実績(万kW)
2020/6/16,0:00,1294
2020/6/16,1:00,1220
2020/6/16,2:00,1232
2020/6/16,3:00,1285
2020/6/16,4:00,1293
2020/6/16,5:00,1264
2020/6/16,6:00,1290
2020/6/16,7:00,1406
2020/6/16,8:00,1633
2020/6/16,9:00,1833
2020/6/16,10:00,1942
2020/6/16,11:00,1993
2020/6/16,12:00,1925
2020/6/16,13:00,2021
2020/6/16,14:00,2033
2020/6/16,15:00,2010
2020/6/16,16:00,1973
2020/6/16,17:00,1855
2020/6/16,18:00,1770
2020/6/16,19:00,1696
2020/6/16,20:00,1598
2020/6/16,21:00,1492
2020/6/16,22:00,1433
2020/6/16,23:00,1359
