DATE,TIME,当日実績(万kW),
2019/6/15,0:00,769,
2019/6/15,1:00,745,
2019/6/15,2:00,766,
2019/6/15,3:00,812,
2019/6/15,4:00,849,
2019/6/15,5:00,840,
2019/6/15,6:00,802,
2019/6/15,7:00,805,
2019/6/15,8:00,850,
2019/6/15,9:00,899,
2019/6/15,10:00,921,
2019/6/15,11:00,921,
2019/6/15,12:00,893,
2019/6/15,13:00,883,
2019/6/15,14:00,876,
2019/6/15,15:00,877,
2019/6/15,16:00,883,
2019/6/15,17:00,881,
2019/6/15,18:00,893,
2019/6/15,19:00,902,
2019/6/15,20:00,882,
2019/6/15,21:00,832,
2019/6/15,22:00,795,
2019/6/15,23:00,765,
,,,
