DATE,TIME,当日実績(万kW)
2022/11/26,0:00,759
2022/11/26,1:00,736
2022/11/26,2:00,774
2022/11/26,3:00,831
2022/11/26,4:00,860
2022/11/26,5:00,846
2022/11/26,6:00,804
2022/11/26,7:00,812
2022/11/26,8:00,832
2022/11/26,9:00,829
2022/11/26,10:00,817
2022/11/26,11:00,811
2022/11/26,12:00,778
2022/11/26,13:00,780
2022/11/26,14:00,774
2022/11/26,15:00,803
2022/11/26,16:00,835
2022/11/26,17:00,869
2022/11/26,18:00,888
2022/11/26,19:00,865
2022/11/26,20:00,840
2022/11/26,21:00,804
2022/11/26,22:00,782
2022/11/26,23:00,756
