DATE_TIME,エリア需要〔MWh〕,原子力〔MWh〕,火力〔MWh〕,水力〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕,実績〔MWh〕,実績〔MWh〕
2023/7/1 0:00,8595,3211,4890,842,141,539,0,248
2023/7/1 1:00,8124,3209,4748,849,141,534,0,244
2023/7/1 2:00,8137,3210,4905,867,141,539,0,244
2023/7/1 3:00,8435,3210,5108,879,140,541,0,215
2023/7/1 4:00,8715,3204,5181,954,140,539,0,200
2023/7/1 5:00,8753,3206,5300,944,122,541,7,195
2023/7/1 6:00,8417,3205,4680,897,85,540,56,156
2023/7/1 7:00,8597,3209,4681,901,85,541,195,127
2023/7/1 8:00,9299,3209,5091,961,85,538,401,71
2023/7/1 9:00,9865,3209,5032,964,88,538,811,61
2023/7/1 10:00,10103,3210,4992,958,128,541,1129,47
2023/7/1 11:00,10183,3208,4718,951,136,543,1471,52
2023/7/1 12:00,10016,3210,4304,982,141,538,1987,30
2023/7/1 13:00,10191,3209,4621,972,144,535,1945,12
2023/7/1 14:00,9953,3210,4968,977,144,536,1144,17
2023/7/1 15:00,9702,3214,4828,1014,144,538,1101,13
2023/7/1 16:00,9664,3212,4980,1030,145,541,870,34
2023/7/1 17:00,9645,3209,5105,1039,145,543,577,48
2023/7/1 18:00,9686,3209,5098,1078,145,545,328,51
2023/7/1 19:00,9632,3211,5200,1060,144,547,36,40
2023/7/1 20:00,9366,3217,4955,1062,144,542,0,34
2023/7/1 21:00,8899,3215,4475,1060,145,543,0,36
2023/7/1 22:00,8625,3216,4333,1061,145,544,0,44
2023/7/1 23:00,8355,3217,4161,1064,145,545,0,39
2023/7/2 0:00,7791,3214,3825,1019,145,545,0,45
2023/7/2 1:00,7402,3214,3271,1013,144,545,0,37
2023/7/2 2:00,7437,3215,3146,1005,144,543,0,36
2023/7/2 3:00,7742,3217,3355,1019,144,546,0,32
2023/7/2 4:00,8088,3212,3307,1071,144,545,0,43
2023/7/2 5:00,8123,3212,2892,1053,144,544,57,52
2023/7/2 6:00,7614,3211,2776,1022,142,493,514,27
2023/7/2 7:00,7606,3214,2763,999,144,425,1504,12
2023/7/2 8:00,8093,3216,2668,996,142,421,2792,10
2023/7/2 9:00,9023,3215,2715,994,142,420,3772,17
2023/7/2 10:00,9298,3214,2828,998,141,420,4246,23
2023/7/2 11:00,9700,3215,2858,1011,141,421,5341,39
2023/7/2 12:00,10138,3211,2804,1020,141,469,5860,60
2023/7/2 13:00,10116,3215,2879,1046,140,526,5720,67
2023/7/2 14:00,10277,3216,3229,1032,140,541,4818,53
2023/7/2 15:00,10288,3217,3706,1033,140,543,3810,50
2023/7/2 16:00,10587,3209,4854,1079,140,541,2748,68
2023/7/2 17:00,10650,3212,5647,1086,141,542,1295,72
2023/7/2 18:00,10836,3212,6378,1088,141,544,475,58
2023/7/2 19:00,10626,3217,6585,1100,141,543,37,78
2023/7/2 20:00,10275,3216,6119,1099,141,541,0,95
2023/7/2 21:00,9780,3215,5852,1079,141,541,0,90
2023/7/2 22:00,9260,3217,5598,1066,142,543,0,92
2023/7/2 23:00,8724,3214,4982,1064,142,542,0,103
2023/7/3 0:00,8030,3213,4195,1035,142,542,0,119
2023/7/3 1:00,7599,3215,3843,1056,143,539,0,125
2023/7/3 2:00,7645,3215,3977,1058,142,543,0,147
2023/7/3 3:00,8035,3216,4321,1071,143,543,0,148
2023/7/3 4:00,8490,3209,4987,1107,143,545,0,130
2023/7/3 5:00,8723,3210,4781,1089,143,545,4,131
2023/7/3 6:00,8837,3212,4319,1080,144,544,41,121
2023/7/3 7:00,9451,3215,4519,1061,144,541,136,131
2023/7/3 8:00,10498,3216,5446,1048,144,536,245,129
2023/7/3 9:00,11203,3216,5621,1007,145,534,529,144
2023/7/3 10:00,11216,3215,5351,986,143,533,802,163
2023/7/3 11:00,11185,3212,5165,997,143,531,1277,140
2023/7/3 12:00,10785,3213,4994,993,143,536,1765,138
2023/7/3 13:00,11111,3210,4778,971,143,523,2728,118
2023/7/3 14:00,11246,3207,5231,974,142,522,3166,79
2023/7/3 15:00,11340,3210,5903,965,142,526,3008,81
2023/7/3 16:00,11361,3214,5770,930,142,533,2308,51
2023/7/3 17:00,11113,3208,6373,909,142,535,1146,60
2023/7/3 18:00,10904,3210,6281,896,142,537,309,44
2023/7/3 19:00,10677,3210,6254,922,143,537,18,41
2023/7/3 20:00,10226,3217,5838,942,143,535,0,69
2023/7/3 21:00,9674,3220,5574,941,142,538,0,58
2023/7/3 22:00,9254,3217,5214,950,142,534,0,65
2023/7/3 23:00,8881,3217,4983,957,143,538,0,49
2023/7/4 0:00,8225,3219,4769,959,143,539,0,40
2023/7/4 1:00,7850,3218,4631,964,144,535,0,64
2023/7/4 2:00,7904,3219,4691,963,144,538,0,55
2023/7/4 3:00,8252,3219,4893,962,144,542,0,41
2023/7/4 4:00,8625,3214,4863,962,144,537,0,32
2023/7/4 5:00,8750,3216,4824,977,144,542,62,30
2023/7/4 6:00,8626,3217,4408,974,144,542,505,13
2023/7/4 7:00,8983,3220,4036,978,144,542,1371,32
2023/7/4 8:00,10136,3220,4018,996,143,535,2797,37
2023/7/4 9:00,11305,3219,3980,1004,143,528,4077,30
2023/7/4 10:00,11757,3221,4053,1024,141,530,4645,16
2023/7/4 11:00,11930,3221,4149,1065,141,533,5006,10
2023/7/4 12:00,11801,3218,4057,1075,141,534,5357,7
2023/7/4 13:00,12209,3215,4693,1080,141,528,4724,11
2023/7/4 14:00,12426,3215,5640,1106,141,529,2995,16
2023/7/4 15:00,12105,3215,5955,1123,141,529,1431,18
2023/7/4 16:00,11966,3220,6485,1136,141,531,768,18
2023/7/4 17:00,11502,3211,7073,1138,141,538,491,14
2023/7/4 18:00,11355,3214,7502,1125,141,538,209,15
2023/7/4 19:00,11185,3214,7399,1115,141,540,12,17
2023/7/4 20:00,10712,3218,6113,1113,142,536,0,17
2023/7/4 21:00,10145,3218,5575,1109,142,539,0,28
2023/7/4 22:00,9719,3218,5453,1107,142,539,0,43
2023/7/4 23:00,9314,3217,5030,1109,142,538,0,67
2023/7/5 0:00,8603,3219,5208,1111,141,536,0,96
2023/7/5 1:00,8202,3219,4778,1111,141,531,0,118
2023/7/5 2:00,8223,3218,4872,1109,141,532,0,129
2023/7/5 3:00,8559,3221,5051,1112,141,537,0,146
2023/7/5 4:00,8925,3216,5279,1108,140,532,0,169
2023/7/5 5:00,9093,3216,5283,1109,140,541,24,189
2023/7/5 6:00,9127,3217,4973,1109,140,538,284,193
2023/7/5 7:00,9668,3222,5201,1106,140,534,796,194
2023/7/5 8:00,11019,3220,6063,1112,140,529,1094,186
2023/7/5 9:00,11929,3181,6692,1111,140,524,1168,190
2023/7/5 10:00,12121,3133,6869,1104,140,526,1451,188
2023/7/5 11:00,12180,3142,7009,1108,140,525,1377,202
2023/7/5 12:00,11715,3168,6510,1117,140,528,1237,196
2023/7/5 13:00,11873,3188,6828,1121,140,526,1431,194
2023/7/5 14:00,11909,3207,6910,1118,140,523,1560,200
2023/7/5 15:00,11859,3213,6606,1118,140,525,1905,193
2023/7/5 16:00,11975,3214,6747,1118,140,532,1792,181
2023/7/5 17:00,11768,3212,6877,1140,141,533,1285,164
2023/7/5 18:00,11525,3215,6866,1153,141,535,536,141
2023/7/5 19:00,11231,3216,6912,1158,141,533,42,127
2023/7/5 20:00,10694,3210,6591,1157,142,531,0,104
2023/7/5 21:00,10057,3208,5909,1155,142,531,0,67
2023/7/5 22:00,9562,3220,5801,1154,142,537,0,61
2023/7/5 23:00,9041,3216,5331,1154,144,538,0,46
2023/7/6 0:00,8353,3223,4815,1130,144,538,0,35
2023/7/6 1:00,7886,3220,4200,1129,144,537,0,24
2023/7/6 2:00,7872,3219,4152,1129,145,538,0,19
