DATE,TIME,当日実績(万kW),
2019/05/30,00:00,71,
2019/05/30,01:00,68,
2019/05/30,02:00,69,
2019/05/30,03:00,70,
2019/05/30,04:00,72,
2019/05/30,05:00,72,
2019/05/30,06:00,73,
2019/05/30,07:00,80,
2019/05/30,08:00,87,
2019/05/30,09:00,93,
2019/05/30,10:00,96,
2019/05/30,11:00,97,
2019/05/30,12:00,95,
2019/05/30,13:00,100,
2019/05/30,14:00,99,
2019/05/30,15:00,100,
2019/05/30,16:00,99,
2019/05/30,17:00,96,
2019/05/30,18:00,95,
2019/05/30,19:00,98,
2019/05/30,20:00,97,
2019/05/30,21:00,92,
2019/05/30,22:00,86,
2019/05/30,23:00,79,
