DATE,TIME,当日実績(万kW)
2021/10/10,00:00,92
2021/10/10,01:00,88
2021/10/10,02:00,87
2021/10/10,03:00,87
2021/10/10,04:00,86
2021/10/10,05:00,87
2021/10/10,06:00,85
2021/10/10,07:00,89
2021/10/10,08:00,99
2021/10/10,09:00,103
2021/10/10,10:00,113
2021/10/10,11:00,115
2021/10/10,12:00,109
2021/10/10,13:00,118
2021/10/10,14:00,115
2021/10/10,15:00,115
2021/10/10,16:00,114
2021/10/10,17:00,115
2021/10/10,18:00,119
2021/10/10,19:00,119
2021/10/10,20:00,114
2021/10/10,21:00,109
2021/10/10,22:00,101
2021/10/10,23:00,97
