需給実績公表,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります。,,,,,,,,,,,（単位：MWh）
,,,,,,,,,,,
DATE,TIME,"エリアの
需要実績",,エリアの供給実績,,,,,,,
,,,,火力,水力,バイオマス,太陽光,,風力,,合計
,,,,,,,,"太陽光
出力制御量",,"風力
出力制御量",
,,,,,,,,,,,
2023/4/1,0:00,632.8,,628.4,0.9,3.3,0,0,0.2,0,632.8
2023/4/1,1:00,608.2,,603.6,0.9,3.3,0,0,0.4,0,608.2
2023/4/1,2:00,616.5,,612,0.9,3.3,0,0,0.3,0,616.5
2023/4/1,3:00,643.5,,638.9,0.9,3.3,0,0,0.4,0,643.5
2023/4/1,4:00,650.2,,645.7,0.9,3.3,0,0,0.3,0,650.2
2023/4/1,5:00,642.1,,637.4,0.9,3.3,0,0,0.5,0,642.1
2023/4/1,6:00,625.8,,618.3,0.9,3.3,2.8,0,0.5,0,625.8
2023/4/1,7:00,664.6,,637.8,0.9,3.3,22,0,0.6,0,664.6
2023/4/1,8:00,763.4,,682.4,0.9,3.3,75.8,0,1,0,763.4
2023/4/1,9:00,820.8,,705.5,0.9,3.3,109.6,0,1.5,0,820.8
2023/4/1,10:00,841.1,,692.8,0.9,3.3,142.4,0,1.7,0,841.1
2023/4/1,11:00,851.2,,672.5,0.9,3.3,173.1,0,1.4,0,851.2
2023/4/1,12:00,860.5,,670.4,0.9,3.3,184.2,0,1.7,0,860.5
2023/4/1,13:00,835.9,,701.5,0.9,3.3,127.8,0,2.4,0,835.9
2023/4/1,14:00,829.5,,760.8,0.9,3.3,62.3,0,2.2,0,829.5
2023/4/1,15:00,830.1,,791.9,0.9,3.3,31.7,0,2.3,0,830.1
2023/4/1,16:00,836.2,,816.9,0.9,3.3,13.2,0,1.9,0,836.2
2023/4/1,17:00,848.2,,834.6,0.9,3.3,8,0,1.4,0,848.2
2023/4/1,18:00,869.7,,861.5,0.9,3.3,2.6,0,1.4,0,869.7
2023/4/1,19:00,871.7,,865.6,0.9,3.3,0,0,1.9,0,871.7
2023/4/1,20:00,844.5,,837.9,0.9,3.3,0,0,2.4,0,844.5
2023/4/1,21:00,805.2,,798.1,0.9,3.3,0,0,2.9,0,805.2
2023/4/1,22:00,744.6,,736.7,0.9,3.3,0,0,3.7,0,744.6
2023/4/1,23:00,701.4,,693,0.9,3.3,0,0,4.2,0,701.4
2023/4/2,0:00,653,,644.4,0.9,2.9,0,0,4.8,0,653
2023/4/2,1:00,626.7,,617.2,0.9,2.9,0,0,5.7,0,626.7
2023/4/2,2:00,638,,627.6,0.9,2.9,0,0,6.6,0,638
2023/4/2,3:00,669.1,,658.5,0.9,2.9,0,0,6.8,0,669.1
2023/4/2,4:00,674.8,,664,0.9,2.9,0,0,7,0,674.8
2023/4/2,5:00,661.7,,649.9,0.9,2.9,0,0,8,0,661.7
2023/4/2,6:00,629.4,,614.2,0.9,2.9,3.7,0,7.7,0,629.4
2023/4/2,7:00,638.7,,604.3,0.9,2.9,26.6,0,4,0,638.7
2023/4/2,8:00,700.3,,596.9,0.9,2.9,99.6,4.5,0,2.6,700.3
2023/4/2,9:00,740.6,,581.1,0.9,2.9,155.7,7,0,2.5,740.6
2023/4/2,10:00,773.5,,563.6,0.9,2.9,206.1,9.2,0,2.9,773.5
2023/4/2,11:00,803.1,,542.5,0.9,2.9,256.8,11.5,0,3.5,803.1
2023/4/2,12:00,808.7,,547.3,0.9,2.9,257.6,11.5,0,4.1,808.7
2023/4/2,13:00,811.6,,549.2,0.9,2.9,258.6,11.6,0,4.1,811.6
2023/4/2,14:00,794.9,,572.5,0.9,2.9,218.6,9.8,0,3.2,794.9
2023/4/2,15:00,785.1,,596.1,0.9,2.9,184.6,8.3,0.6,2.1,785.1
2023/4/2,16:00,789.1,,639,0.9,2.9,142,0,4.3,0,789.1
2023/4/2,17:00,794.4,,719.7,0.9,2.9,65.8,0,5.1,0,794.4
2023/4/2,18:00,828.2,,808.3,0.9,2.9,9.8,0,6.3,0,828.2
2023/4/2,19:00,856.1,,844.5,0.9,2.9,0,0,7.8,0,856.1
2023/4/2,20:00,830.3,,818.4,0.9,2.9,0,0,8.1,0,830.3
2023/4/2,21:00,786.1,,773.7,0.9,2.9,0,0,8.6,0,786.1
2023/4/2,22:00,730,,717.4,0.9,2.9,0,0,8.8,0,730
2023/4/2,23:00,679.4,,666.7,0.9,2.9,0,0,8.9,0,679.4
2023/4/3,0:00,630,,618.4,0.9,2.4,0,0,8.3,0,630
2023/4/3,1:00,607.3,,596,0.9,2.4,0,0,8,0,607.3
2023/4/3,2:00,615.2,,603.9,0.9,2.4,0,0,8,0,615.2
2023/4/3,3:00,651.9,,639.7,0.9,2.4,0,0,8.9,0,651.9
2023/4/3,4:00,669,,656.9,0.9,2.4,0,0,8.8,0,669
2023/4/3,5:00,669.4,,657.4,0.9,2.4,0,0,8.7,0,669.4
2023/4/3,6:00,676.1,,659.1,0.9,2.4,5,0,8.7,0,676.1
2023/4/3,7:00,705.8,,652.9,0.9,2.4,40.8,0,8.8,0,705.8
2023/4/3,8:00,757.1,,635,0.9,2.4,110.1,0,8.7,0,757.1
2023/4/3,9:00,811.8,,630.4,0.9,2.4,170.3,0,7.8,0,811.8
2023/4/3,10:00,830.3,,609.2,0.9,2.4,209.9,0,7.9,0,830.3
2023/4/3,11:00,862.5,,600.1,0.9,2.4,252,0,7.1,0,862.5
2023/4/3,12:00,820.5,,575.1,0.9,2.4,236,0,6.1,0,820.5
2023/4/3,13:00,858.2,,594.5,0.9,2.4,254.9,0,5.5,0,858.2
2023/4/3,14:00,829.8,,601.8,0.9,2.4,219.8,0,4.9,0,829.8
2023/4/3,15:00,842.8,,634.6,0.9,2.4,200.5,0,4.4,0,842.8
2023/4/3,16:00,836.7,,697,0.9,2.4,132.2,0,4.2,0,836.7
2023/4/3,17:00,820.4,,752.4,0.9,2.4,60.4,0,4.3,0,820.4
2023/4/3,18:00,828.3,,808.6,0.9,2.4,11.8,0,4.6,0,828.3
2023/4/3,19:00,847.6,,839.4,0.9,2.4,0,0,4.9,0,847.6
2023/4/3,20:00,816.7,,808.1,0.9,2.4,0,0,5.3,0,816.7
2023/4/3,21:00,772.6,,762.8,0.9,2.4,0,0,6.5,0,772.6
2023/4/3,22:00,728,,717.5,0.9,2.4,0,0,7.2,0,728
2023/4/3,23:00,683.1,,671.7,0.9,2.4,0,0,8.1,0,683.1
2023/4/4,0:00,639,,628,0.9,2.4,0,0,7.7,0,639
2023/4/4,1:00,612.1,,602.9,0.9,2.4,0,0,5.9,0,612.1
2023/4/4,2:00,625.2,,617.2,0.9,2.4,0,0,4.7,0,625.2
2023/4/4,3:00,658.2,,650,0.9,2.4,0,0,4.9,0,658.2
2023/4/4,4:00,668.7,,659.3,0.9,2.4,0,0,6.1,0,668.7
2023/4/4,5:00,672.4,,664.4,0.9,2.4,0,0,4.7,0,672.4
2023/4/4,6:00,674.3,,662.6,0.9,2.4,4.5,0,3.9,0,674.3
2023/4/4,7:00,696.1,,659.2,0.9,2.4,29.3,0,4.3,0,696.1
2023/4/4,8:00,757.4,,648.2,0.9,2.4,100.4,0,5.5,0,757.4
2023/4/4,9:00,831.7,,683.5,0.9,2.4,138.5,0,6.4,0,831.7
