DATE_TIME,エリア需要〔MWh〕,水力〔MWh〕,火力〔MWh〕,原子力〔MWh〕,太陽光実績〔MWh〕,風力実績〔MWh〕,地熱〔MWh〕,バイオマス〔MWh〕
2023/1/1 0:00,8825,780,10175,0,0,1083,127,474
2023/1/1 1:00,8883,777,10314,0,0,1055,126,473
2023/1/1 2:00,9032,807,10324,0,0,1099,126,475
2023/1/1 3:00,9169,877,10175,0,0,1094,126,474
2023/1/1 4:00,9191,889,10456,0,0,1068,126,471
2023/1/1 5:00,9069,887,10477,0,0,989,126,475
2023/1/1 6:00,8743,885,10615,0,0,954,125,476
2023/1/1 7:00,8527,860,10720,0,165,1007,127,478
2023/1/1 8:00,8671,850,9603,0,911,1011,125,465
2023/1/1 9:00,8512,848,8144,0,1855,1118,126,474
2023/1/1 10:00,8306,809,7627,0,2261,1105,126,462
2023/1/1 11:00,8020,820,7017,0,2499,1333,128,505
2023/1/1 12:00,7882,822,7288,0,2280,1451,131,518
2023/1/1 13:00,7927,827,7344,0,2142,1488,126,470
2023/1/1 14:00,7824,876,7733,0,1242,1562,129,499
2023/1/1 15:00,8029,895,8986,0,365,1554,126,480
2023/1/1 16:00,8623,988,9564,0,7,1613,127,474
2023/1/1 17:00,9306,1031,10334,0,0,1648,127,476
2023/1/1 18:00,9402,1052,11038,0,0,1630,127,478
2023/1/1 19:00,9353,1035,11115,0,0,1599,128,479
2023/1/1 20:00,9341,987,10886,0,0,1617,126,481
2023/1/1 21:00,9328,950,10796,0,0,1616,127,479
2023/1/1 22:00,9025,922,10593,0,0,1619,127,479
2023/1/1 23:00,9136,919,10612,0,0,1637,127,480
2023/1/2 0:00,8926,907,9942,0,0,1579,127,479
2023/1/2 1:00,9080,889,10203,0,0,1577,126,478
2023/1/2 2:00,9329,817,10115,0,0,1568,127,481
2023/1/2 3:00,9520,889,10424,0,0,1522,127,482
2023/1/2 4:00,9604,907,10886,0,0,1514,127,479
2023/1/2 5:00,9550,909,10948,0,0,1546,127,479
2023/1/2 6:00,9397,953,10986,0,0,1565,126,480
2023/1/2 7:00,9364,963,10899,0,125,1582,127,479
2023/1/2 8:00,9671,968,10564,0,571,1581,128,485
2023/1/2 9:00,9516,948,9715,0,1153,1568,131,525
2023/1/2 10:00,9334,919,9031,0,1724,1591,132,544
2023/1/2 11:00,9136,915,8551,0,1899,1611,135,579
2023/1/2 12:00,9166,882,8581,0,1967,1619,133,550
2023/1/2 13:00,9058,872,8895,0,1562,1616,132,538
2023/1/2 14:00,9006,878,9473,0,1035,1593,129,510
2023/1/2 15:00,9402,892,10857,0,273,1558,128,493
2023/1/2 16:00,9939,959,11256,0,6,1577,125,486
2023/1/2 17:00,10574,993,11774,0,0,1552,127,489
2023/1/2 18:00,10665,1005,12046,0,0,1563,127,488
2023/1/2 19:00,10476,956,11771,0,0,1557,127,488
2023/1/2 20:00,10230,884,11591,0,0,1529,126,488
2023/1/2 21:00,9930,865,11672,0,0,1495,126,488
2023/1/2 22:00,9528,833,11581,0,0,1469,126,490
2023/1/2 23:00,9508,822,11232,0,0,1492,127,490
2023/1/3 0:00,9295,795,10929,0,0,1500,126,490
2023/1/3 1:00,9415,789,10830,0,0,1520,126,490
2023/1/3 2:00,9552,795,10732,0,0,1502,126,491
2023/1/3 3:00,9748,845,11057,0,0,1486,125,491
