DATE,TIME,当日実績(万kW)
2023/7/25,0:00,2930
2023/7/25,1:00,2724
2023/7/25,2:00,2623
2023/7/25,3:00,2588
2023/7/25,4:00,2587
2023/7/25,5:00,2634
2023/7/25,6:00,2883
2023/7/25,7:00,3368
2023/7/25,8:00,4062
2023/7/25,9:00,4606
2023/7/25,10:00,4869
2023/7/25,11:00,5026
2023/7/25,12:00,5002
2023/7/25,13:00,5133
2023/7/25,14:00,5158
2023/7/25,15:00,5135
2023/7/25,16:00,5075
2023/7/25,17:00,4823
2023/7/25,18:00,4572
2023/7/25,19:00,4386
2023/7/25,20:00,4123
2023/7/25,21:00,3854
2023/7/25,22:00,3615
2023/7/25,23:00,3351
