DATE,TIME,合計,エリア
2019/4/1,0:00,765,kyushu
2019/4/1,1:00,774,kyushu
2019/4/1,2:00,832,kyushu
2019/4/1,3:00,887,kyushu
2019/4/1,4:00,920,kyushu
2019/4/1,5:00,935,kyushu
2019/4/1,6:00,976,kyushu
2019/4/1,7:00,988,kyushu
2019/4/1,8:00,985,kyushu
2019/4/1,9:00,1005,kyushu
2019/4/1,10:00,1006,kyushu
2019/4/1,11:00,1030,kyushu
2019/4/1,12:00,993,kyushu
2019/4/1,13:00,975,kyushu
2019/4/1,14:00,947,kyushu
2019/4/1,15:00,929,kyushu
2019/4/1,16:00,959,kyushu
2019/4/1,17:00,1000,kyushu
2019/4/1,18:00,1061,kyushu
2019/4/1,19:00,1102,kyushu
2019/4/1,20:00,1078,kyushu
2019/4/1,21:00,1041,kyushu
2019/4/1,22:00,998,kyushu
2019/4/1,23:00,939,kyushu
2019/4/2,0:00,873,kyushu
2019/4/2,1:00,878,kyushu
2019/4/2,2:00,931,kyushu
2019/4/2,3:00,976,kyushu
2019/4/2,4:00,993,kyushu
2019/4/2,5:00,1008,kyushu
2019/4/2,6:00,1040,kyushu
2019/4/2,7:00,1024,kyushu
2019/4/2,8:00,1009,kyushu
2019/4/2,9:00,1019,kyushu
2019/4/2,10:00,991,kyushu
2019/4/2,11:00,992,kyushu
2019/4/2,12:00,956,kyushu
2019/4/2,13:00,980,kyushu
2019/4/2,14:00,945,kyushu
2019/4/2,15:00,929,kyushu
2019/4/2,16:00,948,kyushu
2019/4/2,17:00,980,kyushu
2019/4/2,18:00,1036,kyushu
2019/4/2,19:00,1070,kyushu
2019/4/2,20:00,1045,kyushu
2019/4/2,21:00,1007,kyushu
2019/4/2,22:00,958,kyushu
2019/4/2,23:00,906,kyushu
2019/4/3,0:00,847,kyushu
2019/4/3,1:00,861,kyushu
2019/4/3,2:00,910,kyushu
2019/4/3,3:00,964,kyushu
2019/4/3,4:00,990,kyushu
2019/4/3,5:00,1000,kyushu
2019/4/3,6:00,1028,kyushu
2019/4/3,7:00,1013,kyushu
2019/4/3,8:00,1004,kyushu
2019/4/3,9:00,1016,kyushu
2019/4/3,10:00,998,kyushu
2019/4/3,11:00,1011,kyushu
2019/4/3,12:00,973,kyushu
2019/4/3,13:00,982,kyushu
2019/4/3,14:00,954,kyushu
2019/4/3,15:00,934,kyushu
2019/4/3,16:00,934,kyushu
2019/4/3,17:00,965,kyushu
2019/4/3,18:00,1024,kyushu
2019/4/3,19:00,1062,kyushu
2019/4/3,20:00,1053,kyushu
2019/4/3,21:00,1018,kyushu
2019/4/3,22:00,978,kyushu
2019/4/3,23:00,924,kyushu
2019/4/4,0:00,870,kyushu
2019/4/4,1:00,881,kyushu
2019/4/4,2:00,932,kyushu
2019/4/4,3:00,983,kyushu
2019/4/4,4:00,1012,kyushu
2019/4/4,5:00,1016,kyushu
2019/4/4,6:00,1043,kyushu
2019/4/4,7:00,1011,kyushu
2019/4/4,8:00,982,kyushu
2019/4/4,9:00,984,kyushu
2019/4/4,10:00,968,kyushu
2019/4/4,11:00,981,kyushu
2019/4/4,12:00,934,kyushu
2019/4/4,13:00,943,kyushu
2019/4/4,14:00,926,kyushu
2019/4/4,15:00,906,kyushu
2019/4/4,16:00,918,kyushu
2019/4/4,17:00,936,kyushu
2019/4/4,18:00,995,kyushu
2019/4/4,19:00,1020,kyushu
2019/4/4,20:00,993,kyushu
2019/4/4,21:00,954,kyushu
2019/4/4,22:00,914,kyushu
2019/4/4,23:00,859,kyushu
